Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75ff98f695-5n9hj,server,2,138
default,adservice-us-central-1-75ff98f695-5n9hj,istio-proxy,3,83
default,adservice-us-central-1-75ff98f695-97wrg,server,2,140
default,adservice-us-central-1-75ff98f695-97wrg,istio-proxy,2,82
default,adservice-us-central-1-75ff98f695-d2rfb,server,2,138
default,adservice-us-central-1-75ff98f695-d2rfb,istio-proxy,3,82
default,adservice-us-east-1-68cddb997b-fw5h4,server,2,138
default,adservice-us-east-1-68cddb997b-fw5h4,istio-proxy,3,83
default,adservice-us-east-1-68cddb997b-m9rmt,server,2,137
default,adservice-us-east-1-68cddb997b-m9rmt,istio-proxy,3,83
default,adservice-us-east-1-68cddb997b-w9dcg,server,3,143
default,adservice-us-east-1-68cddb997b-w9dcg,istio-proxy,4,85
default,adservice-us-south-1-8d9996b98-s8xj5,server,3,145
default,adservice-us-south-1-8d9996b98-s8xj5,istio-proxy,3,83
default,adservice-us-south-1-8d9996b98-xlr4s,server,3,139
default,adservice-us-south-1-8d9996b98-xlr4s,istio-proxy,5,84
default,adservice-us-south-1-8d9996b98-zz8j7,server,3,138
default,adservice-us-south-1-8d9996b98-zz8j7,istio-proxy,3,83
default,adservice-us-west-1-68654dccbd-4vcqt,server,3,142
default,adservice-us-west-1-68654dccbd-4vcqt,istio-proxy,3,81
default,adservice-us-west-1-68654dccbd-hdtpg,server,2,139
default,adservice-us-west-1-68654dccbd-hdtpg,istio-proxy,3,82
default,adservice-us-west-1-68654dccbd-nvhbk,server,2,138
default,adservice-us-west-1-68654dccbd-nvhbk,istio-proxy,3,82
default,cartservice-us-central-1-bb964f99c-lmztj,server,47,36
default,cartservice-us-central-1-bb964f99c-lmztj,istio-proxy,74,84
default,cartservice-us-central-1-bb964f99c-qtgxv,server,0,26
default,cartservice-us-central-1-bb964f99c-qtgxv,istio-proxy,3,84
default,cartservice-us-central-1-bb964f99c-v58sz,server,173,40
default,cartservice-us-central-1-bb964f99c-v58sz,istio-proxy,26,83
default,cartservice-us-east-1-69c767f68d-hxvjb,server,1,26
default,cartservice-us-east-1-69c767f68d-hxvjb,istio-proxy,4,83
default,cartservice-us-east-1-69c767f68d-jkqj6,server,381,42
default,cartservice-us-east-1-69c767f68d-jkqj6,istio-proxy,47,84
default,cartservice-us-east-1-69c767f68d-tvfbf,server,147,41
default,cartservice-us-east-1-69c767f68d-tvfbf,istio-proxy,67,85
default,cartservice-us-south-1-7d48f85556-6mlh5,server,462,49
default,cartservice-us-south-1-7d48f85556-6mlh5,istio-proxy,110,84
default,cartservice-us-south-1-7d48f85556-8tx82,server,162,41
default,cartservice-us-south-1-7d48f85556-8tx82,istio-proxy,112,86
default,cartservice-us-south-1-7d48f85556-kg7hr,server,144,39
default,cartservice-us-south-1-7d48f85556-kg7hr,istio-proxy,129,84
default,cartservice-us-west-1-6589cf8d9b-6259j,server,363,53
default,cartservice-us-west-1-6589cf8d9b-6259j,istio-proxy,3,85
default,cartservice-us-west-1-6589cf8d9b-66n24,server,103,40
default,cartservice-us-west-1-6589cf8d9b-66n24,istio-proxy,166,84
default,cartservice-us-west-1-6589cf8d9b-sjrbh,server,219,46
default,cartservice-us-west-1-6589cf8d9b-sjrbh,istio-proxy,151,85
default,checkoutservice-us-central-1-68f5f9559c-7b972,server,0,8
default,checkoutservice-us-central-1-68f5f9559c-7b972,istio-proxy,3,84
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,istio-proxy,3,84
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,istio-proxy,3,82
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,server,17,10
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,istio-proxy,3,82
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,server,52,10
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,istio-proxy,88,86
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,server,0,8
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,istio-proxy,162,85
default,checkoutservice-us-south-1-567554b94b-7qc9r,server,117,11
default,checkoutservice-us-south-1-567554b94b-7qc9r,istio-proxy,374,86
default,checkoutservice-us-south-1-567554b94b-njjch,server,0,9
default,checkoutservice-us-south-1-567554b94b-njjch,istio-proxy,359,84
default,checkoutservice-us-south-1-567554b94b-rprp8,server,0,8
default,checkoutservice-us-south-1-567554b94b-rprp8,istio-proxy,3,84
default,checkoutservice-us-west-1-5b89fdcf74-p2kt7,server,72,11
default,checkoutservice-us-west-1-5b89fdcf74-p2kt7,istio-proxy,206,84
default,checkoutservice-us-west-1-5b89fdcf74-p7v8w,server,107,11
default,checkoutservice-us-west-1-5b89fdcf74-p7v8w,istio-proxy,334,85
default,checkoutservice-us-west-1-5b89fdcf74-zw6p8,server,142,10
default,checkoutservice-us-west-1-5b89fdcf74-zw6p8,istio-proxy,264,83
default,currencyservice-us-central-1-b8c84b78b-8gpg2,server,0,18
default,currencyservice-us-central-1-b8c84b78b-8gpg2,istio-proxy,3,83
default,currencyservice-us-central-1-b8c84b78b-bxnmt,server,0,18
default,currencyservice-us-central-1-b8c84b78b-bxnmt,istio-proxy,3,84
default,currencyservice-us-central-1-b8c84b78b-xsdbx,server,0,18
default,currencyservice-us-central-1-b8c84b78b-xsdbx,istio-proxy,4,82
default,currencyservice-us-east-1-7967598cd4-8x6pm,server,0,16
default,currencyservice-us-east-1-7967598cd4-8x6pm,istio-proxy,16,84
default,currencyservice-us-east-1-7967598cd4-dqpmd,server,16,18
default,currencyservice-us-east-1-7967598cd4-dqpmd,istio-proxy,23,85
default,currencyservice-us-east-1-7967598cd4-jkglb,server,48,20
default,currencyservice-us-east-1-7967598cd4-jkglb,istio-proxy,22,86
default,currencyservice-us-south-1-795448b54f-5nxt7,server,0,18
default,currencyservice-us-south-1-795448b54f-5nxt7,istio-proxy,4,82
default,currencyservice-us-south-1-795448b54f-k6rrt,server,19,18
default,currencyservice-us-south-1-795448b54f-k6rrt,istio-proxy,28,83
default,currencyservice-us-south-1-795448b54f-rpbtz,server,94,26
default,currencyservice-us-south-1-795448b54f-rpbtz,istio-proxy,38,84
default,currencyservice-us-west-1-6966476897-bgmtl,server,0,18
default,currencyservice-us-west-1-6966476897-bgmtl,istio-proxy,54,83
default,currencyservice-us-west-1-6966476897-djw9v,server,0,18
default,currencyservice-us-west-1-6966476897-djw9v,istio-proxy,72,85
default,currencyservice-us-west-1-6966476897-mfswb,server,154,25
default,currencyservice-us-west-1-6966476897-mfswb,istio-proxy,3,83
default,emailservice-us-central-1-556b8b6687-bkcgb,server,1,40
default,emailservice-us-central-1-556b8b6687-bkcgb,istio-proxy,3,84
default,emailservice-us-central-1-556b8b6687-jf476,server,1,40
default,emailservice-us-central-1-556b8b6687-jf476,istio-proxy,3,84
default,emailservice-us-central-1-556b8b6687-kcnq4,server,1,40
default,emailservice-us-central-1-556b8b6687-kcnq4,istio-proxy,6,82
default,emailservice-us-east-1-754fd7b6b5-n8vld,server,4,40
default,emailservice-us-east-1-754fd7b6b5-n8vld,istio-proxy,26,84
default,emailservice-us-east-1-754fd7b6b5-wttt7,server,1,40
default,emailservice-us-east-1-754fd7b6b5-wttt7,istio-proxy,29,86
default,emailservice-us-east-1-754fd7b6b5-zvvps,server,1,40
default,emailservice-us-east-1-754fd7b6b5-zvvps,istio-proxy,6,83
default,emailservice-us-south-1-54cb648448-457hp,server,11,41
default,emailservice-us-south-1-54cb648448-457hp,istio-proxy,3,84
default,emailservice-us-south-1-54cb648448-62ngd,server,1,40
default,emailservice-us-south-1-54cb648448-62ngd,istio-proxy,42,83
default,emailservice-us-south-1-54cb648448-7xclg,server,76,41
default,emailservice-us-south-1-54cb648448-7xclg,istio-proxy,46,85
default,emailservice-us-west-1-84fdb7d6b4-9lzft,server,1,40
default,emailservice-us-west-1-84fdb7d6b4-9lzft,istio-proxy,23,84
default,emailservice-us-west-1-84fdb7d6b4-pkxzh,server,44,41
default,emailservice-us-west-1-84fdb7d6b4-pkxzh,istio-proxy,33,82
default,emailservice-us-west-1-84fdb7d6b4-ws9xm,server,1,40
default,emailservice-us-west-1-84fdb7d6b4-ws9xm,istio-proxy,33,84
default,frontend-us-central-1-c98b66b45-kfgpv,server,0,11
default,frontend-us-central-1-c98b66b45-kfgpv,istio-proxy,192,85
default,frontend-us-central-1-c98b66b45-r7g6d,server,141,17
default,frontend-us-central-1-c98b66b45-r7g6d,istio-proxy,273,87
default,frontend-us-central-1-c98b66b45-ws5cd,server,93,16
default,frontend-us-central-1-c98b66b45-ws5cd,istio-proxy,196,83
default,frontend-us-east-1-79857c6c97-5txhx,server,40,15
default,frontend-us-east-1-79857c6c97-5txhx,istio-proxy,60,86
default,frontend-us-east-1-79857c6c97-jrvd2,server,70,16
default,frontend-us-east-1-79857c6c97-jrvd2,istio-proxy,3,83
default,frontend-us-east-1-79857c6c97-tgqqf,server,32,15
default,frontend-us-east-1-79857c6c97-tgqqf,istio-proxy,125,85
default,frontend-us-south-1-9b799ccb5-d6jl9,server,55,16
default,frontend-us-south-1-9b799ccb5-d6jl9,istio-proxy,6,83
default,frontend-us-south-1-9b799ccb5-ttxb2,server,0,11
default,frontend-us-south-1-9b799ccb5-ttxb2,istio-proxy,206,86
default,frontend-us-south-1-9b799ccb5-zn5c2,server,0,11
default,frontend-us-south-1-9b799ccb5-zn5c2,istio-proxy,112,85
default,frontend-us-west-1-6d456b55f-88f8n,server,196,17
default,frontend-us-west-1-6d456b55f-88f8n,istio-proxy,343,85
default,frontend-us-west-1-6d456b55f-jzjzn,server,0,12
default,frontend-us-west-1-6d456b55f-jzjzn,istio-proxy,72,86
default,frontend-us-west-1-6d456b55f-xsswg,server,28,16
default,frontend-us-west-1-6d456b55f-xsswg,istio-proxy,4,83
default,paymentservice-us-central-1-d4d7c4b74-8dpnf,server,0,14
default,paymentservice-us-central-1-d4d7c4b74-8dpnf,istio-proxy,6,83
default,paymentservice-us-central-1-d4d7c4b74-msclg,server,0,14
default,paymentservice-us-central-1-d4d7c4b74-msclg,istio-proxy,3,82
default,paymentservice-us-central-1-d4d7c4b74-x9z7w,server,0,15
default,paymentservice-us-central-1-d4d7c4b74-x9z7w,istio-proxy,3,83
default,paymentservice-us-east-1-7754fd5f86-b97kk,server,0,15
default,paymentservice-us-east-1-7754fd5f86-b97kk,istio-proxy,16,82
default,paymentservice-us-east-1-7754fd5f86-gv74l,server,44,18
default,paymentservice-us-east-1-7754fd5f86-gv74l,istio-proxy,4,84
default,paymentservice-us-east-1-7754fd5f86-jx5nb,server,20,14
default,paymentservice-us-east-1-7754fd5f86-jx5nb,istio-proxy,19,84
default,paymentservice-us-south-1-68777fcf46-fnnxv,server,49,16
default,paymentservice-us-south-1-68777fcf46-fnnxv,istio-proxy,18,84
default,paymentservice-us-south-1-68777fcf46-fpl76,server,0,15
default,paymentservice-us-south-1-68777fcf46-fpl76,istio-proxy,65,83
default,paymentservice-us-south-1-68777fcf46-h7bzn,server,0,14
default,paymentservice-us-south-1-68777fcf46-h7bzn,istio-proxy,88,85
default,paymentservice-us-west-1-54d6f8cfc4-4t7bz,server,58,17
default,paymentservice-us-west-1-54d6f8cfc4-4t7bz,istio-proxy,3,83
default,paymentservice-us-west-1-54d6f8cfc4-gbjmg,server,0,14
