Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6b574d4557-f7g8d,server,3,144
default,adservice-us-central-1-6b574d4557-f7g8d,istio-proxy,3,83
default,adservice-us-central-1-6b574d4557-mdz6r,server,3,148
default,adservice-us-central-1-6b574d4557-mdz6r,istio-proxy,3,84
default,adservice-us-central-1-6b574d4557-qlktv,server,3,150
default,adservice-us-central-1-6b574d4557-qlktv,istio-proxy,3,85
default,adservice-us-east-1-7d869648b-ltpc8,server,2,144
default,adservice-us-east-1-7d869648b-ltpc8,istio-proxy,3,83
default,adservice-us-east-1-7d869648b-spw4l,server,0,143
default,adservice-us-east-1-7d869648b-spw4l,istio-proxy,3,82
default,adservice-us-east-1-7d869648b-znqw8,server,2,147
default,adservice-us-east-1-7d869648b-znqw8,istio-proxy,3,84
default,adservice-us-south-1-8454cffb76-hlt89,server,3,143
default,adservice-us-south-1-8454cffb76-hlt89,istio-proxy,3,84
default,adservice-us-south-1-8454cffb76-k82j2,server,2,149
default,adservice-us-south-1-8454cffb76-k82j2,istio-proxy,3,83
default,adservice-us-south-1-8454cffb76-wqp6c,server,3,144
default,adservice-us-south-1-8454cffb76-wqp6c,istio-proxy,3,83
default,adservice-us-west-1-97ff5898-bglw8,server,2,143
default,adservice-us-west-1-97ff5898-bglw8,istio-proxy,3,83
default,adservice-us-west-1-97ff5898-f7nz2,server,3,144
default,adservice-us-west-1-97ff5898-f7nz2,istio-proxy,4,83
default,adservice-us-west-1-97ff5898-v85rj,server,4,142
default,adservice-us-west-1-97ff5898-v85rj,istio-proxy,4,83
default,cartservice-us-central-1-945c458f5-bdgvc,server,124,49
default,cartservice-us-central-1-945c458f5-bdgvc,istio-proxy,75,86
default,cartservice-us-central-1-945c458f5-bj9r7,server,120,47
default,cartservice-us-central-1-945c458f5-bj9r7,istio-proxy,77,83
default,cartservice-us-central-1-945c458f5-vvskx,server,120,49
default,cartservice-us-central-1-945c458f5-vvskx,istio-proxy,64,84
default,cartservice-us-east-1-6d54679b4f-79c8t,server,177,56
default,cartservice-us-east-1-6d54679b4f-79c8t,istio-proxy,117,86
default,cartservice-us-east-1-6d54679b4f-95hbq,server,188,52
default,cartservice-us-east-1-6d54679b4f-95hbq,istio-proxy,120,84
default,cartservice-us-east-1-6d54679b4f-wwxjj,server,173,51
