Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6b574d4557-f7g8d,server,3,153
default,adservice-us-central-1-6b574d4557-f7g8d,istio-proxy,2,83
default,adservice-us-central-1-6b574d4557-mdz6r,server,2,153
default,adservice-us-central-1-6b574d4557-mdz6r,istio-proxy,3,84
default,adservice-us-central-1-6b574d4557-qlktv,server,2,154
default,adservice-us-central-1-6b574d4557-qlktv,istio-proxy,3,85
default,adservice-us-east-1-7d869648b-ltpc8,server,3,153
default,adservice-us-east-1-7d869648b-ltpc8,istio-proxy,3,83
default,adservice-us-east-1-7d869648b-spw4l,server,7,157
default,adservice-us-east-1-7d869648b-spw4l,istio-proxy,3,82
default,adservice-us-east-1-7d869648b-znqw8,server,5,157
default,adservice-us-east-1-7d869648b-znqw8,istio-proxy,3,84
default,adservice-us-south-1-8454cffb76-hlt89,server,5,158
default,adservice-us-south-1-8454cffb76-hlt89,istio-proxy,3,84
default,adservice-us-south-1-8454cffb76-k82j2,server,2,154
default,adservice-us-south-1-8454cffb76-k82j2,istio-proxy,3,83
default,adservice-us-south-1-8454cffb76-wqp6c,server,2,153
default,adservice-us-south-1-8454cffb76-wqp6c,istio-proxy,3,83
default,adservice-us-west-1-97ff5898-bglw8,server,7,158
default,adservice-us-west-1-97ff5898-bglw8,istio-proxy,3,83
default,adservice-us-west-1-97ff5898-f7nz2,server,2,153
default,adservice-us-west-1-97ff5898-f7nz2,istio-proxy,3,83
default,adservice-us-west-1-97ff5898-v85rj,server,3,151
default,adservice-us-west-1-97ff5898-v85rj,istio-proxy,3,83
default,cartservice-us-central-1-945c458f5-bdgvc,server,2,53
default,cartservice-us-central-1-945c458f5-bdgvc,istio-proxy,3,86
default,cartservice-us-central-1-945c458f5-bj9r7,server,1,49
default,cartservice-us-central-1-945c458f5-bj9r7,istio-proxy,19,83
default,cartservice-us-central-1-945c458f5-vvskx,server,2,49
default,cartservice-us-central-1-945c458f5-vvskx,istio-proxy,3,84
default,cartservice-us-east-1-6d54679b4f-79c8t,server,1,54
default,cartservice-us-east-1-6d54679b4f-79c8t,istio-proxy,3,86
default,cartservice-us-east-1-6d54679b4f-95hbq,server,2,56
default,cartservice-us-east-1-6d54679b4f-95hbq,istio-proxy,3,84
default,cartservice-us-east-1-6d54679b4f-wwxjj,server,2,55
default,cartservice-us-east-1-6d54679b4f-wwxjj,istio-proxy,3,84
default,cartservice-us-south-1-5d7d9bc6c9-8sd9j,server,2,63
default,cartservice-us-south-1-5d7d9bc6c9-8sd9j,istio-proxy,3,84
