counter,region,service,endpoint,rps
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,86
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,66
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,73
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,60
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,116
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,115
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,110
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,76
1,us-east-1,sslateingress,sslateingress@POST@/cart,96
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,95
1,us-east-1,frontend,frontend@POST@/cart,95
1,us-east-1,frontend,frontend@POST@/cart/empty,86
1,us-east-1,frontend,frontend@POST@/setCurrency,85
1,us-east-1,frontend,frontend@POST@/cart/checkout,94
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,125
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,124
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,113
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,6
1,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,13
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,34
1,us-south-1,sslateingress,sslateingress@POST@/cart/empty,12
1,us-south-1,sslateingress,sslateingress@POST@/cart,31
1,us-south-1,sslateingress,sslateingress@POST@/setCurrency,0
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,95
1,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,104
1,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,54
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,119
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,46
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,341
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,314
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,308
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,287
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,292
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,313
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,302
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,239
1,us-west-1,sslateingress,sslateingress@POST@/cart,298
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,252
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,392
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,271
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,276
1,us-west-1,frontend,frontend@POST@/cart/checkout,240
1,us-west-1,frontend,frontend@POST@/setCurrency,183
1,us-west-1,frontend,frontend@POST@/cart,253
1,us-west-1,frontend,frontend@POST@/cart/empty,194
1,us-central-1,frontend,frontend@POST@/cart,31
1,us-central-1,frontend,frontend@POST@/setCurrency,19
1,us-central-1,frontend,frontend@POST@/cart/empty,23
1,us-central-1,frontend,frontend@POST@/cart/checkout,21
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,55
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,79
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,87
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,26
1,us-central-1,sslateingress,sslateingress@POST@/cart,69
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,39
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,51
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,57
2,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,115
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,115
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,114
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,109
2,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,176
2,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,104
2,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,107
2,us-east-1,sslateingress,sslateingress@POST@/setCurrency,103
2,us-east-1,sslateingress,sslateingress@POST@/cart,103
2,us-east-1,sslateingress,sslateingress@POST@/cart/empty,100
2,us-east-1,frontend,frontend@POST@/cart,109
2,us-east-1,frontend,frontend@POST@/cart/empty,112
2,us-east-1,frontend,frontend@POST@/setCurrency,103
2,us-east-1,frontend,frontend@POST@/cart/checkout,111
2,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,121
2,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,103
2,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,111
