Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5cf954fd6b-hffsr,server,2,187
default,adservice-us-central-1-5cf954fd6b-hffsr,istio-proxy,3,81
default,adservice-us-central-1-5cf954fd6b-knjhq,server,2,186
default,adservice-us-central-1-5cf954fd6b-knjhq,istio-proxy,3,82
default,adservice-us-central-1-5cf954fd6b-ttpzr,server,2,185
default,adservice-us-central-1-5cf954fd6b-ttpzr,istio-proxy,3,83
default,adservice-us-east-1-7cb486d964-c8dsq,server,1,186
default,adservice-us-east-1-7cb486d964-c8dsq,istio-proxy,3,81
default,adservice-us-east-1-7cb486d964-f6xn2,server,2,187
default,adservice-us-east-1-7cb486d964-f6xn2,istio-proxy,3,81
default,adservice-us-east-1-7cb486d964-zb6l5,server,2,186
default,adservice-us-east-1-7cb486d964-zb6l5,istio-proxy,3,82
default,adservice-us-south-1-7994f9cc4-442bv,server,2,187
default,adservice-us-south-1-7994f9cc4-442bv,istio-proxy,3,80
default,adservice-us-south-1-7994f9cc4-lst2p,server,3,188
default,adservice-us-south-1-7994f9cc4-lst2p,istio-proxy,3,82
default,adservice-us-south-1-7994f9cc4-w8jpt,server,4,184
default,adservice-us-south-1-7994f9cc4-w8jpt,istio-proxy,3,82
default,adservice-us-west-1-799575bb7b-dfddg,server,3,188
default,adservice-us-west-1-799575bb7b-dfddg,istio-proxy,3,83
default,adservice-us-west-1-799575bb7b-jqhdj,server,2,184
default,adservice-us-west-1-799575bb7b-jqhdj,istio-proxy,4,83
default,adservice-us-west-1-799575bb7b-vn5zp,server,3,186
default,adservice-us-west-1-799575bb7b-vn5zp,istio-proxy,3,81
default,cartservice-us-central-1-7d985f474d-5nfw8,server,163,45
default,cartservice-us-central-1-7d985f474d-5nfw8,istio-proxy,18,82
default,cartservice-us-central-1-7d985f474d-jzlbn,server,150,45
default,cartservice-us-central-1-7d985f474d-jzlbn,istio-proxy,13,83
default,cartservice-us-central-1-7d985f474d-ltb5w,server,184,44
default,cartservice-us-central-1-7d985f474d-ltb5w,istio-proxy,17,83
default,cartservice-us-east-1-bbcb8d56d-hlfgz,server,251,44
default,cartservice-us-east-1-bbcb8d56d-hlfgz,istio-proxy,137,85
default,cartservice-us-east-1-bbcb8d56d-qnjk7,server,326,49
default,cartservice-us-east-1-bbcb8d56d-qnjk7,istio-proxy,89,84
default,cartservice-us-east-1-bbcb8d56d-r8hgl,server,197,44
default,cartservice-us-east-1-bbcb8d56d-r8hgl,istio-proxy,109,83
default,cartservice-us-south-1-856c78fcbd-6844w,server,542,55
default,cartservice-us-south-1-856c78fcbd-6844w,istio-proxy,20,82
default,cartservice-us-south-1-856c78fcbd-msl4w,server,580,57
default,cartservice-us-south-1-856c78fcbd-msl4w,istio-proxy,222,83
default,cartservice-us-south-1-856c78fcbd-qwldw,server,340,53
default,cartservice-us-south-1-856c78fcbd-qwldw,istio-proxy,236,83
default,cartservice-us-west-1-6d799556bd-2cqzl,server,581,71
default,cartservice-us-west-1-6d799556bd-2cqzl,istio-proxy,323,84
default,cartservice-us-west-1-6d799556bd-8zns2,server,494,65
default,cartservice-us-west-1-6d799556bd-8zns2,istio-proxy,325,83
default,cartservice-us-west-1-6d799556bd-fcfmb,server,408,54
default,cartservice-us-west-1-6d799556bd-fcfmb,istio-proxy,396,84
default,checkoutservice-us-central-1-7b96bc8bd5-k5c7d,server,0,8
default,checkoutservice-us-central-1-7b96bc8bd5-k5c7d,istio-proxy,3,83
default,checkoutservice-us-central-1-7b96bc8bd5-pdbb8,server,0,8
default,checkoutservice-us-central-1-7b96bc8bd5-pdbb8,istio-proxy,4,81
default,checkoutservice-us-central-1-7b96bc8bd5-ptlkt,server,0,9
default,checkoutservice-us-central-1-7b96bc8bd5-ptlkt,istio-proxy,3,81
default,checkoutservice-us-east-1-57984dcf5f-ntdnx,server,198,11
default,checkoutservice-us-east-1-57984dcf5f-ntdnx,istio-proxy,330,85
default,checkoutservice-us-east-1-57984dcf5f-sfvwb,server,181,11
default,checkoutservice-us-east-1-57984dcf5f-sfvwb,istio-proxy,114,84
default,checkoutservice-us-east-1-57984dcf5f-zgqrt,server,121,11
default,checkoutservice-us-east-1-57984dcf5f-zgqrt,istio-proxy,287,84
default,checkoutservice-us-south-1-5848f4bc86-hs9q9,server,284,11
default,checkoutservice-us-south-1-5848f4bc86-hs9q9,istio-proxy,93,84
default,checkoutservice-us-south-1-5848f4bc86-msbk4,server,238,11
default,checkoutservice-us-south-1-5848f4bc86-msbk4,istio-proxy,563,85
default,checkoutservice-us-south-1-5848f4bc86-rg2wl,server,299,11
default,checkoutservice-us-south-1-5848f4bc86-rg2wl,istio-proxy,599,83
default,checkoutservice-us-west-1-588b594df4-7ms6l,server,250,11
default,checkoutservice-us-west-1-588b594df4-7ms6l,istio-proxy,512,84
default,checkoutservice-us-west-1-588b594df4-9r79m,server,316,12
default,checkoutservice-us-west-1-588b594df4-9r79m,istio-proxy,474,83
default,checkoutservice-us-west-1-588b594df4-ptmrc,server,216,11
default,checkoutservice-us-west-1-588b594df4-ptmrc,istio-proxy,528,86
default,currencyservice-us-central-1-878bbfb6-2dk7m,server,0,17
default,currencyservice-us-central-1-878bbfb6-2dk7m,istio-proxy,3,81
