Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5cf954fd6b-hffsr,server,1,191
default,adservice-us-central-1-5cf954fd6b-hffsr,istio-proxy,6,81
default,adservice-us-central-1-5cf954fd6b-knjhq,server,2,191
default,adservice-us-central-1-5cf954fd6b-knjhq,istio-proxy,3,82
default,adservice-us-central-1-5cf954fd6b-ttpzr,server,2,190
default,adservice-us-central-1-5cf954fd6b-ttpzr,istio-proxy,6,81
default,adservice-us-east-1-7cb486d964-c8dsq,server,3,191
default,adservice-us-east-1-7cb486d964-c8dsq,istio-proxy,6,81
default,adservice-us-east-1-7cb486d964-f6xn2,server,2,191
default,adservice-us-east-1-7cb486d964-f6xn2,istio-proxy,6,81
default,adservice-us-east-1-7cb486d964-zb6l5,server,1,191
default,adservice-us-east-1-7cb486d964-zb6l5,istio-proxy,7,82
default,adservice-us-south-1-7994f9cc4-442bv,server,2,192
default,adservice-us-south-1-7994f9cc4-442bv,istio-proxy,9,80
default,adservice-us-south-1-7994f9cc4-lst2p,server,2,193
default,adservice-us-south-1-7994f9cc4-lst2p,istio-proxy,7,82
default,adservice-us-south-1-7994f9cc4-w8jpt,server,1,189
default,adservice-us-south-1-7994f9cc4-w8jpt,istio-proxy,6,82
default,adservice-us-west-1-799575bb7b-dfddg,server,2,193
default,adservice-us-west-1-799575bb7b-dfddg,istio-proxy,7,81
default,adservice-us-west-1-799575bb7b-jqhdj,server,1,189
default,adservice-us-west-1-799575bb7b-jqhdj,istio-proxy,7,83
default,adservice-us-west-1-799575bb7b-vn5zp,server,1,191
default,adservice-us-west-1-799575bb7b-vn5zp,istio-proxy,7,81
default,cartservice-us-central-1-7d985f474d-5nfw8,server,107,51
default,cartservice-us-central-1-7d985f474d-5nfw8,istio-proxy,69,82
default,cartservice-us-central-1-7d985f474d-jzlbn,server,76,49
default,cartservice-us-central-1-7d985f474d-jzlbn,istio-proxy,49,83
default,cartservice-us-central-1-7d985f474d-ltb5w,server,37,49
default,cartservice-us-central-1-7d985f474d-ltb5w,istio-proxy,50,84
default,cartservice-us-east-1-bbcb8d56d-hlfgz,server,138,62
default,cartservice-us-east-1-bbcb8d56d-hlfgz,istio-proxy,145,85
default,cartservice-us-east-1-bbcb8d56d-qnjk7,server,51,59
default,cartservice-us-east-1-bbcb8d56d-qnjk7,istio-proxy,8,82
default,cartservice-us-east-1-bbcb8d56d-r8hgl,server,108,60
default,cartservice-us-east-1-bbcb8d56d-r8hgl,istio-proxy,8,83
default,cartservice-us-south-1-856c78fcbd-6844w,server,87,70
default,cartservice-us-south-1-856c78fcbd-6844w,istio-proxy,8,83
default,cartservice-us-south-1-856c78fcbd-msl4w,server,65,71
default,cartservice-us-south-1-856c78fcbd-msl4w,istio-proxy,26,84
default,cartservice-us-south-1-856c78fcbd-qwldw,server,113,70
