Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5cf954fd6b-hffsr,server,1,191
default,adservice-us-central-1-5cf954fd6b-hffsr,istio-proxy,3,80
default,adservice-us-central-1-5cf954fd6b-knjhq,server,1,191
default,adservice-us-central-1-5cf954fd6b-knjhq,istio-proxy,6,83
default,adservice-us-central-1-5cf954fd6b-ttpzr,server,2,190
default,adservice-us-central-1-5cf954fd6b-ttpzr,istio-proxy,3,81
default,adservice-us-east-1-7cb486d964-c8dsq,server,2,191
default,adservice-us-east-1-7cb486d964-c8dsq,istio-proxy,2,81
default,adservice-us-east-1-7cb486d964-f6xn2,server,1,192
default,adservice-us-east-1-7cb486d964-f6xn2,istio-proxy,3,80
default,adservice-us-east-1-7cb486d964-zb6l5,server,1,191
default,adservice-us-east-1-7cb486d964-zb6l5,istio-proxy,3,80
default,adservice-us-south-1-7994f9cc4-442bv,server,3,192
default,adservice-us-south-1-7994f9cc4-442bv,istio-proxy,3,80
default,adservice-us-south-1-7994f9cc4-lst2p,server,2,193
default,adservice-us-south-1-7994f9cc4-lst2p,istio-proxy,3,80
default,adservice-us-south-1-7994f9cc4-w8jpt,server,2,189
default,adservice-us-south-1-7994f9cc4-w8jpt,istio-proxy,4,81
default,adservice-us-west-1-799575bb7b-dfddg,server,2,194
default,adservice-us-west-1-799575bb7b-dfddg,istio-proxy,3,81
default,adservice-us-west-1-799575bb7b-jqhdj,server,1,189
default,adservice-us-west-1-799575bb7b-jqhdj,istio-proxy,4,82
default,adservice-us-west-1-799575bb7b-vn5zp,server,2,191
default,adservice-us-west-1-799575bb7b-vn5zp,istio-proxy,3,80
default,cartservice-us-central-1-7d985f474d-5nfw8,server,3,50
default,cartservice-us-central-1-7d985f474d-5nfw8,istio-proxy,8,83
default,cartservice-us-central-1-7d985f474d-jzlbn,server,3,49
default,cartservice-us-central-1-7d985f474d-jzlbn,istio-proxy,3,83
default,cartservice-us-central-1-7d985f474d-ltb5w,server,2,50
default,cartservice-us-central-1-7d985f474d-ltb5w,istio-proxy,3,84
default,cartservice-us-east-1-bbcb8d56d-hlfgz,server,2,60
default,cartservice-us-east-1-bbcb8d56d-hlfgz,istio-proxy,5,85
default,cartservice-us-east-1-bbcb8d56d-qnjk7,server,4,59
default,cartservice-us-east-1-bbcb8d56d-qnjk7,istio-proxy,3,82
default,cartservice-us-east-1-bbcb8d56d-r8hgl,server,3,60
default,cartservice-us-east-1-bbcb8d56d-r8hgl,istio-proxy,3,83
default,cartservice-us-south-1-856c78fcbd-6844w,server,4,71
default,cartservice-us-south-1-856c78fcbd-6844w,istio-proxy,3,83
default,cartservice-us-south-1-856c78fcbd-msl4w,server,3,71
default,cartservice-us-south-1-856c78fcbd-msl4w,istio-proxy,3,84
default,cartservice-us-south-1-856c78fcbd-qwldw,server,4,70
default,cartservice-us-south-1-856c78fcbd-qwldw,istio-proxy,3,83
default,cartservice-us-west-1-6d799556bd-2cqzl,server,3,102
default,cartservice-us-west-1-6d799556bd-2cqzl,istio-proxy,8,84
default,cartservice-us-west-1-6d799556bd-8zns2,server,4,104
default,cartservice-us-west-1-6d799556bd-8zns2,istio-proxy,3,84
default,cartservice-us-west-1-6d799556bd-fcfmb,server,3,103
default,cartservice-us-west-1-6d799556bd-fcfmb,istio-proxy,3,84
default,checkoutservice-us-central-1-7b96bc8bd5-k5c7d,server,0,9
default,checkoutservice-us-central-1-7b96bc8bd5-k5c7d,istio-proxy,3,81
default,checkoutservice-us-central-1-7b96bc8bd5-pdbb8,server,0,8
default,checkoutservice-us-central-1-7b96bc8bd5-pdbb8,istio-proxy,3,81
default,checkoutservice-us-central-1-7b96bc8bd5-ptlkt,server,0,9
default,checkoutservice-us-central-1-7b96bc8bd5-ptlkt,istio-proxy,3,81
default,checkoutservice-us-east-1-57984dcf5f-ntdnx,server,0,12
default,checkoutservice-us-east-1-57984dcf5f-ntdnx,istio-proxy,4,83
default,checkoutservice-us-east-1-57984dcf5f-sfvwb,server,0,12
default,checkoutservice-us-east-1-57984dcf5f-sfvwb,istio-proxy,71,85
default,checkoutservice-us-east-1-57984dcf5f-zgqrt,server,0,11
default,checkoutservice-us-east-1-57984dcf5f-zgqrt,istio-proxy,3,84
default,checkoutservice-us-south-1-5848f4bc86-hs9q9,server,0,12
default,checkoutservice-us-south-1-5848f4bc86-hs9q9,istio-proxy,3,84
default,checkoutservice-us-south-1-5848f4bc86-msbk4,server,0,12
default,checkoutservice-us-south-1-5848f4bc86-msbk4,istio-proxy,4,85
default,checkoutservice-us-south-1-5848f4bc86-rg2wl,server,0,12
default,checkoutservice-us-south-1-5848f4bc86-rg2wl,istio-proxy,5,83
default,checkoutservice-us-west-1-588b594df4-7ms6l,server,0,11
default,checkoutservice-us-west-1-588b594df4-7ms6l,istio-proxy,4,83
default,checkoutservice-us-west-1-588b594df4-9r79m,server,0,11
default,checkoutservice-us-west-1-588b594df4-9r79m,istio-proxy,6,83
default,checkoutservice-us-west-1-588b594df4-ptmrc,server,0,11
default,checkoutservice-us-west-1-588b594df4-ptmrc,istio-proxy,3,86
default,currencyservice-us-central-1-878bbfb6-2dk7m,server,0,18
default,currencyservice-us-central-1-878bbfb6-2dk7m,istio-proxy,3,81
default,currencyservice-us-central-1-878bbfb6-5868s,server,0,17
default,currencyservice-us-central-1-878bbfb6-5868s,istio-proxy,3,86
default,currencyservice-us-central-1-878bbfb6-mtr5f,server,0,18
default,currencyservice-us-central-1-878bbfb6-mtr5f,istio-proxy,3,82
default,currencyservice-us-east-1-659c8d45f6-2tgcz,server,0,29
default,currencyservice-us-east-1-659c8d45f6-2tgcz,istio-proxy,7,83
default,currencyservice-us-east-1-659c8d45f6-bmxj4,server,0,30
default,currencyservice-us-east-1-659c8d45f6-bmxj4,istio-proxy,3,82
default,currencyservice-us-east-1-659c8d45f6-tckh8,server,0,30
default,currencyservice-us-east-1-659c8d45f6-tckh8,istio-proxy,3,84
default,currencyservice-us-south-1-757d6c8bbf-55h8n,server,0,29
default,currencyservice-us-south-1-757d6c8bbf-55h8n,istio-proxy,3,83
default,currencyservice-us-south-1-757d6c8bbf-dg27k,server,0,34
default,currencyservice-us-south-1-757d6c8bbf-dg27k,istio-proxy,3,83
default,currencyservice-us-south-1-757d6c8bbf-tq7nn,server,0,34
default,currencyservice-us-south-1-757d6c8bbf-tq7nn,istio-proxy,7,82
default,currencyservice-us-west-1-6d58885665-52lxs,server,0,31
default,currencyservice-us-west-1-6d58885665-52lxs,istio-proxy,3,82
default,currencyservice-us-west-1-6d58885665-kf84f,server,0,34
default,currencyservice-us-west-1-6d58885665-kf84f,istio-proxy,4,82
default,currencyservice-us-west-1-6d58885665-l7nl5,server,0,31
