Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d844db7b9-5zxzm,server,1,197
default,adservice-us-central-1-6d844db7b9-5zxzm,istio-proxy,6,80
default,adservice-us-central-1-6d844db7b9-65hpd,server,0,192
default,adservice-us-central-1-6d844db7b9-65hpd,istio-proxy,6,79
default,adservice-us-central-1-6d844db7b9-gttkf,server,2,193
default,adservice-us-central-1-6d844db7b9-gttkf,istio-proxy,7,81
default,adservice-us-east-1-744bc7d68f-5tdqz,server,1,196
default,adservice-us-east-1-744bc7d68f-5tdqz,istio-proxy,7,81
default,adservice-us-east-1-744bc7d68f-898xt,server,2,195
default,adservice-us-east-1-744bc7d68f-898xt,istio-proxy,5,80
default,adservice-us-east-1-744bc7d68f-l5mkp,server,1,196
default,adservice-us-east-1-744bc7d68f-l5mkp,istio-proxy,5,80
default,adservice-us-south-1-6c9c8c8f49-2xr9q,server,1,196
default,adservice-us-south-1-6c9c8c8f49-2xr9q,istio-proxy,6,80
default,adservice-us-south-1-6c9c8c8f49-cv9r5,server,2,193
default,adservice-us-south-1-6c9c8c8f49-cv9r5,istio-proxy,6,79
default,adservice-us-south-1-6c9c8c8f49-m5gvt,server,2,193
default,adservice-us-south-1-6c9c8c8f49-m5gvt,istio-proxy,8,81
default,adservice-us-west-1-8bb8bb769-85vmt,server,1,194
default,adservice-us-west-1-8bb8bb769-85vmt,istio-proxy,8,79
default,adservice-us-west-1-8bb8bb769-nb2r2,server,1,195
default,adservice-us-west-1-8bb8bb769-nb2r2,istio-proxy,7,80
default,adservice-us-west-1-8bb8bb769-zf57d,server,1,193
default,adservice-us-west-1-8bb8bb769-zf57d,istio-proxy,6,81
default,cartservice-us-central-1-5d8f575644-8trxw,server,263,94
default,cartservice-us-central-1-5d8f575644-8trxw,istio-proxy,177,82
default,cartservice-us-central-1-5d8f575644-kcdbj,server,228,104
default,cartservice-us-central-1-5d8f575644-kcdbj,istio-proxy,179,81
default,cartservice-us-central-1-5d8f575644-znvlt,server,244,108
default,cartservice-us-central-1-5d8f575644-znvlt,istio-proxy,151,82
default,cartservice-us-east-1-6664f5b575-9pf7j,server,170,82
default,cartservice-us-east-1-6664f5b575-9pf7j,istio-proxy,119,81
default,cartservice-us-east-1-6664f5b575-d5m89,server,167,81
default,cartservice-us-east-1-6664f5b575-d5m89,istio-proxy,119,81
default,cartservice-us-east-1-6664f5b575-d7wmc,server,172,75
default,cartservice-us-east-1-6664f5b575-d7wmc,istio-proxy,113,82
default,cartservice-us-south-1-5fc95d7745-7b6wg,server,310,111
default,cartservice-us-south-1-5fc95d7745-7b6wg,istio-proxy,222,83
default,cartservice-us-south-1-5fc95d7745-t9lg7,server,293,108
default,cartservice-us-south-1-5fc95d7745-t9lg7,istio-proxy,223,82
default,cartservice-us-south-1-5fc95d7745-x2pwq,server,284,113
default,cartservice-us-south-1-5fc95d7745-x2pwq,istio-proxy,230,81
default,cartservice-us-west-1-579b47f6c9-l8x69,server,425,140
default,cartservice-us-west-1-579b47f6c9-l8x69,istio-proxy,323,85
default,cartservice-us-west-1-579b47f6c9-pg86l,server,421,140
default,cartservice-us-west-1-579b47f6c9-pg86l,istio-proxy,331,85
default,cartservice-us-west-1-579b47f6c9-tf6g9,server,434,144
default,cartservice-us-west-1-579b47f6c9-tf6g9,istio-proxy,329,85
default,checkoutservice-us-central-1-59b884969b-9jxzs,server,0,9
default,checkoutservice-us-central-1-59b884969b-9jxzs,istio-proxy,4,82
default,checkoutservice-us-central-1-59b884969b-ktph9,server,0,9
default,checkoutservice-us-central-1-59b884969b-ktph9,istio-proxy,8,81
default,checkoutservice-us-central-1-59b884969b-tmdhz,server,0,9
default,checkoutservice-us-central-1-59b884969b-tmdhz,istio-proxy,5,80
default,checkoutservice-us-east-1-797d7f85cc-q292r,server,104,11
default,checkoutservice-us-east-1-797d7f85cc-q292r,istio-proxy,202,81
default,checkoutservice-us-east-1-797d7f85cc-tcqnw,server,125,12
default,checkoutservice-us-east-1-797d7f85cc-tcqnw,istio-proxy,220,82
default,checkoutservice-us-east-1-797d7f85cc-xd8hl,server,120,11
default,checkoutservice-us-east-1-797d7f85cc-xd8hl,istio-proxy,223,80
default,checkoutservice-us-south-1-5df9f8fdd7-6zjpm,server,395,13
default,checkoutservice-us-south-1-5df9f8fdd7-6zjpm,istio-proxy,738,84
default,checkoutservice-us-south-1-5df9f8fdd7-gjrj8,server,406,13
default,checkoutservice-us-south-1-5df9f8fdd7-gjrj8,istio-proxy,715,83
default,checkoutservice-us-south-1-5df9f8fdd7-txqvt,server,408,12
default,checkoutservice-us-south-1-5df9f8fdd7-txqvt,istio-proxy,722,82
default,checkoutservice-us-west-1-77df5d756f-lgcgl,server,307,12
default,checkoutservice-us-west-1-77df5d756f-lgcgl,istio-proxy,596,83
default,checkoutservice-us-west-1-77df5d756f-sphgt,server,308,12
default,checkoutservice-us-west-1-77df5d756f-sphgt,istio-proxy,508,82
default,checkoutservice-us-west-1-77df5d756f-zg5fr,server,303,12
default,checkoutservice-us-west-1-77df5d756f-zg5fr,istio-proxy,592,82
default,currencyservice-us-central-1-f6bdb665-4spnl,server,0,18
default,currencyservice-us-central-1-f6bdb665-4spnl,istio-proxy,7,83
default,currencyservice-us-central-1-f6bdb665-hwhhb,server,0,18
default,currencyservice-us-central-1-f6bdb665-hwhhb,istio-proxy,5,79
default,currencyservice-us-central-1-f6bdb665-m5hdq,server,0,18
default,currencyservice-us-central-1-f6bdb665-m5hdq,istio-proxy,6,82
default,currencyservice-us-east-1-7876c44748-d699k,server,64,32
default,currencyservice-us-east-1-7876c44748-d699k,istio-proxy,47,85
default,currencyservice-us-east-1-7876c44748-hrtb8,server,71,30
default,currencyservice-us-east-1-7876c44748-hrtb8,istio-proxy,60,81
default,currencyservice-us-east-1-7876c44748-j4mzq,server,58,32
default,currencyservice-us-east-1-7876c44748-j4mzq,istio-proxy,51,81
default,currencyservice-us-south-1-56c74746c4-fw99d,server,152,36
default,currencyservice-us-south-1-56c74746c4-fw99d,istio-proxy,178,81
default,currencyservice-us-south-1-56c74746c4-ps8lb,server,177,35
default,currencyservice-us-south-1-56c74746c4-ps8lb,istio-proxy,188,83
default,currencyservice-us-south-1-56c74746c4-q7jnr,server,160,35
default,currencyservice-us-south-1-56c74746c4-q7jnr,istio-proxy,180,81
default,currencyservice-us-west-1-69cb7cf8bd-l4z8n,server,121,38
default,currencyservice-us-west-1-69cb7cf8bd-l4z8n,istio-proxy,155,81
default,currencyservice-us-west-1-69cb7cf8bd-pxzln,server,139,38
default,currencyservice-us-west-1-69cb7cf8bd-pxzln,istio-proxy,152,81
default,currencyservice-us-west-1-69cb7cf8bd-xbm9b,server,133,38
default,currencyservice-us-west-1-69cb7cf8bd-xbm9b,istio-proxy,144,82
default,emailservice-us-central-1-86697b9cdb-2ldsw,server,1,40
default,emailservice-us-central-1-86697b9cdb-2ldsw,istio-proxy,6,83
default,emailservice-us-central-1-86697b9cdb-l5b4h,server,1,40
default,emailservice-us-central-1-86697b9cdb-l5b4h,istio-proxy,7,84
default,emailservice-us-central-1-86697b9cdb-rwtcf,server,1,40
default,emailservice-us-central-1-86697b9cdb-rwtcf,istio-proxy,5,83
default,emailservice-us-east-1-7cb97f9746-84llx,server,36,41
default,emailservice-us-east-1-7cb97f9746-84llx,istio-proxy,46,85
default,emailservice-us-east-1-7cb97f9746-v77n2,server,41,41
default,emailservice-us-east-1-7cb97f9746-v77n2,istio-proxy,40,84
default,emailservice-us-east-1-7cb97f9746-xwnhs,server,41,41
default,emailservice-us-east-1-7cb97f9746-xwnhs,istio-proxy,41,86
default,emailservice-us-south-1-857fd5f76f-j2jvt,server,139,41
default,emailservice-us-south-1-857fd5f76f-j2jvt,istio-proxy,128,85
default,emailservice-us-south-1-857fd5f76f-lt6xx,server,140,41
default,emailservice-us-south-1-857fd5f76f-lt6xx,istio-proxy,128,84
default,emailservice-us-south-1-857fd5f76f-mczqg,server,139,41
default,emailservice-us-south-1-857fd5f76f-mczqg,istio-proxy,123,85
default,emailservice-us-west-1-69bf8689ff-gfjsl,server,99,41
default,emailservice-us-west-1-69bf8689ff-gfjsl,istio-proxy,95,86
default,emailservice-us-west-1-69bf8689ff-rq5dc,server,111,41
default,emailservice-us-west-1-69bf8689ff-rq5dc,istio-proxy,105,84
default,emailservice-us-west-1-69bf8689ff-vzfvs,server,116,41
default,emailservice-us-west-1-69bf8689ff-vzfvs,istio-proxy,107,85
default,frontend-us-central-1-679bf599fc-dj46s,server,343,18
default,frontend-us-central-1-679bf599fc-dj46s,istio-proxy,554,87
default,frontend-us-central-1-679bf599fc-k6nw5,server,341,20
default,frontend-us-central-1-679bf599fc-k6nw5,istio-proxy,570,88
default,frontend-us-central-1-679bf599fc-n8snn,server,309,18
default,frontend-us-central-1-679bf599fc-n8snn,istio-proxy,575,88
default,frontend-us-east-1-85d4f444d5-64bfv,server,154,17
default,frontend-us-east-1-85d4f444d5-64bfv,istio-proxy,249,81
default,frontend-us-east-1-85d4f444d5-dlv4s,server,131,17
default,frontend-us-east-1-85d4f444d5-dlv4s,istio-proxy,260,82
default,frontend-us-east-1-85d4f444d5-kl7vq,server,152,18
default,frontend-us-east-1-85d4f444d5-kl7vq,istio-proxy,263,81
default,frontend-us-south-1-677695c774-bghdf,server,170,18
default,frontend-us-south-1-677695c774-bghdf,istio-proxy,312,83
default,frontend-us-south-1-677695c774-h64p5,server,182,18
default,frontend-us-south-1-677695c774-h64p5,istio-proxy,296,82
default,frontend-us-south-1-677695c774-wdlnp,server,182,17
default,frontend-us-south-1-677695c774-wdlnp,istio-proxy,322,81
default,frontend-us-west-1-745bd49f9d-fzjdz,server,395,21
default,frontend-us-west-1-745bd49f9d-fzjdz,istio-proxy,706,93
default,frontend-us-west-1-745bd49f9d-jstxs,server,394,21
default,frontend-us-west-1-745bd49f9d-jstxs,istio-proxy,587,95
default,frontend-us-west-1-745bd49f9d-t68pc,server,393,21
default,frontend-us-west-1-745bd49f9d-t68pc,istio-proxy,711,94
default,paymentservice-us-central-1-74445f5bb5-9r7tn,server,0,16
default,paymentservice-us-central-1-74445f5bb5-9r7tn,istio-proxy,6,81
default,paymentservice-us-central-1-74445f5bb5-ftl7q,server,0,14
default,paymentservice-us-central-1-74445f5bb5-ftl7q,istio-proxy,5,83
default,paymentservice-us-central-1-74445f5bb5-g99zd,server,0,16
default,paymentservice-us-central-1-74445f5bb5-g99zd,istio-proxy,5,80
default,paymentservice-us-east-1-57dc8d4d59-mx2bd,server,59,27
default,paymentservice-us-east-1-57dc8d4d59-mx2bd,istio-proxy,44,80
default,paymentservice-us-east-1-57dc8d4d59-rwjmf,server,57,26
default,paymentservice-us-east-1-57dc8d4d59-rwjmf,istio-proxy,42,81
default,paymentservice-us-east-1-57dc8d4d59-snlkt,server,53,28
default,paymentservice-us-east-1-57dc8d4d59-snlkt,istio-proxy,48,85
default,paymentservice-us-south-1-5d656ddc89-54s4b,server,119,33
default,paymentservice-us-south-1-5d656ddc89-54s4b,istio-proxy,135,82
default,paymentservice-us-south-1-5d656ddc89-b6qkx,server,118,33
default,paymentservice-us-south-1-5d656ddc89-b6qkx,istio-proxy,138,81
default,paymentservice-us-south-1-5d656ddc89-hfw7h,server,116,36
default,paymentservice-us-south-1-5d656ddc89-hfw7h,istio-proxy,130,83
default,paymentservice-us-west-1-657f56bf87-942rt,server,114,28
default,paymentservice-us-west-1-657f56bf87-942rt,istio-proxy,114,83
default,paymentservice-us-west-1-657f56bf87-hjmbv,server,103,31
default,paymentservice-us-west-1-657f56bf87-hjmbv,istio-proxy,100,82
default,paymentservice-us-west-1-657f56bf87-x95lv,server,98,31
default,paymentservice-us-west-1-657f56bf87-x95lv,istio-proxy,99,82
default,productcatalogservice-us-central-1-b889679b-nrgt8,server,81,9
default,productcatalogservice-us-central-1-b889679b-nrgt8,istio-proxy,156,82
default,productcatalogservice-us-central-1-b889679b-pdbll,server,77,10
default,productcatalogservice-us-central-1-b889679b-pdbll,istio-proxy,148,83
default,productcatalogservice-us-central-1-b889679b-s2sk4,server,77,10
default,productcatalogservice-us-central-1-b889679b-s2sk4,istio-proxy,151,83
default,productcatalogservice-us-east-1-66479c5bfb-4p8tb,server,38,10
default,productcatalogservice-us-east-1-66479c5bfb-4p8tb,istio-proxy,94,82
default,productcatalogservice-us-east-1-66479c5bfb-rxls5,server,43,10
default,productcatalogservice-us-east-1-66479c5bfb-rxls5,istio-proxy,85,83
default,productcatalogservice-us-east-1-66479c5bfb-tbj77,server,44,10
default,productcatalogservice-us-east-1-66479c5bfb-tbj77,istio-proxy,91,84
default,productcatalogservice-us-south-1-6458f49468-9822n,server,73,10
default,productcatalogservice-us-south-1-6458f49468-9822n,istio-proxy,146,83
default,productcatalogservice-us-south-1-6458f49468-fppn4,server,74,10
default,productcatalogservice-us-south-1-6458f49468-fppn4,istio-proxy,149,84
default,productcatalogservice-us-south-1-6458f49468-zsngg,server,69,10
default,productcatalogservice-us-south-1-6458f49468-zsngg,istio-proxy,152,84
default,productcatalogservice-us-west-1-667f55bd96-9nqtj,server,119,10
default,productcatalogservice-us-west-1-667f55bd96-9nqtj,istio-proxy,249,83
default,productcatalogservice-us-west-1-667f55bd96-jvslm,server,119,10
default,productcatalogservice-us-west-1-667f55bd96-jvslm,istio-proxy,245,83
default,productcatalogservice-us-west-1-667f55bd96-m97j8,server,106,10
default,productcatalogservice-us-west-1-667f55bd96-m97j8,istio-proxy,244,84
default,recommendationservice-us-central-1-695f957d67-85mn7,server,156,41
default,recommendationservice-us-central-1-695f957d67-85mn7,istio-proxy,112,85
default,recommendationservice-us-central-1-695f957d67-j87xt,server,153,41
default,recommendationservice-us-central-1-695f957d67-j87xt,istio-proxy,142,85
default,recommendationservice-us-central-1-695f957d67-jbkkd,server,158,41
default,recommendationservice-us-central-1-695f957d67-jbkkd,istio-proxy,143,84
default,recommendationservice-us-east-1-79c99b9d5f-2t266,server,79,41
default,recommendationservice-us-east-1-79c99b9d5f-2t266,istio-proxy,72,84
default,recommendationservice-us-east-1-79c99b9d5f-78czp,server,75,40
default,recommendationservice-us-east-1-79c99b9d5f-78czp,istio-proxy,65,83
default,recommendationservice-us-east-1-79c99b9d5f-v8pw2,server,75,41
default,recommendationservice-us-east-1-79c99b9d5f-v8pw2,istio-proxy,65,84
default,recommendationservice-us-south-1-5cbf78ddc9-76t9s,server,84,40
default,recommendationservice-us-south-1-5cbf78ddc9-76t9s,istio-proxy,72,85
default,recommendationservice-us-south-1-5cbf78ddc9-c5hnj,server,85,40
default,recommendationservice-us-south-1-5cbf78ddc9-c5hnj,istio-proxy,77,83
default,recommendationservice-us-south-1-5cbf78ddc9-vlg69,server,80,40
default,recommendationservice-us-south-1-5cbf78ddc9-vlg69,istio-proxy,81,84
default,recommendationservice-us-west-1-68c48cfcf5-9mmkp,server,205,41
default,recommendationservice-us-west-1-68c48cfcf5-9mmkp,istio-proxy,185,86
default,recommendationservice-us-west-1-68c48cfcf5-f457r,server,206,41
default,recommendationservice-us-west-1-68c48cfcf5-f457r,istio-proxy,176,87
default,recommendationservice-us-west-1-68c48cfcf5-hg2pl,server,189,41
default,recommendationservice-us-west-1-68c48cfcf5-hg2pl,istio-proxy,183,87
default,redis-cart-us-central-1-869cf88b4c-96x9k,redis,19,3
default,redis-cart-us-central-1-869cf88b4c-96x9k,istio-proxy,39,79
default,redis-cart-us-central-1-869cf88b4c-cpxwr,redis,20,3
default,redis-cart-us-central-1-869cf88b4c-cpxwr,istio-proxy,40,78
default,redis-cart-us-central-1-869cf88b4c-dphbc,redis,20,3
