Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-858d4fd6cd-jhc57,server,0,144
default,adservice-us-central-1-858d4fd6cd-jhc57,istio-proxy,4,82
default,adservice-us-central-1-858d4fd6cd-mvnkh,server,2,145
default,adservice-us-central-1-858d4fd6cd-mvnkh,istio-proxy,3,83
default,adservice-us-central-1-858d4fd6cd-ntzk9,server,2,149
default,adservice-us-central-1-858d4fd6cd-ntzk9,istio-proxy,4,81
default,adservice-us-east-1-85ffc8f7b4-qb9tw,server,0,143
default,adservice-us-east-1-85ffc8f7b4-qb9tw,istio-proxy,3,82
default,adservice-us-east-1-85ffc8f7b4-sxr7p,server,2,142
default,adservice-us-east-1-85ffc8f7b4-sxr7p,istio-proxy,3,82
default,adservice-us-east-1-85ffc8f7b4-xs8sd,server,2,147
default,adservice-us-east-1-85ffc8f7b4-xs8sd,istio-proxy,3,82
default,adservice-us-south-1-8544787546-c2cwh,server,4,147
default,adservice-us-south-1-8544787546-c2cwh,istio-proxy,4,82
default,adservice-us-south-1-8544787546-djtb6,server,2,148
default,adservice-us-south-1-8544787546-djtb6,istio-proxy,3,83
default,adservice-us-south-1-8544787546-kjllh,server,2,142
default,adservice-us-south-1-8544787546-kjllh,istio-proxy,4,81
default,adservice-us-west-1-76c79c99f9-9cpfg,server,3,142
default,adservice-us-west-1-76c79c99f9-9cpfg,istio-proxy,4,83
default,adservice-us-west-1-76c79c99f9-cmwp7,server,3,143
default,adservice-us-west-1-76c79c99f9-cmwp7,istio-proxy,4,82
default,adservice-us-west-1-76c79c99f9-zsgzh,server,2,142
default,adservice-us-west-1-76c79c99f9-zsgzh,istio-proxy,4,83
default,cartservice-us-central-1-56f99f845d-fhz96,server,203,56
default,cartservice-us-central-1-56f99f845d-fhz96,istio-proxy,130,83
default,cartservice-us-central-1-56f99f845d-j4hwm,server,289,52
default,cartservice-us-central-1-56f99f845d-j4hwm,istio-proxy,122,84
default,cartservice-us-central-1-56f99f845d-xf4vn,server,194,58
default,cartservice-us-central-1-56f99f845d-xf4vn,istio-proxy,125,84
default,cartservice-us-east-1-8549b7fbbb-mrzmr,server,286,62
default,cartservice-us-east-1-8549b7fbbb-mrzmr,istio-proxy,143,84
default,cartservice-us-east-1-8549b7fbbb-n2g42,server,289,62
default,cartservice-us-east-1-8549b7fbbb-n2g42,istio-proxy,199,85
default,cartservice-us-east-1-8549b7fbbb-vdz5z,server,294,62
default,cartservice-us-east-1-8549b7fbbb-vdz5z,istio-proxy,199,84
default,cartservice-us-south-1-fd99dcf58-df7mh,server,391,73
default,cartservice-us-south-1-fd99dcf58-df7mh,istio-proxy,280,84
default,cartservice-us-south-1-fd99dcf58-fb5r9,server,402,67
default,cartservice-us-south-1-fd99dcf58-fb5r9,istio-proxy,246,85
default,cartservice-us-south-1-fd99dcf58-r8svx,server,315,81
default,cartservice-us-south-1-fd99dcf58-r8svx,istio-proxy,267,83
default,cartservice-us-west-1-7c9bb4bccd-bf499,server,347,74
default,cartservice-us-west-1-7c9bb4bccd-bf499,istio-proxy,239,83
