Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-858d4fd6cd-jhc57,server,2,144
default,adservice-us-central-1-858d4fd6cd-jhc57,istio-proxy,3,81
default,adservice-us-central-1-858d4fd6cd-mvnkh,server,2,141
default,adservice-us-central-1-858d4fd6cd-mvnkh,istio-proxy,3,83
default,adservice-us-central-1-858d4fd6cd-ntzk9,server,3,144
default,adservice-us-central-1-858d4fd6cd-ntzk9,istio-proxy,3,81
default,adservice-us-east-1-85ffc8f7b4-qb9tw,server,4,143
default,adservice-us-east-1-85ffc8f7b4-qb9tw,istio-proxy,3,82
default,adservice-us-east-1-85ffc8f7b4-sxr7p,server,4,138
default,adservice-us-east-1-85ffc8f7b4-sxr7p,istio-proxy,3,82
default,adservice-us-east-1-85ffc8f7b4-xs8sd,server,3,142
default,adservice-us-east-1-85ffc8f7b4-xs8sd,istio-proxy,4,82
default,adservice-us-south-1-8544787546-c2cwh,server,3,138
default,adservice-us-south-1-8544787546-c2cwh,istio-proxy,3,82
default,adservice-us-south-1-8544787546-djtb6,server,3,143
default,adservice-us-south-1-8544787546-djtb6,istio-proxy,3,83
default,adservice-us-south-1-8544787546-kjllh,server,2,137
default,adservice-us-south-1-8544787546-kjllh,istio-proxy,3,81
default,adservice-us-west-1-76c79c99f9-9cpfg,server,3,142
default,adservice-us-west-1-76c79c99f9-9cpfg,istio-proxy,3,83
default,adservice-us-west-1-76c79c99f9-cmwp7,server,3,138
default,adservice-us-west-1-76c79c99f9-cmwp7,istio-proxy,4,82
default,adservice-us-west-1-76c79c99f9-zsgzh,server,4,137
default,adservice-us-west-1-76c79c99f9-zsgzh,istio-proxy,4,83
default,cartservice-us-central-1-56f99f845d-fhz96,server,262,45
default,cartservice-us-central-1-56f99f845d-fhz96,istio-proxy,108,83
default,cartservice-us-central-1-56f99f845d-j4hwm,server,289,52
default,cartservice-us-central-1-56f99f845d-j4hwm,istio-proxy,110,84
default,cartservice-us-central-1-56f99f845d-xf4vn,server,313,51
default,cartservice-us-central-1-56f99f845d-xf4vn,istio-proxy,48,84
default,cartservice-us-east-1-8549b7fbbb-mrzmr,server,438,51
default,cartservice-us-east-1-8549b7fbbb-mrzmr,istio-proxy,185,84
default,cartservice-us-east-1-8549b7fbbb-n2g42,server,443,45
default,cartservice-us-east-1-8549b7fbbb-n2g42,istio-proxy,129,85
default,cartservice-us-east-1-8549b7fbbb-vdz5z,server,336,46
default,cartservice-us-east-1-8549b7fbbb-vdz5z,istio-proxy,148,84
default,cartservice-us-south-1-fd99dcf58-df7mh,server,588,55
default,cartservice-us-south-1-fd99dcf58-df7mh,istio-proxy,287,84
default,cartservice-us-south-1-fd99dcf58-fb5r9,server,209,47
default,cartservice-us-south-1-fd99dcf58-fb5r9,istio-proxy,311,85
default,cartservice-us-south-1-fd99dcf58-r8svx,server,472,59
default,cartservice-us-south-1-fd99dcf58-r8svx,istio-proxy,273,83
default,cartservice-us-west-1-7c9bb4bccd-bf499,server,145,42
default,cartservice-us-west-1-7c9bb4bccd-bf499,istio-proxy,239,83
default,cartservice-us-west-1-7c9bb4bccd-p84pr,server,442,63
default,cartservice-us-west-1-7c9bb4bccd-p84pr,istio-proxy,62,83
default,cartservice-us-west-1-7c9bb4bccd-tmzzc,server,366,63
default,cartservice-us-west-1-7c9bb4bccd-tmzzc,istio-proxy,233,86
default,checkoutservice-us-central-1-75b5475d66-24hwd,server,0,9
default,checkoutservice-us-central-1-75b5475d66-24hwd,istio-proxy,3,84
default,checkoutservice-us-central-1-75b5475d66-nbl7l,server,0,8
default,checkoutservice-us-central-1-75b5475d66-nbl7l,istio-proxy,3,83
default,checkoutservice-us-central-1-75b5475d66-w5b8r,server,0,8
default,checkoutservice-us-central-1-75b5475d66-w5b8r,istio-proxy,3,84
default,checkoutservice-us-east-1-5949f4bc74-qsqvx,server,157,11
default,checkoutservice-us-east-1-5949f4bc74-qsqvx,istio-proxy,183,85
default,checkoutservice-us-east-1-5949f4bc74-vx5q5,server,180,11
default,checkoutservice-us-east-1-5949f4bc74-vx5q5,istio-proxy,249,85
default,checkoutservice-us-east-1-5949f4bc74-xs9lx,server,209,11
default,checkoutservice-us-east-1-5949f4bc74-xs9lx,istio-proxy,246,85
default,checkoutservice-us-south-1-7c98ccd4bb-987vm,server,276,11
default,checkoutservice-us-south-1-7c98ccd4bb-987vm,istio-proxy,479,83
default,checkoutservice-us-south-1-7c98ccd4bb-dl8qh,server,417,12
default,checkoutservice-us-south-1-7c98ccd4bb-dl8qh,istio-proxy,604,86
default,checkoutservice-us-south-1-7c98ccd4bb-j6snj,server,411,12
default,checkoutservice-us-south-1-7c98ccd4bb-j6snj,istio-proxy,482,85
default,checkoutservice-us-west-1-75f659b57d-99w87,server,166,11
default,checkoutservice-us-west-1-75f659b57d-99w87,istio-proxy,425,83
default,checkoutservice-us-west-1-75f659b57d-cnh7d,server,233,11
default,checkoutservice-us-west-1-75f659b57d-cnh7d,istio-proxy,364,84
default,checkoutservice-us-west-1-75f659b57d-lpzbj,server,170,10
default,checkoutservice-us-west-1-75f659b57d-lpzbj,istio-proxy,425,84
default,currencyservice-us-central-1-67b7c99b75-6jhfk,server,0,18
default,currencyservice-us-central-1-67b7c99b75-6jhfk,istio-proxy,3,82
default,currencyservice-us-central-1-67b7c99b75-nx778,server,0,18
default,currencyservice-us-central-1-67b7c99b75-nx778,istio-proxy,3,87
default,currencyservice-us-central-1-67b7c99b75-tfjbl,server,0,18
default,currencyservice-us-central-1-67b7c99b75-tfjbl,istio-proxy,3,83
default,currencyservice-us-east-1-68894cf995-42dcl,server,158,24
default,currencyservice-us-east-1-68894cf995-42dcl,istio-proxy,66,83
default,currencyservice-us-east-1-68894cf995-kv54f,server,162,25
default,currencyservice-us-east-1-68894cf995-kv54f,istio-proxy,91,82
default,currencyservice-us-east-1-68894cf995-mt5lb,server,152,25
default,currencyservice-us-east-1-68894cf995-mt5lb,istio-proxy,90,83
default,currencyservice-us-south-1-77f496d98c-chk62,server,156,27
default,currencyservice-us-south-1-77f496d98c-chk62,istio-proxy,218,84
default,currencyservice-us-south-1-77f496d98c-jq648,server,309,31
default,currencyservice-us-south-1-77f496d98c-jq648,istio-proxy,52,84
default,currencyservice-us-south-1-77f496d98c-ldl5h,server,317,31
default,currencyservice-us-south-1-77f496d98c-ldl5h,istio-proxy,169,83
default,currencyservice-us-west-1-5dcd76b8c-8f7vr,server,204,27
default,currencyservice-us-west-1-5dcd76b8c-8f7vr,istio-proxy,114,83
default,currencyservice-us-west-1-5dcd76b8c-8k766,server,188,27
default,currencyservice-us-west-1-5dcd76b8c-8k766,istio-proxy,107,85
default,currencyservice-us-west-1-5dcd76b8c-x2lvj,server,182,27
default,currencyservice-us-west-1-5dcd76b8c-x2lvj,istio-proxy,112,84
default,emailservice-us-central-1-7dd846498f-dkcsp,server,1,40
