Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fc598f7cb-9qk8t,server,0,145
default,adservice-us-central-1-fc598f7cb-9qk8t,istio-proxy,3,84
default,adservice-us-central-1-fc598f7cb-cz8j4,server,2,141
default,adservice-us-central-1-fc598f7cb-cz8j4,istio-proxy,3,82
default,adservice-us-central-1-fc598f7cb-ssvf2,server,2,142
default,adservice-us-central-1-fc598f7cb-ssvf2,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-95bwb,server,3,142
default,adservice-us-east-1-dd65cc877-95bwb,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-d4dfc,server,2,144
default,adservice-us-east-1-dd65cc877-d4dfc,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-xxxzh,server,3,143
default,adservice-us-east-1-dd65cc877-xxxzh,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-5n2np,server,2,145
default,adservice-us-south-1-d89d49cc-5n2np,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jbwwz,server,0,142
default,adservice-us-south-1-d89d49cc-jbwwz,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jkbm8,server,2,143
default,adservice-us-south-1-d89d49cc-jkbm8,istio-proxy,3,83
default,adservice-us-west-1-65fd85f785-8jxl6,server,3,143
default,adservice-us-west-1-65fd85f785-8jxl6,istio-proxy,4,83
default,adservice-us-west-1-65fd85f785-jh5hk,server,3,148
default,adservice-us-west-1-65fd85f785-jh5hk,istio-proxy,4,82
default,adservice-us-west-1-65fd85f785-mq7kd,server,3,144
default,adservice-us-west-1-65fd85f785-mq7kd,istio-proxy,4,83
default,cartservice-us-central-1-5db8c4fc88-rtksq,server,123,46
default,cartservice-us-central-1-5db8c4fc88-rtksq,istio-proxy,72,84
default,cartservice-us-central-1-5db8c4fc88-tvm9k,server,120,47
default,cartservice-us-central-1-5db8c4fc88-tvm9k,istio-proxy,74,84
default,cartservice-us-central-1-5db8c4fc88-zw726,server,117,51
default,cartservice-us-central-1-5db8c4fc88-zw726,istio-proxy,73,86
default,cartservice-us-east-1-95d57fb48-jmr9h,server,189,57
default,cartservice-us-east-1-95d57fb48-jmr9h,istio-proxy,115,84
default,cartservice-us-east-1-95d57fb48-klv7d,server,206,51
default,cartservice-us-east-1-95d57fb48-klv7d,istio-proxy,125,86
default,cartservice-us-east-1-95d57fb48-mv22q,server,176,56
default,cartservice-us-east-1-95d57fb48-mv22q,istio-proxy,114,86
default,cartservice-us-south-1-5f9488554f-c7tz6,server,221,59
default,cartservice-us-south-1-5f9488554f-c7tz6,istio-proxy,158,85
default,cartservice-us-south-1-5f9488554f-nmsfr,server,245,61
default,cartservice-us-south-1-5f9488554f-nmsfr,istio-proxy,164,83
default,cartservice-us-south-1-5f9488554f-vf2w7,server,226,60
default,cartservice-us-south-1-5f9488554f-vf2w7,istio-proxy,155,85
default,cartservice-us-west-1-54fdd7745f-52ctc,server,573,119
default,cartservice-us-west-1-54fdd7745f-52ctc,istio-proxy,602,87
default,cartservice-us-west-1-54fdd7745f-5pgds,server,551,100
default,cartservice-us-west-1-54fdd7745f-5pgds,istio-proxy,574,83
default,cartservice-us-west-1-54fdd7745f-xwd67,server,573,100
