Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fc598f7cb-9qk8t,server,6,159
default,adservice-us-central-1-fc598f7cb-9qk8t,istio-proxy,3,84
default,adservice-us-central-1-fc598f7cb-cz8j4,server,2,150
default,adservice-us-central-1-fc598f7cb-cz8j4,istio-proxy,3,82
default,adservice-us-central-1-fc598f7cb-ssvf2,server,2,152
default,adservice-us-central-1-fc598f7cb-ssvf2,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-95bwb,server,3,151
default,adservice-us-east-1-dd65cc877-95bwb,istio-proxy,3,84
default,adservice-us-east-1-dd65cc877-d4dfc,server,3,153
default,adservice-us-east-1-dd65cc877-d4dfc,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-xxxzh,server,5,157
default,adservice-us-east-1-dd65cc877-xxxzh,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-5n2np,server,2,154
default,adservice-us-south-1-d89d49cc-5n2np,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jbwwz,server,4,152
default,adservice-us-south-1-d89d49cc-jbwwz,istio-proxy,4,82
default,adservice-us-south-1-d89d49cc-jkbm8,server,8,157
default,adservice-us-south-1-d89d49cc-jkbm8,istio-proxy,3,83
default,adservice-us-west-1-65fd85f785-8jxl6,server,3,152
default,adservice-us-west-1-65fd85f785-8jxl6,istio-proxy,3,83
default,adservice-us-west-1-65fd85f785-jh5hk,server,2,153
default,adservice-us-west-1-65fd85f785-jh5hk,istio-proxy,4,82
default,adservice-us-west-1-65fd85f785-mq7kd,server,2,153
default,adservice-us-west-1-65fd85f785-mq7kd,istio-proxy,4,83
default,cartservice-us-central-1-5db8c4fc88-rtksq,server,111,61
default,cartservice-us-central-1-5db8c4fc88-rtksq,istio-proxy,67,84
default,cartservice-us-central-1-5db8c4fc88-tvm9k,server,107,59
default,cartservice-us-central-1-5db8c4fc88-tvm9k,istio-proxy,70,83
default,cartservice-us-central-1-5db8c4fc88-zw726,server,83,62
default,cartservice-us-central-1-5db8c4fc88-zw726,istio-proxy,74,86
default,cartservice-us-east-1-95d57fb48-jmr9h,server,168,73
default,cartservice-us-east-1-95d57fb48-jmr9h,istio-proxy,104,84
default,cartservice-us-east-1-95d57fb48-klv7d,server,176,70
default,cartservice-us-east-1-95d57fb48-klv7d,istio-proxy,92,86
default,cartservice-us-east-1-95d57fb48-mv22q,server,161,73
default,cartservice-us-east-1-95d57fb48-mv22q,istio-proxy,86,86
default,cartservice-us-south-1-5f9488554f-c7tz6,server,166,85
default,cartservice-us-south-1-5f9488554f-c7tz6,istio-proxy,160,85
default,cartservice-us-south-1-5f9488554f-nmsfr,server,223,84
default,cartservice-us-south-1-5f9488554f-nmsfr,istio-proxy,153,84
default,cartservice-us-south-1-5f9488554f-vf2w7,server,224,81
default,cartservice-us-south-1-5f9488554f-vf2w7,istio-proxy,135,86
default,cartservice-us-west-1-54fdd7745f-52ctc,server,568,188
default,cartservice-us-west-1-54fdd7745f-52ctc,istio-proxy,609,92
default,cartservice-us-west-1-54fdd7745f-5pgds,server,549,196
default,cartservice-us-west-1-54fdd7745f-5pgds,istio-proxy,439,91
default,cartservice-us-west-1-54fdd7745f-xwd67,server,578,198
default,cartservice-us-west-1-54fdd7745f-xwd67,istio-proxy,603,93
default,checkoutservice-us-central-1-568896564-8gftt,server,0,9
default,checkoutservice-us-central-1-568896564-8gftt,istio-proxy,3,83
default,checkoutservice-us-central-1-568896564-wvrxl,server,0,8
default,checkoutservice-us-central-1-568896564-wvrxl,istio-proxy,4,83
default,checkoutservice-us-central-1-568896564-z2rlz,server,0,8
