Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fc598f7cb-9qk8t,server,4,154
default,adservice-us-central-1-fc598f7cb-9qk8t,istio-proxy,3,84
default,adservice-us-central-1-fc598f7cb-cz8j4,server,2,146
default,adservice-us-central-1-fc598f7cb-cz8j4,istio-proxy,3,82
default,adservice-us-central-1-fc598f7cb-ssvf2,server,2,152
default,adservice-us-central-1-fc598f7cb-ssvf2,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-95bwb,server,2,146
default,adservice-us-east-1-dd65cc877-95bwb,istio-proxy,3,84
default,adservice-us-east-1-dd65cc877-d4dfc,server,3,153
default,adservice-us-east-1-dd65cc877-d4dfc,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-xxxzh,server,2,147
default,adservice-us-east-1-dd65cc877-xxxzh,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-5n2np,server,2,150
default,adservice-us-south-1-d89d49cc-5n2np,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jbwwz,server,2,147
default,adservice-us-south-1-d89d49cc-jbwwz,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jkbm8,server,2,148
default,adservice-us-south-1-d89d49cc-jkbm8,istio-proxy,3,83
default,adservice-us-west-1-65fd85f785-8jxl6,server,3,147
default,adservice-us-west-1-65fd85f785-8jxl6,istio-proxy,5,83
default,adservice-us-west-1-65fd85f785-jh5hk,server,3,148
default,adservice-us-west-1-65fd85f785-jh5hk,istio-proxy,4,82
default,adservice-us-west-1-65fd85f785-mq7kd,server,2,149
default,adservice-us-west-1-65fd85f785-mq7kd,istio-proxy,4,83
default,cartservice-us-central-1-5db8c4fc88-rtksq,server,125,52
default,cartservice-us-central-1-5db8c4fc88-rtksq,istio-proxy,72,84
default,cartservice-us-central-1-5db8c4fc88-tvm9k,server,122,54
default,cartservice-us-central-1-5db8c4fc88-tvm9k,istio-proxy,74,84
default,cartservice-us-central-1-5db8c4fc88-zw726,server,116,56
default,cartservice-us-central-1-5db8c4fc88-zw726,istio-proxy,75,86
default,cartservice-us-east-1-95d57fb48-jmr9h,server,165,64
default,cartservice-us-east-1-95d57fb48-jmr9h,istio-proxy,118,84
default,cartservice-us-east-1-95d57fb48-klv7d,server,181,61
default,cartservice-us-east-1-95d57fb48-klv7d,istio-proxy,123,86
default,cartservice-us-east-1-95d57fb48-mv22q,server,158,64
default,cartservice-us-east-1-95d57fb48-mv22q,istio-proxy,113,86
default,cartservice-us-south-1-5f9488554f-c7tz6,server,223,73
default,cartservice-us-south-1-5f9488554f-c7tz6,istio-proxy,158,85
default,cartservice-us-south-1-5f9488554f-nmsfr,server,234,70
default,cartservice-us-south-1-5f9488554f-nmsfr,istio-proxy,153,84
default,cartservice-us-south-1-5f9488554f-vf2w7,server,221,71
default,cartservice-us-south-1-5f9488554f-vf2w7,istio-proxy,155,86
default,cartservice-us-west-1-54fdd7745f-52ctc,server,578,155
default,cartservice-us-west-1-54fdd7745f-52ctc,istio-proxy,596,89
default,cartservice-us-west-1-54fdd7745f-5pgds,server,560,147
default,cartservice-us-west-1-54fdd7745f-5pgds,istio-proxy,555,86
default,cartservice-us-west-1-54fdd7745f-xwd67,server,589,154
default,cartservice-us-west-1-54fdd7745f-xwd67,istio-proxy,610,89
default,checkoutservice-us-central-1-568896564-8gftt,server,0,9
default,checkoutservice-us-central-1-568896564-8gftt,istio-proxy,3,83
default,checkoutservice-us-central-1-568896564-wvrxl,server,0,9
default,checkoutservice-us-central-1-568896564-wvrxl,istio-proxy,4,83
default,checkoutservice-us-central-1-568896564-z2rlz,server,0,8
default,checkoutservice-us-central-1-568896564-z2rlz,istio-proxy,3,82
default,checkoutservice-us-east-1-7b56b4c56-5v8j9,server,122,11
default,checkoutservice-us-east-1-7b56b4c56-5v8j9,istio-proxy,223,83
default,checkoutservice-us-east-1-7b56b4c56-gcq6l,server,116,11
default,checkoutservice-us-east-1-7b56b4c56-gcq6l,istio-proxy,210,86
default,checkoutservice-us-east-1-7b56b4c56-m5rdn,server,119,11
default,checkoutservice-us-east-1-7b56b4c56-m5rdn,istio-proxy,215,84
default,checkoutservice-us-south-1-766bf48fc5-kl7cw,server,223,12
default,checkoutservice-us-south-1-766bf48fc5-kl7cw,istio-proxy,418,84
default,checkoutservice-us-south-1-766bf48fc5-l2qrj,server,235,12
default,checkoutservice-us-south-1-766bf48fc5-l2qrj,istio-proxy,414,86
default,checkoutservice-us-south-1-766bf48fc5-rb5jv,server,232,13
default,checkoutservice-us-south-1-766bf48fc5-rb5jv,istio-proxy,430,86
default,checkoutservice-us-west-1-784558ff6f-6wfc7,server,471,12
default,checkoutservice-us-west-1-784558ff6f-6wfc7,istio-proxy,1032,86
default,checkoutservice-us-west-1-784558ff6f-8rtjq,server,461,12
default,checkoutservice-us-west-1-784558ff6f-8rtjq,istio-proxy,1063,88
default,checkoutservice-us-west-1-784558ff6f-b9562,server,472,11
default,checkoutservice-us-west-1-784558ff6f-b9562,istio-proxy,1060,87
default,currencyservice-us-central-1-6fd5c7f5fc-b8gqs,server,0,17
default,currencyservice-us-central-1-6fd5c7f5fc-b8gqs,istio-proxy,3,82
default,currencyservice-us-central-1-6fd5c7f5fc-l5jqm,server,0,17
default,currencyservice-us-central-1-6fd5c7f5fc-l5jqm,istio-proxy,3,83
default,currencyservice-us-central-1-6fd5c7f5fc-lcb8k,server,0,17
default,currencyservice-us-central-1-6fd5c7f5fc-lcb8k,istio-proxy,3,84
default,currencyservice-us-east-1-6d59796cd9-5pxwj,server,98,27
default,currencyservice-us-east-1-6d59796cd9-5pxwj,istio-proxy,59,83
default,currencyservice-us-east-1-6d59796cd9-mkd8r,server,77,29
default,currencyservice-us-east-1-6d59796cd9-mkd8r,istio-proxy,57,86
default,currencyservice-us-east-1-6d59796cd9-r2gw4,server,81,29
default,currencyservice-us-east-1-6d59796cd9-r2gw4,istio-proxy,56,83
default,currencyservice-us-south-1-69b845f5fc-frl4w,server,107,35
default,currencyservice-us-south-1-69b845f5fc-frl4w,istio-proxy,106,84
default,currencyservice-us-south-1-69b845f5fc-l9qrv,server,110,30
default,currencyservice-us-south-1-69b845f5fc-l9qrv,istio-proxy,106,84
default,currencyservice-us-south-1-69b845f5fc-pzqwj,server,110,29
default,currencyservice-us-south-1-69b845f5fc-pzqwj,istio-proxy,105,83
default,currencyservice-us-west-1-5ff7cf675b-5b9wn,server,253,35
default,currencyservice-us-west-1-5ff7cf675b-5b9wn,istio-proxy,266,84
default,currencyservice-us-west-1-5ff7cf675b-j9lvk,server,270,37
default,currencyservice-us-west-1-5ff7cf675b-j9lvk,istio-proxy,278,86
default,currencyservice-us-west-1-5ff7cf675b-whqx9,server,256,35
default,currencyservice-us-west-1-5ff7cf675b-whqx9,istio-proxy,245,83
default,emailservice-us-central-1-76c66567f8-27btx,server,1,40
default,emailservice-us-central-1-76c66567f8-27btx,istio-proxy,4,84
default,emailservice-us-central-1-76c66567f8-f7mvn,server,1,40
default,emailservice-us-central-1-76c66567f8-f7mvn,istio-proxy,3,83
default,emailservice-us-central-1-76c66567f8-rvk85,server,1,40
default,emailservice-us-central-1-76c66567f8-rvk85,istio-proxy,4,83
default,emailservice-us-east-1-7596967bc4-9hdds,server,43,41
default,emailservice-us-east-1-7596967bc4-9hdds,istio-proxy,41,83
default,emailservice-us-east-1-7596967bc4-dbw9z,server,43,41
default,emailservice-us-east-1-7596967bc4-dbw9z,istio-proxy,39,85
default,emailservice-us-east-1-7596967bc4-wrkgp,server,40,41
default,emailservice-us-east-1-7596967bc4-wrkgp,istio-proxy,37,84
default,emailservice-us-south-1-7957b5fddb-r6z4s,server,82,41
default,emailservice-us-south-1-7957b5fddb-r6z4s,istio-proxy,75,85
