Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fc598f7cb-9qk8t,server,3,145
default,adservice-us-central-1-fc598f7cb-9qk8t,istio-proxy,3,84
default,adservice-us-central-1-fc598f7cb-cz8j4,server,3,136
default,adservice-us-central-1-fc598f7cb-cz8j4,istio-proxy,3,82
default,adservice-us-central-1-fc598f7cb-ssvf2,server,3,138
default,adservice-us-central-1-fc598f7cb-ssvf2,istio-proxy,4,83
default,adservice-us-east-1-dd65cc877-95bwb,server,4,137
default,adservice-us-east-1-dd65cc877-95bwb,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-d4dfc,server,2,139
default,adservice-us-east-1-dd65cc877-d4dfc,istio-proxy,3,83
default,adservice-us-east-1-dd65cc877-xxxzh,server,2,138
default,adservice-us-east-1-dd65cc877-xxxzh,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-5n2np,server,2,140
default,adservice-us-south-1-d89d49cc-5n2np,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jbwwz,server,3,142
default,adservice-us-south-1-d89d49cc-jbwwz,istio-proxy,3,82
default,adservice-us-south-1-d89d49cc-jkbm8,server,2,138
default,adservice-us-south-1-d89d49cc-jkbm8,istio-proxy,3,83
default,adservice-us-west-1-65fd85f785-8jxl6,server,3,138
default,adservice-us-west-1-65fd85f785-8jxl6,istio-proxy,4,83
default,adservice-us-west-1-65fd85f785-jh5hk,server,3,144
default,adservice-us-west-1-65fd85f785-jh5hk,istio-proxy,3,82
default,adservice-us-west-1-65fd85f785-mq7kd,server,3,144
default,adservice-us-west-1-65fd85f785-mq7kd,istio-proxy,3,83
default,cartservice-us-central-1-5db8c4fc88-rtksq,server,220,42
default,cartservice-us-central-1-5db8c4fc88-rtksq,istio-proxy,27,84
default,cartservice-us-central-1-5db8c4fc88-tvm9k,server,239,40
default,cartservice-us-central-1-5db8c4fc88-tvm9k,istio-proxy,75,84
default,cartservice-us-central-1-5db8c4fc88-zw726,server,128,45
default,cartservice-us-central-1-5db8c4fc88-zw726,istio-proxy,65,86
default,cartservice-us-east-1-95d57fb48-jmr9h,server,316,46
default,cartservice-us-east-1-95d57fb48-jmr9h,istio-proxy,86,84
default,cartservice-us-east-1-95d57fb48-klv7d,server,224,42
default,cartservice-us-east-1-95d57fb48-klv7d,istio-proxy,97,86
default,cartservice-us-east-1-95d57fb48-mv22q,server,258,45
default,cartservice-us-east-1-95d57fb48-mv22q,istio-proxy,108,86
default,cartservice-us-south-1-5f9488554f-c7tz6,server,345,46
default,cartservice-us-south-1-5f9488554f-c7tz6,istio-proxy,163,85
default,cartservice-us-south-1-5f9488554f-nmsfr,server,397,49
default,cartservice-us-south-1-5f9488554f-nmsfr,istio-proxy,123,83
default,cartservice-us-south-1-5f9488554f-vf2w7,server,417,49
default,cartservice-us-south-1-5f9488554f-vf2w7,istio-proxy,37,85
default,cartservice-us-west-1-54fdd7745f-52ctc,server,718,78
default,cartservice-us-west-1-54fdd7745f-52ctc,istio-proxy,621,86
default,cartservice-us-west-1-54fdd7745f-5pgds,server,575,69
default,cartservice-us-west-1-54fdd7745f-5pgds,istio-proxy,574,83
default,cartservice-us-west-1-54fdd7745f-xwd67,server,750,65
default,cartservice-us-west-1-54fdd7745f-xwd67,istio-proxy,591,87
default,checkoutservice-us-central-1-568896564-8gftt,server,0,8
default,checkoutservice-us-central-1-568896564-8gftt,istio-proxy,3,83
default,checkoutservice-us-central-1-568896564-wvrxl,server,0,8
default,checkoutservice-us-central-1-568896564-wvrxl,istio-proxy,3,83
default,checkoutservice-us-central-1-568896564-z2rlz,server,0,8
default,checkoutservice-us-central-1-568896564-z2rlz,istio-proxy,3,82
default,checkoutservice-us-east-1-7b56b4c56-5v8j9,server,105,11
default,checkoutservice-us-east-1-7b56b4c56-5v8j9,istio-proxy,171,83
default,checkoutservice-us-east-1-7b56b4c56-gcq6l,server,102,11
default,checkoutservice-us-east-1-7b56b4c56-gcq6l,istio-proxy,214,85
default,checkoutservice-us-east-1-7b56b4c56-m5rdn,server,53,11
default,checkoutservice-us-east-1-7b56b4c56-m5rdn,istio-proxy,219,84
default,checkoutservice-us-south-1-766bf48fc5-kl7cw,server,204,11
default,checkoutservice-us-south-1-766bf48fc5-kl7cw,istio-proxy,315,84
default,checkoutservice-us-south-1-766bf48fc5-l2qrj,server,220,11
default,checkoutservice-us-south-1-766bf48fc5-l2qrj,istio-proxy,367,86
default,checkoutservice-us-south-1-766bf48fc5-rb5jv,server,224,12
default,checkoutservice-us-south-1-766bf48fc5-rb5jv,istio-proxy,233,86
default,checkoutservice-us-west-1-784558ff6f-6wfc7,server,103,11
default,checkoutservice-us-west-1-784558ff6f-6wfc7,istio-proxy,1119,84
default,checkoutservice-us-west-1-784558ff6f-8rtjq,server,329,11
default,checkoutservice-us-west-1-784558ff6f-8rtjq,istio-proxy,716,86
default,checkoutservice-us-west-1-784558ff6f-b9562,server,327,11
default,checkoutservice-us-west-1-784558ff6f-b9562,istio-proxy,451,85
default,currencyservice-us-central-1-6fd5c7f5fc-b8gqs,server,0,18
default,currencyservice-us-central-1-6fd5c7f5fc-b8gqs,istio-proxy,3,82
default,currencyservice-us-central-1-6fd5c7f5fc-l5jqm,server,0,18
default,currencyservice-us-central-1-6fd5c7f5fc-l5jqm,istio-proxy,3,83
default,currencyservice-us-central-1-6fd5c7f5fc-lcb8k,server,0,18
default,currencyservice-us-central-1-6fd5c7f5fc-lcb8k,istio-proxy,3,84
default,currencyservice-us-east-1-6d59796cd9-5pxwj,server,92,25
default,currencyservice-us-east-1-6d59796cd9-5pxwj,istio-proxy,58,83
default,currencyservice-us-east-1-6d59796cd9-mkd8r,server,95,24
default,currencyservice-us-east-1-6d59796cd9-mkd8r,istio-proxy,47,86
default,currencyservice-us-east-1-6d59796cd9-r2gw4,server,89,24
default,currencyservice-us-east-1-6d59796cd9-r2gw4,istio-proxy,58,83
default,currencyservice-us-south-1-69b845f5fc-frl4w,server,182,26
default,currencyservice-us-south-1-69b845f5fc-frl4w,istio-proxy,62,84
default,currencyservice-us-south-1-69b845f5fc-l9qrv,server,186,26
default,currencyservice-us-south-1-69b845f5fc-l9qrv,istio-proxy,113,83
default,currencyservice-us-south-1-69b845f5fc-pzqwj,server,188,26
default,currencyservice-us-south-1-69b845f5fc-pzqwj,istio-proxy,108,83
default,currencyservice-us-west-1-5ff7cf675b-5b9wn,server,274,26
default,currencyservice-us-west-1-5ff7cf675b-5b9wn,istio-proxy,135,84
default,currencyservice-us-west-1-5ff7cf675b-j9lvk,server,212,27
default,currencyservice-us-west-1-5ff7cf675b-j9lvk,istio-proxy,282,85
default,currencyservice-us-west-1-5ff7cf675b-whqx9,server,259,27
default,currencyservice-us-west-1-5ff7cf675b-whqx9,istio-proxy,264,83
default,emailservice-us-central-1-76c66567f8-27btx,server,1,40
default,emailservice-us-central-1-76c66567f8-27btx,istio-proxy,4,84
default,emailservice-us-central-1-76c66567f8-f7mvn,server,1,40
default,emailservice-us-central-1-76c66567f8-f7mvn,istio-proxy,4,83
default,emailservice-us-central-1-76c66567f8-rvk85,server,1,40
default,emailservice-us-central-1-76c66567f8-rvk85,istio-proxy,4,83
default,emailservice-us-east-1-7596967bc4-9hdds,server,33,41
default,emailservice-us-east-1-7596967bc4-9hdds,istio-proxy,40,83
default,emailservice-us-east-1-7596967bc4-dbw9z,server,29,41
default,emailservice-us-east-1-7596967bc4-dbw9z,istio-proxy,34,84
default,emailservice-us-east-1-7596967bc4-wrkgp,server,42,40
default,emailservice-us-east-1-7596967bc4-wrkgp,istio-proxy,38,84
default,emailservice-us-south-1-7957b5fddb-r6z4s,server,57,41
default,emailservice-us-south-1-7957b5fddb-r6z4s,istio-proxy,72,85
default,emailservice-us-south-1-7957b5fddb-svz5d,server,53,41
default,emailservice-us-south-1-7957b5fddb-svz5d,istio-proxy,77,84
default,emailservice-us-south-1-7957b5fddb-wmlhj,server,14,41
default,emailservice-us-south-1-7957b5fddb-wmlhj,istio-proxy,50,83
default,emailservice-us-west-1-5c56b8dd78-6bhkv,server,174,41
default,emailservice-us-west-1-5c56b8dd78-6bhkv,istio-proxy,195,85
default,emailservice-us-west-1-5c56b8dd78-wswpx,server,206,41
default,emailservice-us-west-1-5c56b8dd78-wswpx,istio-proxy,173,84
default,emailservice-us-west-1-5c56b8dd78-xn4dl,server,146,41
default,emailservice-us-west-1-5c56b8dd78-xn4dl,istio-proxy,201,85
default,frontend-us-central-1-d6977694d-7zmfg,server,130,16
default,frontend-us-central-1-d6977694d-7zmfg,istio-proxy,180,85
default,frontend-us-central-1-d6977694d-dbkn5,server,74,17
default,frontend-us-central-1-d6977694d-dbkn5,istio-proxy,167,86
default,frontend-us-central-1-d6977694d-vs6k2,server,144,17
default,frontend-us-central-1-d6977694d-vs6k2,istio-proxy,94,83
default,frontend-us-east-1-5f6c647d-fhm67,server,151,16
default,frontend-us-east-1-5f6c647d-fhm67,istio-proxy,260,86
default,frontend-us-east-1-5f6c647d-g2jv7,server,116,16
default,frontend-us-east-1-5f6c647d-g2jv7,istio-proxy,247,84
default,frontend-us-east-1-5f6c647d-twmdd,server,108,15
default,frontend-us-east-1-5f6c647d-twmdd,istio-proxy,245,85
default,frontend-us-south-1-6cf4d9d8cb-6tvxt,server,84,16
default,frontend-us-south-1-6cf4d9d8cb-6tvxt,istio-proxy,284,85
default,frontend-us-south-1-6cf4d9d8cb-hdjnf,server,158,16
default,frontend-us-south-1-6cf4d9d8cb-hdjnf,istio-proxy,271,82
default,frontend-us-south-1-6cf4d9d8cb-spqzt,server,157,16
default,frontend-us-south-1-6cf4d9d8cb-spqzt,istio-proxy,180,86
default,frontend-us-west-1-5599f6f5b8-8sddd,server,515,24
default,frontend-us-west-1-5599f6f5b8-8sddd,istio-proxy,1321,100
default,frontend-us-west-1-5599f6f5b8-tjv5w,server,622,24
default,frontend-us-west-1-5599f6f5b8-tjv5w,istio-proxy,864,98
default,frontend-us-west-1-5599f6f5b8-tvxxc,server,397,26
default,frontend-us-west-1-5599f6f5b8-tvxxc,istio-proxy,1388,97
default,paymentservice-us-central-1-557ddcb675-dbjvj,server,0,15
default,paymentservice-us-central-1-557ddcb675-dbjvj,istio-proxy,3,83
default,paymentservice-us-central-1-557ddcb675-vpsfg,server,0,14
default,paymentservice-us-central-1-557ddcb675-vpsfg,istio-proxy,4,85
default,paymentservice-us-central-1-557ddcb675-wmndz,server,0,14
default,paymentservice-us-central-1-557ddcb675-wmndz,istio-proxy,3,84
default,paymentservice-us-east-1-788746f9c-4nzm2,server,45,17
default,paymentservice-us-east-1-788746f9c-4nzm2,istio-proxy,42,87
default,paymentservice-us-east-1-788746f9c-chl8w,server,67,17
default,paymentservice-us-east-1-788746f9c-chl8w,istio-proxy,21,86
default,paymentservice-us-east-1-788746f9c-w46sg,server,56,20
default,paymentservice-us-east-1-788746f9c-w46sg,istio-proxy,8,82
default,paymentservice-us-south-1-7fbbc6dc6c-nlr95,server,104,21
default,paymentservice-us-south-1-7fbbc6dc6c-nlr95,istio-proxy,77,84
default,paymentservice-us-south-1-7fbbc6dc6c-th8b5,server,138,21
default,paymentservice-us-south-1-7fbbc6dc6c-th8b5,istio-proxy,48,83
default,paymentservice-us-south-1-7fbbc6dc6c-wtw8j,server,53,17
default,paymentservice-us-south-1-7fbbc6dc6c-wtw8j,istio-proxy,79,84
default,paymentservice-us-west-1-6b8ccb884d-85lw4,server,317,32
default,paymentservice-us-west-1-6b8ccb884d-85lw4,istio-proxy,205,83
default,paymentservice-us-west-1-6b8ccb884d-ft666,server,287,29
default,paymentservice-us-west-1-6b8ccb884d-ft666,istio-proxy,100,85
default,paymentservice-us-west-1-6b8ccb884d-mnxfw,server,284,32
default,paymentservice-us-west-1-6b8ccb884d-mnxfw,istio-proxy,214,84
default,productcatalogservice-us-central-1-786f798444-cdw8t,server,27,9
default,productcatalogservice-us-central-1-786f798444-cdw8t,istio-proxy,68,82
default,productcatalogservice-us-central-1-786f798444-dvwvd,server,28,9
default,productcatalogservice-us-central-1-786f798444-dvwvd,istio-proxy,28,84
default,productcatalogservice-us-central-1-786f798444-pdfkf,server,32,9
default,productcatalogservice-us-central-1-786f798444-pdfkf,istio-proxy,45,85
default,productcatalogservice-us-east-1-69899866d8-26dhr,server,46,9
default,productcatalogservice-us-east-1-69899866d8-26dhr,istio-proxy,91,85
default,productcatalogservice-us-east-1-69899866d8-vl4cw,server,31,10
default,productcatalogservice-us-east-1-69899866d8-vl4cw,istio-proxy,36,85
