Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-7d54f4d869-cs8kn,server,2,139
default,adservice-us-central-1-7d54f4d869-cs8kn,istio-proxy,3,82
default,adservice-us-central-1-7d54f4d869-sgsmb,server,2,133
default,adservice-us-central-1-7d54f4d869-sgsmb,istio-proxy,3,83
default,adservice-us-central-1-7d54f4d869-wlw85,server,2,138
default,adservice-us-central-1-7d54f4d869-wlw85,istio-proxy,3,85
default,adservice-us-east-1-549c599ffc-6zc4l,server,2,137
default,adservice-us-east-1-549c599ffc-6zc4l,istio-proxy,3,83
default,adservice-us-east-1-549c599ffc-tm92k,server,3,135
default,adservice-us-east-1-549c599ffc-tm92k,istio-proxy,3,82
default,adservice-us-east-1-549c599ffc-zz577,server,4,144
default,adservice-us-east-1-549c599ffc-zz577,istio-proxy,3,83
default,adservice-us-south-1-6dcbfd5489-bl5zq,server,2,140
default,adservice-us-south-1-6dcbfd5489-bl5zq,istio-proxy,3,82
default,adservice-us-south-1-6dcbfd5489-wx998,server,3,138
default,adservice-us-south-1-6dcbfd5489-wx998,istio-proxy,3,81
default,adservice-us-south-1-6dcbfd5489-zkjfl,server,2,139
default,adservice-us-south-1-6dcbfd5489-zkjfl,istio-proxy,3,82
default,adservice-us-west-1-56b49d65d9-c5ttq,server,3,143
default,adservice-us-west-1-56b49d65d9-c5ttq,istio-proxy,3,83
default,adservice-us-west-1-56b49d65d9-p5n9r,server,2,140
default,adservice-us-west-1-56b49d65d9-p5n9r,istio-proxy,3,83
default,adservice-us-west-1-56b49d65d9-vqbvn,server,2,138
default,adservice-us-west-1-56b49d65d9-vqbvn,istio-proxy,4,83
default,cartservice-us-central-1-6b7d4d494c-9q5c6,server,287,41
default,cartservice-us-central-1-6b7d4d494c-9q5c6,istio-proxy,37,84
default,cartservice-us-central-1-6b7d4d494c-f6j4g,server,114,39
default,cartservice-us-central-1-6b7d4d494c-f6j4g,istio-proxy,52,84
default,cartservice-us-central-1-6b7d4d494c-jd9g2,server,286,42
default,cartservice-us-central-1-6b7d4d494c-jd9g2,istio-proxy,65,84
default,cartservice-us-east-1-64c85ddd85-47pm6,server,366,46
default,cartservice-us-east-1-64c85ddd85-47pm6,istio-proxy,25,85
default,cartservice-us-east-1-64c85ddd85-76tz4,server,328,45
default,cartservice-us-east-1-64c85ddd85-76tz4,istio-proxy,87,85
default,cartservice-us-east-1-64c85ddd85-r866n,server,326,47
default,cartservice-us-east-1-64c85ddd85-r866n,istio-proxy,34,85
default,cartservice-us-south-1-787bd466f5-25kqs,server,328,51
default,cartservice-us-south-1-787bd466f5-25kqs,istio-proxy,133,84
default,cartservice-us-south-1-787bd466f5-l58ct,server,303,43
default,cartservice-us-south-1-787bd466f5-l58ct,istio-proxy,161,83
default,cartservice-us-south-1-787bd466f5-z26g6,server,510,49
default,cartservice-us-south-1-787bd466f5-z26g6,istio-proxy,150,85
default,cartservice-us-west-1-55f6f5d869-4gbbn,server,280,44
default,cartservice-us-west-1-55f6f5d869-4gbbn,istio-proxy,104,84
default,cartservice-us-west-1-55f6f5d869-g9bh2,server,803,67
default,cartservice-us-west-1-55f6f5d869-g9bh2,istio-proxy,448,86
default,cartservice-us-west-1-55f6f5d869-qx9q2,server,508,75
default,cartservice-us-west-1-55f6f5d869-qx9q2,istio-proxy,319,86
default,checkoutservice-us-central-1-69d8fc65f4-2lvzm,server,0,8
default,checkoutservice-us-central-1-69d8fc65f4-2lvzm,istio-proxy,3,84
default,checkoutservice-us-central-1-69d8fc65f4-lp5nb,server,0,8
default,checkoutservice-us-central-1-69d8fc65f4-lp5nb,istio-proxy,3,85
default,checkoutservice-us-central-1-69d8fc65f4-x6d47,server,0,8
default,checkoutservice-us-central-1-69d8fc65f4-x6d47,istio-proxy,3,84
default,checkoutservice-us-east-1-786c6bddbf-hhhfd,server,172,11
default,checkoutservice-us-east-1-786c6bddbf-hhhfd,istio-proxy,151,87
default,checkoutservice-us-east-1-786c6bddbf-q9mmk,server,76,10
default,checkoutservice-us-east-1-786c6bddbf-q9mmk,istio-proxy,219,84
default,checkoutservice-us-east-1-786c6bddbf-xws6v,server,140,11
default,checkoutservice-us-east-1-786c6bddbf-xws6v,istio-proxy,337,87
default,checkoutservice-us-south-1-7456875cf5-595tr,server,232,11
default,checkoutservice-us-south-1-7456875cf5-595tr,istio-proxy,483,83
default,checkoutservice-us-south-1-7456875cf5-5kkb8,server,186,11
default,checkoutservice-us-south-1-7456875cf5-5kkb8,istio-proxy,216,85
default,checkoutservice-us-south-1-7456875cf5-v4gns,server,0,8
default,checkoutservice-us-south-1-7456875cf5-v4gns,istio-proxy,568,84
default,checkoutservice-us-west-1-787d95c77-hb4mn,server,208,11
default,checkoutservice-us-west-1-787d95c77-hb4mn,istio-proxy,588,87
default,checkoutservice-us-west-1-787d95c77-tw9tz,server,24,10
default,checkoutservice-us-west-1-787d95c77-tw9tz,istio-proxy,463,83
default,checkoutservice-us-west-1-787d95c77-xdd5t,server,30,10
default,checkoutservice-us-west-1-787d95c77-xdd5t,istio-proxy,51,84
default,currencyservice-us-central-1-5477469969-242ph,server,0,16
default,currencyservice-us-central-1-5477469969-242ph,istio-proxy,4,84
default,currencyservice-us-central-1-5477469969-4zgkj,server,0,18
default,currencyservice-us-central-1-5477469969-4zgkj,istio-proxy,3,83
default,currencyservice-us-central-1-5477469969-9kmc9,server,0,18
default,currencyservice-us-central-1-5477469969-9kmc9,istio-proxy,3,83
default,currencyservice-us-east-1-7776cbf76b-dwx9q,server,157,25
default,currencyservice-us-east-1-7776cbf76b-dwx9q,istio-proxy,88,84
default,currencyservice-us-east-1-7776cbf76b-pqzm5,server,125,23
default,currencyservice-us-east-1-7776cbf76b-pqzm5,istio-proxy,91,83
default,currencyservice-us-east-1-7776cbf76b-v6dtt,server,93,22
default,currencyservice-us-east-1-7776cbf76b-v6dtt,istio-proxy,59,85
default,currencyservice-us-south-1-566c8bb8d4-fljt2,server,128,25
default,currencyservice-us-south-1-566c8bb8d4-fljt2,istio-proxy,104,84
default,currencyservice-us-south-1-566c8bb8d4-pnntp,server,100,22
default,currencyservice-us-south-1-566c8bb8d4-pnntp,istio-proxy,105,85
default,currencyservice-us-south-1-566c8bb8d4-r2ls4,server,98,24
default,currencyservice-us-south-1-566c8bb8d4-r2ls4,istio-proxy,87,84
default,currencyservice-us-west-1-7c6666fb9d-2mbql,server,105,24
default,currencyservice-us-west-1-7c6666fb9d-2mbql,istio-proxy,53,84
default,currencyservice-us-west-1-7c6666fb9d-8smrd,server,233,26
default,currencyservice-us-west-1-7c6666fb9d-8smrd,istio-proxy,147,84
default,currencyservice-us-west-1-7c6666fb9d-shb52,server,0,18
default,currencyservice-us-west-1-7c6666fb9d-shb52,istio-proxy,95,83
default,emailservice-us-central-1-858468c496-4z44f,server,1,40
default,emailservice-us-central-1-858468c496-4z44f,istio-proxy,3,84
default,emailservice-us-central-1-858468c496-fbvj5,server,1,40
default,emailservice-us-central-1-858468c496-fbvj5,istio-proxy,4,83
default,emailservice-us-central-1-858468c496-r694z,server,1,40
default,emailservice-us-central-1-858468c496-r694z,istio-proxy,4,82
default,emailservice-us-east-1-ddb8d9544-9j599,server,25,41
default,emailservice-us-east-1-ddb8d9544-9j599,istio-proxy,60,83
default,emailservice-us-east-1-ddb8d9544-g458x,server,55,41
default,emailservice-us-east-1-ddb8d9544-g458x,istio-proxy,48,83
default,emailservice-us-east-1-ddb8d9544-k2k5q,server,10,40
default,emailservice-us-east-1-ddb8d9544-k2k5q,istio-proxy,21,82
default,emailservice-us-south-1-8c4479469-24jbx,server,41,41
default,emailservice-us-south-1-8c4479469-24jbx,istio-proxy,88,85
default,emailservice-us-south-1-8c4479469-4jm66,server,85,41
default,emailservice-us-south-1-8c4479469-4jm66,istio-proxy,51,83
default,emailservice-us-south-1-8c4479469-jvnfw,server,48,41
default,emailservice-us-south-1-8c4479469-jvnfw,istio-proxy,53,85
default,emailservice-us-west-1-649d8999ff-7jj6z,server,92,41
default,emailservice-us-west-1-649d8999ff-7jj6z,istio-proxy,132,85
default,emailservice-us-west-1-649d8999ff-rwjvw,server,147,41
default,emailservice-us-west-1-649d8999ff-rwjvw,istio-proxy,122,84
default,emailservice-us-west-1-649d8999ff-wzqtb,server,65,41
default,emailservice-us-west-1-649d8999ff-wzqtb,istio-proxy,104,84
default,frontend-us-central-1-668d8f74dd-hkrk9,server,11,16
default,frontend-us-central-1-668d8f74dd-hkrk9,istio-proxy,135,86
default,frontend-us-central-1-668d8f74dd-twdt4,server,83,17
