Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-654cc8bf65-tqjn4,server,11,156
default,adservice-us-central-1-654cc8bf65-tqjn4,istio-proxy,4,82
default,adservice-us-central-1-654cc8bf65-z2rzk,server,8,157
default,adservice-us-central-1-654cc8bf65-z2rzk,istio-proxy,3,83
default,adservice-us-central-1-654cc8bf65-zdh8x,server,10,157
default,adservice-us-central-1-654cc8bf65-zdh8x,istio-proxy,3,82
default,adservice-us-east-1-69f5dc6b57-9ppm6,server,5,158
default,adservice-us-east-1-69f5dc6b57-9ppm6,istio-proxy,3,85
default,adservice-us-east-1-69f5dc6b57-9v4qz,server,8,158
default,adservice-us-east-1-69f5dc6b57-9v4qz,istio-proxy,3,87
default,adservice-us-east-1-69f5dc6b57-tzbwd,server,7,158
default,adservice-us-east-1-69f5dc6b57-tzbwd,istio-proxy,3,82
default,adservice-us-south-1-6d9d968bd9-5gr77,server,9,157
default,adservice-us-south-1-6d9d968bd9-5gr77,istio-proxy,3,83
default,adservice-us-south-1-6d9d968bd9-svzf4,server,10,157
default,adservice-us-south-1-6d9d968bd9-svzf4,istio-proxy,3,83
default,adservice-us-south-1-6d9d968bd9-vbfbv,server,10,158
default,adservice-us-south-1-6d9d968bd9-vbfbv,istio-proxy,3,84
default,adservice-us-west-1-694cbf77f7-4hg89,server,3,152
default,adservice-us-west-1-694cbf77f7-4hg89,istio-proxy,4,84
default,adservice-us-west-1-694cbf77f7-d2qj7,server,7,157
default,adservice-us-west-1-694cbf77f7-d2qj7,istio-proxy,3,85
default,adservice-us-west-1-694cbf77f7-lnbbd,server,3,152
default,adservice-us-west-1-694cbf77f7-lnbbd,istio-proxy,3,85
default,cartservice-us-central-1-79d7d4878c-68npn,server,43,70
default,cartservice-us-central-1-79d7d4878c-68npn,istio-proxy,43,84
default,cartservice-us-central-1-79d7d4878c-pc8l5,server,55,70
default,cartservice-us-central-1-79d7d4878c-pc8l5,istio-proxy,46,85
default,cartservice-us-central-1-79d7d4878c-wjzsn,server,32,54
default,cartservice-us-central-1-79d7d4878c-wjzsn,istio-proxy,22,95
default,cartservice-us-east-1-6497fc7bb9-6v62h,server,170,72
default,cartservice-us-east-1-6497fc7bb9-6v62h,istio-proxy,118,84
default,cartservice-us-east-1-6497fc7bb9-7j67s,server,112,74
default,cartservice-us-east-1-6497fc7bb9-7j67s,istio-proxy,72,84
default,cartservice-us-east-1-6497fc7bb9-9g54q,server,162,74
default,cartservice-us-east-1-6497fc7bb9-9g54q,istio-proxy,52,84
default,cartservice-us-south-1-569dc44fcf-dx4k5,server,205,97
default,cartservice-us-south-1-569dc44fcf-dx4k5,istio-proxy,117,86
default,cartservice-us-south-1-569dc44fcf-zjcdp,server,190,99
default,cartservice-us-south-1-569dc44fcf-zjcdp,istio-proxy,79,86
default,cartservice-us-south-1-569dc44fcf-zwglk,server,158,98
default,cartservice-us-south-1-569dc44fcf-zwglk,istio-proxy,171,84
default,cartservice-us-west-1-6696857669-8n9xg,server,190,123
default,cartservice-us-west-1-6696857669-8n9xg,istio-proxy,246,86
default,cartservice-us-west-1-6696857669-jbxhp,server,146,121
default,cartservice-us-west-1-6696857669-jbxhp,istio-proxy,188,88
default,cartservice-us-west-1-6696857669-mfjcg,server,116,123
default,cartservice-us-west-1-6696857669-mfjcg,istio-proxy,217,86
default,checkoutservice-us-central-1-748776df59-bzpk6,server,0,9
default,checkoutservice-us-central-1-748776df59-bzpk6,istio-proxy,3,82
default,checkoutservice-us-central-1-748776df59-hwtct,server,0,9
default,checkoutservice-us-central-1-748776df59-hwtct,istio-proxy,3,83
default,checkoutservice-us-central-1-748776df59-znl7m,server,0,10
default,checkoutservice-us-central-1-748776df59-znl7m,istio-proxy,3,83
default,checkoutservice-us-east-1-c8444d59c-pkz6d,server,76,11
default,checkoutservice-us-east-1-c8444d59c-pkz6d,istio-proxy,160,84
default,checkoutservice-us-east-1-c8444d59c-tw57h,server,108,11
default,checkoutservice-us-east-1-c8444d59c-tw57h,istio-proxy,153,84
default,checkoutservice-us-east-1-c8444d59c-tx4c5,server,122,12
default,checkoutservice-us-east-1-c8444d59c-tx4c5,istio-proxy,124,85
default,checkoutservice-us-south-1-6c959b7467-6kzk9,server,283,12
default,checkoutservice-us-south-1-6c959b7467-6kzk9,istio-proxy,352,86
default,checkoutservice-us-south-1-6c959b7467-d2v45,server,260,12
default,checkoutservice-us-south-1-6c959b7467-d2v45,istio-proxy,378,85
default,checkoutservice-us-south-1-6c959b7467-j7bng,server,194,12
default,checkoutservice-us-south-1-6c959b7467-j7bng,istio-proxy,205,86
default,checkoutservice-us-west-1-85f555d57-5994c,server,80,25
default,checkoutservice-us-west-1-85f555d57-5994c,istio-proxy,154,101
default,checkoutservice-us-west-1-85f555d57-cktqb,server,308,13
default,checkoutservice-us-west-1-85f555d57-cktqb,istio-proxy,356,84
default,checkoutservice-us-west-1-85f555d57-m76mw,server,196,17
default,checkoutservice-us-west-1-85f555d57-m76mw,istio-proxy,584,95
default,currencyservice-us-central-1-96f7ccd4d-2jzh7,server,0,17
default,currencyservice-us-central-1-96f7ccd4d-2jzh7,istio-proxy,3,85
default,currencyservice-us-central-1-96f7ccd4d-6qv7z,server,0,18
default,currencyservice-us-central-1-96f7ccd4d-6qv7z,istio-proxy,3,82
default,currencyservice-us-central-1-96f7ccd4d-w4c74,server,0,16
default,currencyservice-us-central-1-96f7ccd4d-w4c74,istio-proxy,3,84
default,currencyservice-us-east-1-6b9786d874-9hk7r,server,70,31
default,currencyservice-us-east-1-6b9786d874-9hk7r,istio-proxy,57,85
