counter,region,service,endpoint,rps
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,104
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,112
1,us-central-1,frontend,frontend@POST@/cart/empty,82
1,us-central-1,frontend,frontend@POST@/setCurrency,67
1,us-central-1,frontend,frontend@POST@/cart,92
1,us-central-1,frontend,frontend@POST@/cart/checkout,102
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,129
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,118
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,101
1,us-central-1,sslateingress,sslateingress@POST@/cart,108
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,98
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,110
1,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,164
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,191
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,64
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,82
1,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,232
1,us-south-1,frontend,frontend@POST@/cart/checkout,90
1,us-south-1,frontend,frontend@POST@/cart,91
1,us-south-1,frontend,frontend@POST@/cart/empty,73
1,us-south-1,frontend,frontend@POST@/setCurrency,63
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,207
1,us-south-1,sslateingress,sslateingress@POST@/cart,61
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,64
1,us-south-1,sslateingress,sslateingress@POST@/cart/empty,50
1,us-south-1,sslateingress,sslateingress@POST@/setCurrency,46
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,189
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,179
1,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,56
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,306
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,311
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,299
1,us-west-1,frontend,frontend@POST@/cart/empty,293
1,us-west-1,frontend,frontend@POST@/setCurrency,292
1,us-west-1,frontend,frontend@POST@/cart/checkout,287
1,us-west-1,frontend,frontend@POST@/cart,300
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,302
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,281
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,306
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,311
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,397
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,308
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,355
1,us-west-1,sslateingress,sslateingress@POST@/cart,333
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,330
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,349
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,168
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,140
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,101
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,91
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,99
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,119
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,111
1,us-east-1,frontend,frontend@POST@/cart,104
1,us-east-1,frontend,frontend@POST@/cart/empty,102
1,us-east-1,frontend,frontend@POST@/setCurrency,108
1,us-east-1,frontend,frontend@POST@/cart/checkout,105
1,us-east-1,sslateingress,sslateingress@POST@/cart,113
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,108
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,106
