Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-764749fc46-6h4bb,server,2,147
default,adservice-us-central-1-764749fc46-6h4bb,istio-proxy,3,83
default,adservice-us-central-1-764749fc46-cjsdd,server,2,142
default,adservice-us-central-1-764749fc46-cjsdd,istio-proxy,3,83
default,adservice-us-central-1-764749fc46-x29dk,server,3,143
default,adservice-us-central-1-764749fc46-x29dk,istio-proxy,3,85
default,adservice-us-east-1-6b7f6b8c5b-gmndg,server,2,143
default,adservice-us-east-1-6b7f6b8c5b-gmndg,istio-proxy,3,83
default,adservice-us-east-1-6b7f6b8c5b-tkm99,server,2,147
default,adservice-us-east-1-6b7f6b8c5b-tkm99,istio-proxy,3,82
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,server,2,147
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,istio-proxy,3,83
default,adservice-us-south-1-857d44d567-b97kp,server,4,139
default,adservice-us-south-1-857d44d567-b97kp,istio-proxy,4,85
default,adservice-us-south-1-857d44d567-bdfbs,server,4,146
default,adservice-us-south-1-857d44d567-bdfbs,istio-proxy,3,83
default,adservice-us-south-1-857d44d567-ft2q4,server,4,143
default,adservice-us-south-1-857d44d567-ft2q4,istio-proxy,4,82
default,adservice-us-west-1-54bd7bcc4c-6hll5,server,3,143
default,adservice-us-west-1-54bd7bcc4c-6hll5,istio-proxy,3,83
default,adservice-us-west-1-54bd7bcc4c-87wp7,server,5,150
default,adservice-us-west-1-54bd7bcc4c-87wp7,istio-proxy,3,83
default,adservice-us-west-1-54bd7bcc4c-d9pcw,server,3,142
default,adservice-us-west-1-54bd7bcc4c-d9pcw,istio-proxy,4,84
default,cartservice-us-central-1-7cbf5f7554-fkllq,server,209,66
default,cartservice-us-central-1-7cbf5f7554-fkllq,istio-proxy,135,85
default,cartservice-us-central-1-7cbf5f7554-tfjk7,server,212,59
default,cartservice-us-central-1-7cbf5f7554-tfjk7,istio-proxy,136,86
default,cartservice-us-central-1-7cbf5f7554-wz2l5,server,213,67
default,cartservice-us-central-1-7cbf5f7554-wz2l5,istio-proxy,136,84
default,cartservice-us-east-1-65f7c94858-b9rb5,server,329,65
default,cartservice-us-east-1-65f7c94858-b9rb5,istio-proxy,221,84
default,cartservice-us-east-1-65f7c94858-fk29x,server,308,80
default,cartservice-us-east-1-65f7c94858-fk29x,istio-proxy,221,85
default,cartservice-us-east-1-65f7c94858-n9nw6,server,319,63
default,cartservice-us-east-1-65f7c94858-n9nw6,istio-proxy,217,88
default,cartservice-us-south-1-6c4f8769bb-8hk26,server,421,90
default,cartservice-us-south-1-6c4f8769bb-8hk26,istio-proxy,313,85
default,cartservice-us-south-1-6c4f8769bb-sfcq8,server,414,84
default,cartservice-us-south-1-6c4f8769bb-sfcq8,istio-proxy,310,84
