Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-764749fc46-6h4bb,server,2,147
default,adservice-us-central-1-764749fc46-6h4bb,istio-proxy,5,83
default,adservice-us-central-1-764749fc46-cjsdd,server,2,147
default,adservice-us-central-1-764749fc46-cjsdd,istio-proxy,6,83
default,adservice-us-central-1-764749fc46-x29dk,server,2,148
default,adservice-us-central-1-764749fc46-x29dk,istio-proxy,3,85
default,adservice-us-east-1-6b7f6b8c5b-gmndg,server,2,148
default,adservice-us-east-1-6b7f6b8c5b-gmndg,istio-proxy,5,83
default,adservice-us-east-1-6b7f6b8c5b-tkm99,server,2,147
default,adservice-us-east-1-6b7f6b8c5b-tkm99,istio-proxy,5,82
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,server,3,152
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,istio-proxy,6,83
default,adservice-us-south-1-857d44d567-b97kp,server,3,144
default,adservice-us-south-1-857d44d567-b97kp,istio-proxy,6,85
default,adservice-us-south-1-857d44d567-bdfbs,server,2,151
default,adservice-us-south-1-857d44d567-bdfbs,istio-proxy,6,83
default,adservice-us-south-1-857d44d567-ft2q4,server,4,148
default,adservice-us-south-1-857d44d567-ft2q4,istio-proxy,5,82
default,adservice-us-west-1-54bd7bcc4c-6hll5,server,3,152
default,adservice-us-west-1-54bd7bcc4c-6hll5,istio-proxy,5,83
default,adservice-us-west-1-54bd7bcc4c-87wp7,server,2,154
default,adservice-us-west-1-54bd7bcc4c-87wp7,istio-proxy,5,83
default,adservice-us-west-1-54bd7bcc4c-d9pcw,server,2,147
default,adservice-us-west-1-54bd7bcc4c-d9pcw,istio-proxy,4,84
default,cartservice-us-central-1-7cbf5f7554-fkllq,server,209,74
default,cartservice-us-central-1-7cbf5f7554-fkllq,istio-proxy,135,85
default,cartservice-us-central-1-7cbf5f7554-tfjk7,server,205,70
default,cartservice-us-central-1-7cbf5f7554-tfjk7,istio-proxy,136,86
default,cartservice-us-central-1-7cbf5f7554-wz2l5,server,211,77
default,cartservice-us-central-1-7cbf5f7554-wz2l5,istio-proxy,141,84
default,cartservice-us-east-1-65f7c94858-b9rb5,server,307,96
default,cartservice-us-east-1-65f7c94858-b9rb5,istio-proxy,228,84
default,cartservice-us-east-1-65f7c94858-fk29x,server,308,80
default,cartservice-us-east-1-65f7c94858-fk29x,istio-proxy,232,85
default,cartservice-us-east-1-65f7c94858-n9nw6,server,309,95
default,cartservice-us-east-1-65f7c94858-n9nw6,istio-proxy,223,88
default,cartservice-us-south-1-6c4f8769bb-8hk26,server,417,115
default,cartservice-us-south-1-6c4f8769bb-8hk26,istio-proxy,316,86
default,cartservice-us-south-1-6c4f8769bb-sfcq8,server,417,100
default,cartservice-us-south-1-6c4f8769bb-sfcq8,istio-proxy,313,84
default,cartservice-us-south-1-6c4f8769bb-wj4rl,server,405,114
default,cartservice-us-south-1-6c4f8769bb-wj4rl,istio-proxy,309,87
default,cartservice-us-west-1-6fd76fbbbf-5hf4v,server,320,103
default,cartservice-us-west-1-6fd76fbbbf-5hf4v,istio-proxy,235,85
default,cartservice-us-west-1-6fd76fbbbf-dshhb,server,332,106
default,cartservice-us-west-1-6fd76fbbbf-dshhb,istio-proxy,229,86
default,cartservice-us-west-1-6fd76fbbbf-f86nw,server,322,96
default,cartservice-us-west-1-6fd76fbbbf-f86nw,istio-proxy,235,86
default,checkoutservice-us-central-1-5fd644697d-bfm42,server,0,8
default,checkoutservice-us-central-1-5fd644697d-bfm42,istio-proxy,5,85
default,checkoutservice-us-central-1-5fd644697d-lslqd,server,0,8
default,checkoutservice-us-central-1-5fd644697d-lslqd,istio-proxy,6,83
default,checkoutservice-us-central-1-5fd644697d-rkrcg,server,0,9
default,checkoutservice-us-central-1-5fd644697d-rkrcg,istio-proxy,7,84
default,checkoutservice-us-east-1-fcdfdb7d-2bvjl,server,223,12
default,checkoutservice-us-east-1-fcdfdb7d-2bvjl,istio-proxy,409,85
default,checkoutservice-us-east-1-fcdfdb7d-8cs6f,server,230,12
default,checkoutservice-us-east-1-fcdfdb7d-8cs6f,istio-proxy,422,84
default,checkoutservice-us-east-1-fcdfdb7d-jzhtr,server,229,12
default,checkoutservice-us-east-1-fcdfdb7d-jzhtr,istio-proxy,411,86
default,checkoutservice-us-south-1-6796d685f4-9zkgl,server,426,12
default,checkoutservice-us-south-1-6796d685f4-9zkgl,istio-proxy,816,86
default,checkoutservice-us-south-1-6796d685f4-tbqjh,server,427,13
default,checkoutservice-us-south-1-6796d685f4-tbqjh,istio-proxy,846,85
default,checkoutservice-us-south-1-6796d685f4-vwgc2,server,454,12
default,checkoutservice-us-south-1-6796d685f4-vwgc2,istio-proxy,848,85
default,checkoutservice-us-west-1-84444fbfd-8j9v7,server,236,12
default,checkoutservice-us-west-1-84444fbfd-8j9v7,istio-proxy,423,85
default,checkoutservice-us-west-1-84444fbfd-bq4rf,server,220,27
default,checkoutservice-us-west-1-84444fbfd-bq4rf,istio-proxy,431,99
default,checkoutservice-us-west-1-84444fbfd-mdm2v,server,232,15
default,checkoutservice-us-west-1-84444fbfd-mdm2v,istio-proxy,433,89
default,currencyservice-us-central-1-6784868699-6b59t,server,0,17
default,currencyservice-us-central-1-6784868699-6b59t,istio-proxy,3,83
default,currencyservice-us-central-1-6784868699-kpqhs,server,0,17
default,currencyservice-us-central-1-6784868699-kpqhs,istio-proxy,6,82
default,currencyservice-us-central-1-6784868699-lm52r,server,0,17
default,currencyservice-us-central-1-6784868699-lm52r,istio-proxy,5,84
default,currencyservice-us-east-1-869865f8bc-2bjr2,server,108,31
default,currencyservice-us-east-1-869865f8bc-2bjr2,istio-proxy,105,84
default,currencyservice-us-east-1-869865f8bc-4998q,server,106,31
default,currencyservice-us-east-1-869865f8bc-4998q,istio-proxy,101,85
default,currencyservice-us-east-1-869865f8bc-7wrww,server,107,35
default,currencyservice-us-east-1-869865f8bc-7wrww,istio-proxy,109,84
default,currencyservice-us-south-1-745db99599-9nc7l,server,193,35
default,currencyservice-us-south-1-745db99599-9nc7l,istio-proxy,213,84
default,currencyservice-us-south-1-745db99599-c5v5b,server,199,35
default,currencyservice-us-south-1-745db99599-c5v5b,istio-proxy,209,84
default,currencyservice-us-south-1-745db99599-xdk8l,server,195,36
default,currencyservice-us-south-1-745db99599-xdk8l,istio-proxy,212,85
default,currencyservice-us-west-1-545769895d-2m69b,server,114,34
default,currencyservice-us-west-1-545769895d-2m69b,istio-proxy,108,87
default,currencyservice-us-west-1-545769895d-6xthw,server,120,31
default,currencyservice-us-west-1-545769895d-6xthw,istio-proxy,110,84
default,currencyservice-us-west-1-545769895d-c59gf,server,120,31
default,currencyservice-us-west-1-545769895d-c59gf,istio-proxy,111,86
default,emailservice-us-central-1-b5d85587b-cvckj,server,1,40
default,emailservice-us-central-1-b5d85587b-cvckj,istio-proxy,4,83
default,emailservice-us-central-1-b5d85587b-ffwlx,server,1,40
default,emailservice-us-central-1-b5d85587b-ffwlx,istio-proxy,5,83
default,emailservice-us-central-1-b5d85587b-x85cs,server,1,40
default,emailservice-us-central-1-b5d85587b-x85cs,istio-proxy,6,83
default,emailservice-us-east-1-b69cdd488-hlw7v,server,77,41
default,emailservice-us-east-1-b69cdd488-hlw7v,istio-proxy,74,85
default,emailservice-us-east-1-b69cdd488-ls7r2,server,76,41
default,emailservice-us-east-1-b69cdd488-ls7r2,istio-proxy,71,83
default,emailservice-us-east-1-b69cdd488-whwdz,server,78,41
default,emailservice-us-east-1-b69cdd488-whwdz,istio-proxy,70,84
default,emailservice-us-south-1-5fb6f56976-9skw8,server,153,41
default,emailservice-us-south-1-5fb6f56976-9skw8,istio-proxy,140,84
default,emailservice-us-south-1-5fb6f56976-njqjs,server,157,41
default,emailservice-us-south-1-5fb6f56976-njqjs,istio-proxy,148,86
default,emailservice-us-south-1-5fb6f56976-szkmc,server,152,41
default,emailservice-us-south-1-5fb6f56976-szkmc,istio-proxy,150,85
default,emailservice-us-west-1-58c8b4b796-8n5cj,server,85,41
default,emailservice-us-west-1-58c8b4b796-8n5cj,istio-proxy,79,85
default,emailservice-us-west-1-58c8b4b796-gd45d,server,86,41
default,emailservice-us-west-1-58c8b4b796-gd45d,istio-proxy,75,85
default,emailservice-us-west-1-58c8b4b796-k4rms,server,76,41
default,emailservice-us-west-1-58c8b4b796-k4rms,istio-proxy,68,85
default,frontend-us-central-1-7c4f868d86-9wcvb,server,268,18
default,frontend-us-central-1-7c4f868d86-9wcvb,istio-proxy,451,89
default,frontend-us-central-1-7c4f868d86-bsnqk,server,269,19
default,frontend-us-central-1-7c4f868d86-bsnqk,istio-proxy,448,88
default,frontend-us-central-1-7c4f868d86-j6pxx,server,276,18
default,frontend-us-central-1-7c4f868d86-j6pxx,istio-proxy,460,88
default,frontend-us-east-1-794886f776-dm6bm,server,284,18
default,frontend-us-east-1-794886f776-dm6bm,istio-proxy,489,90
default,frontend-us-east-1-794886f776-skp9p,server,288,17
default,frontend-us-east-1-794886f776-skp9p,istio-proxy,468,89
default,frontend-us-east-1-794886f776-zjl7k,server,290,18
default,frontend-us-east-1-794886f776-zjl7k,istio-proxy,493,90
default,frontend-us-south-1-7946d6dc54-dh997,server,310,18
default,frontend-us-south-1-7946d6dc54-dh997,istio-proxy,549,91
default,frontend-us-south-1-7946d6dc54-j9z4x,server,314,17
default,frontend-us-south-1-7946d6dc54-j9z4x,istio-proxy,568,91
default,frontend-us-south-1-7946d6dc54-sk9jv,server,312,17
default,frontend-us-south-1-7946d6dc54-sk9jv,istio-proxy,541,89
default,frontend-us-west-1-847c58b54-6jpp7,server,304,19
default,frontend-us-west-1-847c58b54-6jpp7,istio-proxy,509,93
default,frontend-us-west-1-847c58b54-cdzp9,server,291,19
default,frontend-us-west-1-847c58b54-cdzp9,istio-proxy,506,92
default,frontend-us-west-1-847c58b54-dhlll,server,297,19
default,frontend-us-west-1-847c58b54-dhlll,istio-proxy,524,96
default,paymentservice-us-central-1-69fdcd74c8-m7dkg,server,0,14
default,paymentservice-us-central-1-69fdcd74c8-m7dkg,istio-proxy,4,82
default,paymentservice-us-central-1-69fdcd74c8-pfdd9,server,0,14
