Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-764749fc46-6h4bb,server,4,138
default,adservice-us-central-1-764749fc46-6h4bb,istio-proxy,3,83
default,adservice-us-central-1-764749fc46-cjsdd,server,2,132
default,adservice-us-central-1-764749fc46-cjsdd,istio-proxy,3,83
default,adservice-us-central-1-764749fc46-x29dk,server,2,134
default,adservice-us-central-1-764749fc46-x29dk,istio-proxy,3,85
default,adservice-us-east-1-6b7f6b8c5b-gmndg,server,3,138
default,adservice-us-east-1-6b7f6b8c5b-gmndg,istio-proxy,3,83
default,adservice-us-east-1-6b7f6b8c5b-tkm99,server,3,138
default,adservice-us-east-1-6b7f6b8c5b-tkm99,istio-proxy,3,82
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,server,3,133
default,adservice-us-east-1-6b7f6b8c5b-z7nmm,istio-proxy,3,83
default,adservice-us-south-1-857d44d567-b97kp,server,0,130
default,adservice-us-south-1-857d44d567-b97kp,istio-proxy,3,85
default,adservice-us-south-1-857d44d567-bdfbs,server,3,137
default,adservice-us-south-1-857d44d567-bdfbs,istio-proxy,4,83
default,adservice-us-south-1-857d44d567-ft2q4,server,2,134
default,adservice-us-south-1-857d44d567-ft2q4,istio-proxy,3,82
default,adservice-us-west-1-54bd7bcc4c-6hll5,server,2,133
default,adservice-us-west-1-54bd7bcc4c-6hll5,istio-proxy,3,83
default,adservice-us-west-1-54bd7bcc4c-87wp7,server,0,136
default,adservice-us-west-1-54bd7bcc4c-87wp7,istio-proxy,3,83
default,adservice-us-west-1-54bd7bcc4c-d9pcw,server,2,132
default,adservice-us-west-1-54bd7bcc4c-d9pcw,istio-proxy,3,84
default,cartservice-us-central-1-7cbf5f7554-fkllq,server,83,37
default,cartservice-us-central-1-7cbf5f7554-fkllq,istio-proxy,67,85
default,cartservice-us-central-1-7cbf5f7554-tfjk7,server,2,26
default,cartservice-us-central-1-7cbf5f7554-tfjk7,istio-proxy,17,86
default,cartservice-us-central-1-7cbf5f7554-wz2l5,server,2,30
default,cartservice-us-central-1-7cbf5f7554-wz2l5,istio-proxy,32,83
default,cartservice-us-east-1-65f7c94858-b9rb5,server,155,45
default,cartservice-us-east-1-65f7c94858-b9rb5,istio-proxy,27,84
default,cartservice-us-east-1-65f7c94858-fk29x,server,277,46
default,cartservice-us-east-1-65f7c94858-fk29x,istio-proxy,3,83
default,cartservice-us-east-1-65f7c94858-n9nw6,server,5,28
default,cartservice-us-east-1-65f7c94858-n9nw6,istio-proxy,95,87
default,cartservice-us-south-1-6c4f8769bb-8hk26,server,332,48
default,cartservice-us-south-1-6c4f8769bb-8hk26,istio-proxy,4,83
default,cartservice-us-south-1-6c4f8769bb-sfcq8,server,6,28
default,cartservice-us-south-1-6c4f8769bb-sfcq8,istio-proxy,106,84
default,cartservice-us-south-1-6c4f8769bb-wj4rl,server,209,44
default,cartservice-us-south-1-6c4f8769bb-wj4rl,istio-proxy,19,84
default,cartservice-us-west-1-6fd76fbbbf-5hf4v,server,445,48
default,cartservice-us-west-1-6fd76fbbbf-5hf4v,istio-proxy,93,85
default,cartservice-us-west-1-6fd76fbbbf-dshhb,server,344,52
default,cartservice-us-west-1-6fd76fbbbf-dshhb,istio-proxy,22,86
default,cartservice-us-west-1-6fd76fbbbf-f86nw,server,316,45
default,cartservice-us-west-1-6fd76fbbbf-f86nw,istio-proxy,181,86
default,checkoutservice-us-central-1-5fd644697d-bfm42,server,0,8
default,checkoutservice-us-central-1-5fd644697d-bfm42,istio-proxy,6,85
default,checkoutservice-us-central-1-5fd644697d-lslqd,server,0,8
default,checkoutservice-us-central-1-5fd644697d-lslqd,istio-proxy,3,83
default,checkoutservice-us-central-1-5fd644697d-rkrcg,server,0,9
default,checkoutservice-us-central-1-5fd644697d-rkrcg,istio-proxy,3,84
default,checkoutservice-us-east-1-fcdfdb7d-2bvjl,server,36,10
default,checkoutservice-us-east-1-fcdfdb7d-2bvjl,istio-proxy,3,83
default,checkoutservice-us-east-1-fcdfdb7d-8cs6f,server,17,10
default,checkoutservice-us-east-1-fcdfdb7d-8cs6f,istio-proxy,104,84
default,checkoutservice-us-east-1-fcdfdb7d-jzhtr,server,0,8
default,checkoutservice-us-east-1-fcdfdb7d-jzhtr,istio-proxy,79,86
default,checkoutservice-us-south-1-6796d685f4-9zkgl,server,74,11
default,checkoutservice-us-south-1-6796d685f4-9zkgl,istio-proxy,287,85
default,checkoutservice-us-south-1-6796d685f4-tbqjh,server,147,11
default,checkoutservice-us-south-1-6796d685f4-tbqjh,istio-proxy,61,85
default,checkoutservice-us-south-1-6796d685f4-vwgc2,server,54,11
default,checkoutservice-us-south-1-6796d685f4-vwgc2,istio-proxy,63,85
default,checkoutservice-us-west-1-84444fbfd-8j9v7,server,114,10
default,checkoutservice-us-west-1-84444fbfd-8j9v7,istio-proxy,179,85
default,checkoutservice-us-west-1-84444fbfd-bq4rf,server,0,27
default,checkoutservice-us-west-1-84444fbfd-bq4rf,istio-proxy,32,98
default,checkoutservice-us-west-1-84444fbfd-mdm2v,server,0,13
default,checkoutservice-us-west-1-84444fbfd-mdm2v,istio-proxy,206,88
default,currencyservice-us-central-1-6784868699-6b59t,server,0,18
default,currencyservice-us-central-1-6784868699-6b59t,istio-proxy,3,83
default,currencyservice-us-central-1-6784868699-kpqhs,server,0,18
default,currencyservice-us-central-1-6784868699-kpqhs,istio-proxy,6,82
default,currencyservice-us-central-1-6784868699-lm52r,server,0,18
default,currencyservice-us-central-1-6784868699-lm52r,istio-proxy,3,84
default,currencyservice-us-east-1-869865f8bc-2bjr2,server,69,19
