Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-f95fc5dc6-6g4pq,server,3,137
default,adservice-us-central-1-f95fc5dc6-6g4pq,istio-proxy,3,84
default,adservice-us-central-1-f95fc5dc6-7zftd,server,2,137
default,adservice-us-central-1-f95fc5dc6-7zftd,istio-proxy,3,82
default,adservice-us-central-1-f95fc5dc6-8vbch,server,2,138
default,adservice-us-central-1-f95fc5dc6-8vbch,istio-proxy,3,82
default,adservice-us-east-1-5dc74b6d4b-456w5,server,3,139
default,adservice-us-east-1-5dc74b6d4b-456w5,istio-proxy,3,83
default,adservice-us-east-1-5dc74b6d4b-fs2qw,server,3,140
default,adservice-us-east-1-5dc74b6d4b-fs2qw,istio-proxy,3,83
default,adservice-us-east-1-5dc74b6d4b-nqzjs,server,2,137
default,adservice-us-east-1-5dc74b6d4b-nqzjs,istio-proxy,3,82
default,adservice-us-south-1-658b7f54f6-c7mth,server,3,137
default,adservice-us-south-1-658b7f54f6-c7mth,istio-proxy,3,82
default,adservice-us-south-1-658b7f54f6-lvrcd,server,4,140
default,adservice-us-south-1-658b7f54f6-lvrcd,istio-proxy,3,83
default,adservice-us-south-1-658b7f54f6-tvtq9,server,3,138
default,adservice-us-south-1-658b7f54f6-tvtq9,istio-proxy,3,82
default,adservice-us-west-1-5c5cd8f878-8gm6h,server,4,137
default,adservice-us-west-1-5c5cd8f878-8gm6h,istio-proxy,3,82
default,adservice-us-west-1-5c5cd8f878-hjcln,server,3,138
default,adservice-us-west-1-5c5cd8f878-hjcln,istio-proxy,4,84
default,adservice-us-west-1-5c5cd8f878-rxgqr,server,5,138
default,adservice-us-west-1-5c5cd8f878-rxgqr,istio-proxy,3,82
default,cartservice-us-central-1-76cb957d9f-7r2d4,server,290,45
default,cartservice-us-central-1-76cb957d9f-7r2d4,istio-proxy,60,84
default,cartservice-us-central-1-76cb957d9f-9d66m,server,331,43
default,cartservice-us-central-1-76cb957d9f-9d66m,istio-proxy,3,82
default,cartservice-us-central-1-76cb957d9f-shddg,server,266,44
default,cartservice-us-central-1-76cb957d9f-shddg,istio-proxy,101,84
default,cartservice-us-east-1-9dbb4cfb8-7kddp,server,348,43
default,cartservice-us-east-1-9dbb4cfb8-7kddp,istio-proxy,46,85
default,cartservice-us-east-1-9dbb4cfb8-pqjc4,server,248,43
default,cartservice-us-east-1-9dbb4cfb8-pqjc4,istio-proxy,47,87
default,cartservice-us-east-1-9dbb4cfb8-wrffr,server,294,44
default,cartservice-us-east-1-9dbb4cfb8-wrffr,istio-proxy,56,85
default,cartservice-us-south-1-546cc6dc44-59w6t,server,208,43
default,cartservice-us-south-1-546cc6dc44-59w6t,istio-proxy,21,84
default,cartservice-us-south-1-546cc6dc44-6qwgr,server,5,34
default,cartservice-us-south-1-546cc6dc44-6qwgr,istio-proxy,71,83
default,cartservice-us-south-1-546cc6dc44-nspgr,server,4,34
default,cartservice-us-south-1-546cc6dc44-nspgr,istio-proxy,78,86
default,cartservice-us-west-1-7597688dd-b7p5n,server,617,64
default,cartservice-us-west-1-7597688dd-b7p5n,istio-proxy,233,84
default,cartservice-us-west-1-7597688dd-djgjl,server,796,60
default,cartservice-us-west-1-7597688dd-djgjl,istio-proxy,42,86
default,cartservice-us-west-1-7597688dd-l78rv,server,126,40
default,cartservice-us-west-1-7597688dd-l78rv,istio-proxy,40,84
default,checkoutservice-us-central-1-67c9c69fdf-bsrcl,server,52,10
default,checkoutservice-us-central-1-67c9c69fdf-bsrcl,istio-proxy,142,84
default,checkoutservice-us-central-1-67c9c69fdf-nfsbs,server,0,9
default,checkoutservice-us-central-1-67c9c69fdf-nfsbs,istio-proxy,3,84
