Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d79cdc99b-stfpt,server,2,144
default,adservice-us-central-1-6d79cdc99b-stfpt,istio-proxy,3,82
default,adservice-us-central-1-6d79cdc99b-t28zs,server,2,149
default,adservice-us-central-1-6d79cdc99b-t28zs,istio-proxy,3,83
default,adservice-us-central-1-6d79cdc99b-wdflf,server,2,147
default,adservice-us-central-1-6d79cdc99b-wdflf,istio-proxy,3,83
default,adservice-us-east-1-54564454-4mdqd,server,2,142
default,adservice-us-east-1-54564454-4mdqd,istio-proxy,3,84
default,adservice-us-east-1-54564454-5v4h7,server,3,147
default,adservice-us-east-1-54564454-5v4h7,istio-proxy,4,84
default,adservice-us-east-1-54564454-v6f29,server,3,148
default,adservice-us-east-1-54564454-v6f29,istio-proxy,3,86
default,adservice-us-south-1-76d55c6b59-2rk9h,server,2,143
default,adservice-us-south-1-76d55c6b59-2rk9h,istio-proxy,3,84
default,adservice-us-south-1-76d55c6b59-f46ks,server,4,150
default,adservice-us-south-1-76d55c6b59-f46ks,istio-proxy,3,82
default,adservice-us-south-1-76d55c6b59-ztx2n,server,3,142
default,adservice-us-south-1-76d55c6b59-ztx2n,istio-proxy,3,84
default,adservice-us-west-1-5b97684b99-6d6kp,server,3,148
default,adservice-us-west-1-5b97684b99-6d6kp,istio-proxy,4,84
default,adservice-us-west-1-5b97684b99-cfnbd,server,2,148
default,adservice-us-west-1-5b97684b99-cfnbd,istio-proxy,4,82
default,adservice-us-west-1-5b97684b99-fkfqz,server,2,143
default,adservice-us-west-1-5b97684b99-fkfqz,istio-proxy,3,83
default,cartservice-us-central-1-6c64b8b9fd-56w2n,server,268,46
default,cartservice-us-central-1-6c64b8b9fd-56w2n,istio-proxy,76,83
default,cartservice-us-central-1-6c64b8b9fd-hccpj,server,115,48
default,cartservice-us-central-1-6c64b8b9fd-hccpj,istio-proxy,76,83
default,cartservice-us-central-1-6c64b8b9fd-xc76c,server,123,46
default,cartservice-us-central-1-6c64b8b9fd-xc76c,istio-proxy,83,86
default,cartservice-us-east-1-8448d64746-mb896,server,201,55
default,cartservice-us-east-1-8448d64746-mb896,istio-proxy,143,83
default,cartservice-us-east-1-8448d64746-vlbmh,server,200,57
default,cartservice-us-east-1-8448d64746-vlbmh,istio-proxy,128,84
default,cartservice-us-east-1-8448d64746-xp6vj,server,285,50
default,cartservice-us-east-1-8448d64746-xp6vj,istio-proxy,148,82
default,cartservice-us-south-1-599c8b5b7c-5wdrj,server,178,61
default,cartservice-us-south-1-599c8b5b7c-5wdrj,istio-proxy,131,86
default,cartservice-us-south-1-599c8b5b7c-bl8qv,server,241,54
default,cartservice-us-south-1-599c8b5b7c-bl8qv,istio-proxy,159,85
default,cartservice-us-south-1-599c8b5b7c-vd9h7,server,217,59
default,cartservice-us-south-1-599c8b5b7c-vd9h7,istio-proxy,119,84
default,cartservice-us-west-1-c9b569447-6nx7p,server,547,89
default,cartservice-us-west-1-c9b569447-6nx7p,istio-proxy,420,86
default,cartservice-us-west-1-c9b569447-hvxjh,server,385,80
default,cartservice-us-west-1-c9b569447-hvxjh,istio-proxy,431,86
default,cartservice-us-west-1-c9b569447-vksgm,server,564,94
default,cartservice-us-west-1-c9b569447-vksgm,istio-proxy,425,84
default,checkoutservice-us-central-1-dfc6f988d-8dsfv,server,0,10
default,checkoutservice-us-central-1-dfc6f988d-8dsfv,istio-proxy,5,84
default,checkoutservice-us-central-1-dfc6f988d-b4lvf,server,2,11
default,checkoutservice-us-central-1-dfc6f988d-b4lvf,istio-proxy,7,85
default,checkoutservice-us-central-1-dfc6f988d-hptwz,server,13,10
default,checkoutservice-us-central-1-dfc6f988d-hptwz,istio-proxy,11,87
default,checkoutservice-us-east-1-6d4c8c67b4-gpl6h,server,177,11
default,checkoutservice-us-east-1-6d4c8c67b4-gpl6h,istio-proxy,327,85
default,checkoutservice-us-east-1-6d4c8c67b4-m97mq,server,162,11
default,checkoutservice-us-east-1-6d4c8c67b4-m97mq,istio-proxy,261,86
default,checkoutservice-us-east-1-6d4c8c67b4-qrhpc,server,133,12
default,checkoutservice-us-east-1-6d4c8c67b4-qrhpc,istio-proxy,353,85
default,checkoutservice-us-south-1-6c997b7fb4-cbnvw,server,289,12
default,checkoutservice-us-south-1-6c997b7fb4-cbnvw,istio-proxy,508,85
default,checkoutservice-us-south-1-6c997b7fb4-cf2vl,server,50,14
default,checkoutservice-us-south-1-6c997b7fb4-cf2vl,istio-proxy,386,87
default,checkoutservice-us-south-1-6c997b7fb4-k9pnf,server,260,12
default,checkoutservice-us-south-1-6c997b7fb4-k9pnf,istio-proxy,522,86
default,checkoutservice-us-west-1-655b58dff5-9h6sg,server,249,11
default,checkoutservice-us-west-1-655b58dff5-9h6sg,istio-proxy,572,84
default,checkoutservice-us-west-1-655b58dff5-fnk84,server,326,10
default,checkoutservice-us-west-1-655b58dff5-fnk84,istio-proxy,567,88
default,checkoutservice-us-west-1-655b58dff5-sdpmf,server,276,13
default,checkoutservice-us-west-1-655b58dff5-sdpmf,istio-proxy,650,84
default,currencyservice-us-central-1-6c7b59574c-cglpc,server,1,18
default,currencyservice-us-central-1-6c7b59574c-cglpc,istio-proxy,4,86
default,currencyservice-us-central-1-6c7b59574c-dn9n9,server,1,18
default,currencyservice-us-central-1-6c7b59574c-dn9n9,istio-proxy,3,86
default,currencyservice-us-central-1-6c7b59574c-gql6n,server,1,18
default,currencyservice-us-central-1-6c7b59574c-gql6n,istio-proxy,3,87
default,currencyservice-us-east-1-5b7ffbc55f-5sjll,server,137,28
default,currencyservice-us-east-1-5b7ffbc55f-5sjll,istio-proxy,81,84
default,currencyservice-us-east-1-5b7ffbc55f-d2gck,server,81,29
default,currencyservice-us-east-1-5b7ffbc55f-d2gck,istio-proxy,76,84
default,currencyservice-us-east-1-5b7ffbc55f-jd5p2,server,130,28
default,currencyservice-us-east-1-5b7ffbc55f-jd5p2,istio-proxy,80,83
default,currencyservice-us-south-1-79c9c9c7d-2n5f4,server,121,30
default,currencyservice-us-south-1-79c9c9c7d-2n5f4,istio-proxy,98,84
default,currencyservice-us-south-1-79c9c9c7d-dnk9s,server,164,30
default,currencyservice-us-south-1-79c9c9c7d-dnk9s,istio-proxy,82,83
