Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d79cdc99b-stfpt,server,7,158
default,adservice-us-central-1-6d79cdc99b-stfpt,istio-proxy,3,82
default,adservice-us-central-1-6d79cdc99b-t28zs,server,0,154
default,adservice-us-central-1-6d79cdc99b-t28zs,istio-proxy,3,83
default,adservice-us-central-1-6d79cdc99b-wdflf,server,8,156
default,adservice-us-central-1-6d79cdc99b-wdflf,istio-proxy,3,83
default,adservice-us-east-1-54564454-4mdqd,server,3,152
default,adservice-us-east-1-54564454-4mdqd,istio-proxy,3,84
default,adservice-us-east-1-54564454-5v4h7,server,2,151
default,adservice-us-east-1-54564454-5v4h7,istio-proxy,3,84
default,adservice-us-east-1-54564454-v6f29,server,7,158
default,adservice-us-east-1-54564454-v6f29,istio-proxy,3,86
default,adservice-us-south-1-76d55c6b59-2rk9h,server,7,157
default,adservice-us-south-1-76d55c6b59-2rk9h,istio-proxy,3,84
default,adservice-us-south-1-76d55c6b59-f46ks,server,6,159
default,adservice-us-south-1-76d55c6b59-f46ks,istio-proxy,3,82
default,adservice-us-south-1-76d55c6b59-ztx2n,server,10,157
default,adservice-us-south-1-76d55c6b59-ztx2n,istio-proxy,3,84
default,adservice-us-west-1-5b97684b99-6d6kp,server,7,158
default,adservice-us-west-1-5b97684b99-6d6kp,istio-proxy,4,84
default,adservice-us-west-1-5b97684b99-cfnbd,server,11,157
default,adservice-us-west-1-5b97684b99-cfnbd,istio-proxy,4,82
default,adservice-us-west-1-5b97684b99-fkfqz,server,3,153
default,adservice-us-west-1-5b97684b99-fkfqz,istio-proxy,3,83
default,cartservice-us-central-1-6c64b8b9fd-56w2n,server,112,57
default,cartservice-us-central-1-6c64b8b9fd-56w2n,istio-proxy,73,83
default,cartservice-us-central-1-6c64b8b9fd-hccpj,server,105,60
default,cartservice-us-central-1-6c64b8b9fd-hccpj,istio-proxy,71,83
default,cartservice-us-central-1-6c64b8b9fd-xc76c,server,89,63
default,cartservice-us-central-1-6c64b8b9fd-xc76c,istio-proxy,78,86
default,cartservice-us-east-1-8448d64746-mb896,server,171,71
default,cartservice-us-east-1-8448d64746-mb896,istio-proxy,119,83
default,cartservice-us-east-1-8448d64746-vlbmh,server,158,77
default,cartservice-us-east-1-8448d64746-vlbmh,istio-proxy,96,85
default,cartservice-us-east-1-8448d64746-xp6vj,server,160,71
default,cartservice-us-east-1-8448d64746-xp6vj,istio-proxy,106,83
default,cartservice-us-south-1-599c8b5b7c-5wdrj,server,101,74
default,cartservice-us-south-1-599c8b5b7c-5wdrj,istio-proxy,88,86
