Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d79cdc99b-stfpt,server,2,139
default,adservice-us-central-1-6d79cdc99b-stfpt,istio-proxy,3,82
default,adservice-us-central-1-6d79cdc99b-t28zs,server,2,144
default,adservice-us-central-1-6d79cdc99b-t28zs,istio-proxy,3,83
default,adservice-us-central-1-6d79cdc99b-wdflf,server,2,142
default,adservice-us-central-1-6d79cdc99b-wdflf,istio-proxy,3,83
default,adservice-us-east-1-54564454-4mdqd,server,3,137
default,adservice-us-east-1-54564454-4mdqd,istio-proxy,3,84
default,adservice-us-east-1-54564454-5v4h7,server,3,142
default,adservice-us-east-1-54564454-5v4h7,istio-proxy,3,84
default,adservice-us-east-1-54564454-v6f29,server,2,143
default,adservice-us-east-1-54564454-v6f29,istio-proxy,3,86
default,adservice-us-south-1-76d55c6b59-2rk9h,server,2,138
default,adservice-us-south-1-76d55c6b59-2rk9h,istio-proxy,3,84
default,adservice-us-south-1-76d55c6b59-f46ks,server,0,140
default,adservice-us-south-1-76d55c6b59-f46ks,istio-proxy,3,82
default,adservice-us-south-1-76d55c6b59-ztx2n,server,3,142
default,adservice-us-south-1-76d55c6b59-ztx2n,istio-proxy,3,84
default,adservice-us-west-1-5b97684b99-6d6kp,server,4,144
default,adservice-us-west-1-5b97684b99-6d6kp,istio-proxy,3,84
default,adservice-us-west-1-5b97684b99-cfnbd,server,4,143
default,adservice-us-west-1-5b97684b99-cfnbd,istio-proxy,3,82
default,adservice-us-west-1-5b97684b99-fkfqz,server,2,139
default,adservice-us-west-1-5b97684b99-fkfqz,istio-proxy,3,83
default,cartservice-us-central-1-6c64b8b9fd-56w2n,server,268,46
default,cartservice-us-central-1-6c64b8b9fd-56w2n,istio-proxy,87,83
default,cartservice-us-central-1-6c64b8b9fd-hccpj,server,290,43
default,cartservice-us-central-1-6c64b8b9fd-hccpj,istio-proxy,70,83
default,cartservice-us-central-1-6c64b8b9fd-xc76c,server,216,42
default,cartservice-us-central-1-6c64b8b9fd-xc76c,istio-proxy,19,86
default,cartservice-us-east-1-8448d64746-mb896,server,436,46
default,cartservice-us-east-1-8448d64746-mb896,istio-proxy,23,83
default,cartservice-us-east-1-8448d64746-vlbmh,server,372,48
