counter,region,service,endpoint,rps
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,240
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,261
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,255
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,237
1,us-west-1,sslateingress,sslateingress@POST@/cart,273
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,218
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,300
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,261
1,us-west-1,frontend,frontend@POST@/cart,187
1,us-west-1,frontend,frontend@POST@/setCurrency,140
1,us-west-1,frontend,frontend@POST@/cart/checkout,219
1,us-west-1,frontend,frontend@POST@/cart/empty,166
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,259
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,273
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,256
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,321
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,279
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,29
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,22
1,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,71
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,67
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,51
1,us-central-1,sslateingress,sslateingress@POST@/cart,62
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,41
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,52
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,42
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,48
1,us-central-1,frontend,frontend@POST@/cart/checkout,78
1,us-central-1,frontend,frontend@POST@/cart,66
1,us-central-1,frontend,frontend@POST@/cart/empty,58
1,us-central-1,frontend,frontend@POST@/setCurrency,48
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,18
1,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,14
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,36
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,32
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,24
1,us-south-1,frontend,frontend@POST@/cart/checkout,27
1,us-south-1,frontend,frontend@POST@/setCurrency,0
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,34
1,us-south-1,sslateingress,sslateingress@POST@/cart,34
1,us-south-1,sslateingress,sslateingress@POST@/cart/empty,31
1,us-south-1,sslateingress,sslateingress@POST@/setCurrency,24
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,24
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,31
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,97
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,78
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,83
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,76
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,117
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,122
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,128
1,us-east-1,frontend,frontend@POST@/cart,114
1,us-east-1,frontend,frontend@POST@/cart/empty,117
1,us-east-1,frontend,frontend@POST@/cart/checkout,121
1,us-east-1,frontend,frontend@POST@/setCurrency,114
1,us-east-1,sslateingress,sslateingress@POST@/cart,91
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,63
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,74
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,91
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,94
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,99
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,360
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,348
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,354
2,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,326
2,us-west-1,sslateingress,sslateingress@POST@/cart,358
2,us-west-1,sslateingress,sslateingress@POST@/setCurrency,380
2,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,355
2,us-west-1,sslateingress,sslateingress@POST@/cart/empty,347
2,us-west-1,frontend,frontend@POST@/cart,316
2,us-west-1,frontend,frontend@POST@/setCurrency,317
2,us-west-1,frontend,frontend@POST@/cart/checkout,314
2,us-west-1,frontend,frontend@POST@/cart/empty,326
2,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,341
2,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,309
2,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,317
2,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,476
