Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-85c94d9bb8-48759,server,3,147
default,adservice-us-central-1-85c94d9bb8-48759,istio-proxy,3,83
default,adservice-us-central-1-85c94d9bb8-hpm5h,server,2,148
default,adservice-us-central-1-85c94d9bb8-hpm5h,istio-proxy,4,83
default,adservice-us-central-1-85c94d9bb8-vhjtj,server,0,148
default,adservice-us-central-1-85c94d9bb8-vhjtj,istio-proxy,3,83
default,adservice-us-east-1-668b6666dc-gsr8s,server,2,149
default,adservice-us-east-1-668b6666dc-gsr8s,istio-proxy,4,83
default,adservice-us-east-1-668b6666dc-wcddj,server,2,146
default,adservice-us-east-1-668b6666dc-wcddj,istio-proxy,5,82
default,adservice-us-east-1-668b6666dc-wg8w4,server,4,153
default,adservice-us-east-1-668b6666dc-wg8w4,istio-proxy,4,85
default,adservice-us-south-1-65969dd847-9kdmr,server,3,154
default,adservice-us-south-1-65969dd847-9kdmr,istio-proxy,4,83
default,adservice-us-south-1-65969dd847-h22nz,server,3,152
default,adservice-us-south-1-65969dd847-h22nz,istio-proxy,4,83
default,adservice-us-south-1-65969dd847-zcxw9,server,2,148
default,adservice-us-south-1-65969dd847-zcxw9,istio-proxy,4,82
default,adservice-us-west-1-7579d9d447-fnw7c,server,4,150
default,adservice-us-west-1-7579d9d447-fnw7c,istio-proxy,4,82
default,adservice-us-west-1-7579d9d447-k6gpl,server,3,146
default,adservice-us-west-1-7579d9d447-k6gpl,istio-proxy,4,81
default,adservice-us-west-1-7579d9d447-xsp7h,server,2,145
default,adservice-us-west-1-7579d9d447-xsp7h,istio-proxy,4,83
default,cartservice-us-central-1-6697cc5b54-627cw,server,293,82
default,cartservice-us-central-1-6697cc5b54-627cw,istio-proxy,211,86
default,cartservice-us-central-1-6697cc5b54-v6blt,server,280,81
default,cartservice-us-central-1-6697cc5b54-v6blt,istio-proxy,202,84
default,cartservice-us-central-1-6697cc5b54-zkqrz,server,299,74
default,cartservice-us-central-1-6697cc5b54-zkqrz,istio-proxy,205,85
default,cartservice-us-east-1-c978cd54-hwwgs,server,274,72
default,cartservice-us-east-1-c978cd54-hwwgs,istio-proxy,200,86
default,cartservice-us-east-1-c978cd54-khq9b,server,288,78
default,cartservice-us-east-1-c978cd54-khq9b,istio-proxy,191,85
default,cartservice-us-east-1-c978cd54-zkpz6,server,288,76
default,cartservice-us-east-1-c978cd54-zkpz6,istio-proxy,199,86
default,cartservice-us-south-1-f9d6fb4fc-5945g,server,291,82
default,cartservice-us-south-1-f9d6fb4fc-5945g,istio-proxy,207,84
default,cartservice-us-south-1-f9d6fb4fc-7lnh8,server,302,73
default,cartservice-us-south-1-f9d6fb4fc-7lnh8,istio-proxy,217,87
default,cartservice-us-south-1-f9d6fb4fc-ch5lt,server,297,76
default,cartservice-us-south-1-f9d6fb4fc-ch5lt,istio-proxy,210,84
default,cartservice-us-west-1-6c9597cf9f-48bz6,server,316,88
default,cartservice-us-west-1-6c9597cf9f-48bz6,istio-proxy,226,86
default,cartservice-us-west-1-6c9597cf9f-m89st,server,320,82
default,cartservice-us-west-1-6c9597cf9f-m89st,istio-proxy,227,84
default,cartservice-us-west-1-6c9597cf9f-prmtp,server,315,83
default,cartservice-us-west-1-6c9597cf9f-prmtp,istio-proxy,224,85
default,checkoutservice-us-central-1-5897bc4df6-6bm7l,server,214,11
default,checkoutservice-us-central-1-5897bc4df6-6bm7l,istio-proxy,393,86
default,checkoutservice-us-central-1-5897bc4df6-lxb52,server,215,11
default,checkoutservice-us-central-1-5897bc4df6-lxb52,istio-proxy,378,84
default,checkoutservice-us-central-1-5897bc4df6-sjnzq,server,217,11
default,checkoutservice-us-central-1-5897bc4df6-sjnzq,istio-proxy,400,85
default,checkoutservice-us-east-1-5b6d67fdf6-m5qr8,server,195,11
default,checkoutservice-us-east-1-5b6d67fdf6-m5qr8,istio-proxy,375,85
default,checkoutservice-us-east-1-5b6d67fdf6-plcmq,server,203,12
default,checkoutservice-us-east-1-5b6d67fdf6-plcmq,istio-proxy,362,84
default,checkoutservice-us-east-1-5b6d67fdf6-t5kqq,server,212,11
default,checkoutservice-us-east-1-5b6d67fdf6-t5kqq,istio-proxy,343,85
default,checkoutservice-us-south-1-6b8b9575b8-6xw7q,server,197,15
default,checkoutservice-us-south-1-6b8b9575b8-6xw7q,istio-proxy,393,85
default,checkoutservice-us-south-1-6b8b9575b8-jkw8f,server,202,15
default,checkoutservice-us-south-1-6b8b9575b8-jkw8f,istio-proxy,392,92
default,checkoutservice-us-south-1-6b8b9575b8-wh8jp,server,221,12
default,checkoutservice-us-south-1-6b8b9575b8-wh8jp,istio-proxy,418,86
default,checkoutservice-us-west-1-545b65d559-mlgmj,server,225,12
default,checkoutservice-us-west-1-545b65d559-mlgmj,istio-proxy,395,85
default,checkoutservice-us-west-1-545b65d559-qdvng,server,222,11
default,checkoutservice-us-west-1-545b65d559-qdvng,istio-proxy,422,85
default,checkoutservice-us-west-1-545b65d559-sx2qg,server,213,12
default,checkoutservice-us-west-1-545b65d559-sx2qg,istio-proxy,407,85
default,currencyservice-us-central-1-64f64f79-b54qx,server,111,32
default,currencyservice-us-central-1-64f64f79-b54qx,istio-proxy,95,82
default,currencyservice-us-central-1-64f64f79-jtx8h,server,113,33
default,currencyservice-us-central-1-64f64f79-jtx8h,istio-proxy,97,82
default,currencyservice-us-central-1-64f64f79-tmhqj,server,134,32
default,currencyservice-us-central-1-64f64f79-tmhqj,istio-proxy,108,85
default,currencyservice-us-east-1-596c556d95-r6t5n,server,116,31
default,currencyservice-us-east-1-596c556d95-r6t5n,istio-proxy,98,83
default,currencyservice-us-east-1-596c556d95-x2wnq,server,125,30
default,currencyservice-us-east-1-596c556d95-x2wnq,istio-proxy,93,85
default,currencyservice-us-east-1-596c556d95-zv6gw,server,124,31
default,currencyservice-us-east-1-596c556d95-zv6gw,istio-proxy,92,84
default,currencyservice-us-south-1-7cb6b998c-k6s8g,server,108,33
default,currencyservice-us-south-1-7cb6b998c-k6s8g,istio-proxy,103,84
default,currencyservice-us-south-1-7cb6b998c-v2542,server,117,33
default,currencyservice-us-south-1-7cb6b998c-v2542,istio-proxy,100,86
default,currencyservice-us-south-1-7cb6b998c-w57kp,server,139,31
default,currencyservice-us-south-1-7cb6b998c-w57kp,istio-proxy,104,83
default,currencyservice-us-west-1-7756cc97f5-9mjb5,server,113,34
default,currencyservice-us-west-1-7756cc97f5-9mjb5,istio-proxy,110,85
default,currencyservice-us-west-1-7756cc97f5-bm6sn,server,103,34
default,currencyservice-us-west-1-7756cc97f5-bm6sn,istio-proxy,107,85
default,currencyservice-us-west-1-7756cc97f5-sltm2,server,120,33
default,currencyservice-us-west-1-7756cc97f5-sltm2,istio-proxy,106,84
default,emailservice-us-central-1-6674f7dd74-phtcg,server,79,41
default,emailservice-us-central-1-6674f7dd74-phtcg,istio-proxy,70,84
default,emailservice-us-central-1-6674f7dd74-qd6ng,server,75,41
default,emailservice-us-central-1-6674f7dd74-qd6ng,istio-proxy,64,84
default,emailservice-us-central-1-6674f7dd74-tzdlf,server,77,41
default,emailservice-us-central-1-6674f7dd74-tzdlf,istio-proxy,64,84
default,emailservice-us-east-1-86b657869d-dcjcg,server,69,41
default,emailservice-us-east-1-86b657869d-dcjcg,istio-proxy,62,83
default,emailservice-us-east-1-86b657869d-dv5gn,server,74,41
default,emailservice-us-east-1-86b657869d-dv5gn,istio-proxy,65,86
default,emailservice-us-east-1-86b657869d-j9nnz,server,73,41
default,emailservice-us-east-1-86b657869d-j9nnz,istio-proxy,63,85
default,emailservice-us-south-1-867b44489d-4km7c,server,74,41
default,emailservice-us-south-1-867b44489d-4km7c,istio-proxy,68,85
default,emailservice-us-south-1-867b44489d-8nrbs,server,75,41
default,emailservice-us-south-1-867b44489d-8nrbs,istio-proxy,68,84
default,emailservice-us-south-1-867b44489d-jf5ms,server,74,41
default,emailservice-us-south-1-867b44489d-jf5ms,istio-proxy,67,85
default,emailservice-us-west-1-5f94955946-df5p7,server,77,41
default,emailservice-us-west-1-5f94955946-df5p7,istio-proxy,69,85
default,emailservice-us-west-1-5f94955946-n2drc,server,79,41
default,emailservice-us-west-1-5f94955946-n2drc,istio-proxy,74,85
default,emailservice-us-west-1-5f94955946-vw2z4,server,78,41
default,emailservice-us-west-1-5f94955946-vw2z4,istio-proxy,69,84
default,frontend-us-central-1-79d77dc4c-dqgk8,server,271,18
default,frontend-us-central-1-79d77dc4c-dqgk8,istio-proxy,437,89
default,frontend-us-central-1-79d77dc4c-lt4v7,server,255,18
default,frontend-us-central-1-79d77dc4c-lt4v7,istio-proxy,473,89
default,frontend-us-central-1-79d77dc4c-pl7m8,server,257,18
default,frontend-us-central-1-79d77dc4c-pl7m8,istio-proxy,424,89
default,frontend-us-east-1-5bcd6fcd6d-4xrbw,server,253,18
default,frontend-us-east-1-5bcd6fcd6d-4xrbw,istio-proxy,446,89
default,frontend-us-east-1-5bcd6fcd6d-c8v87,server,256,18
default,frontend-us-east-1-5bcd6fcd6d-c8v87,istio-proxy,440,88
default,frontend-us-east-1-5bcd6fcd6d-jdjn5,server,259,18
default,frontend-us-east-1-5bcd6fcd6d-jdjn5,istio-proxy,436,88
default,frontend-us-south-1-684f594dcd-78nrh,server,284,17
default,frontend-us-south-1-684f594dcd-78nrh,istio-proxy,481,89
default,frontend-us-south-1-684f594dcd-nhxvl,server,283,18
default,frontend-us-south-1-684f594dcd-nhxvl,istio-proxy,476,90
default,frontend-us-south-1-684f594dcd-p4kb6,server,265,17
default,frontend-us-south-1-684f594dcd-p4kb6,istio-proxy,468,90
default,frontend-us-west-1-57df64d566-2n8tz,server,286,19
default,frontend-us-west-1-57df64d566-2n8tz,istio-proxy,484,93
default,frontend-us-west-1-57df64d566-mncm7,server,275,20
default,frontend-us-west-1-57df64d566-mncm7,istio-proxy,481,93
default,frontend-us-west-1-57df64d566-qzm8g,server,288,18
default,frontend-us-west-1-57df64d566-qzm8g,istio-proxy,492,91
default,paymentservice-us-central-1-58856bd467-cd4sf,server,79,28
default,paymentservice-us-central-1-58856bd467-cd4sf,istio-proxy,70,84
default,paymentservice-us-central-1-58856bd467-jtlwl,server,120,28
default,paymentservice-us-central-1-58856bd467-jtlwl,istio-proxy,73,85
default,paymentservice-us-central-1-58856bd467-qgxdm,server,110,26
default,paymentservice-us-central-1-58856bd467-qgxdm,istio-proxy,70,84
default,paymentservice-us-east-1-567b65446f-cxxw2,server,97,29
default,paymentservice-us-east-1-567b65446f-cxxw2,istio-proxy,71,83
default,paymentservice-us-east-1-567b65446f-kwbpc,server,96,29
default,paymentservice-us-east-1-567b65446f-kwbpc,istio-proxy,70,85
default,paymentservice-us-east-1-567b65446f-tb5v9,server,100,27
