counter,region,service,endpoint,rps
1,us-south-1,frontend,frontend@POST@/cart/checkout,7
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,4
1,us-south-1,sslateingress,sslateingress@POST@/cart,3
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,8
1,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,21
1,us-central-1,frontend,frontend@POST@/cart,25
1,us-central-1,frontend,frontend@POST@/cart/checkout,39
1,us-central-1,frontend,frontend@POST@/setCurrency,10
1,us-central-1,frontend,frontend@POST@/cart/empty,22
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,16
1,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,23
1,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,20
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,18
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,21
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,17
1,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,15
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,4
1,us-central-1,sslateingress,sslateingress@POST@/cart,2
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,213
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,161
1,us-west-1,sslateingress,sslateingress@POST@/cart,171
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,139
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,94
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,187
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,230
1,us-west-1,frontend,frontend@POST@/cart/checkout,151
1,us-west-1,frontend,frontend@POST@/cart,122
1,us-west-1,frontend,frontend@POST@/setCurrency,63
1,us-west-1,frontend,frontend@POST@/cart/empty,89
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,145
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,106
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,149
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,207
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,165
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,199
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,63
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,60
1,us-east-1,frontend,frontend@POST@/cart,45
1,us-east-1,frontend,frontend@POST@/cart/checkout,43
1,us-east-1,frontend,frontend@POST@/cart/empty,22
1,us-east-1,frontend,frontend@POST@/setCurrency,17
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,36
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,29
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,58
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,70
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,73
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,54
1,us-east-1,sslateingress,sslateingress@POST@/cart,41
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,43
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,26
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,19
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,26
2,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,33
