Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fd7bcfd79-2nvgm,server,0,145
default,adservice-us-central-1-fd7bcfd79-2nvgm,istio-proxy,3,83
default,adservice-us-central-1-fd7bcfd79-724l4,server,3,149
default,adservice-us-central-1-fd7bcfd79-724l4,istio-proxy,3,85
default,adservice-us-central-1-fd7bcfd79-hf4n7,server,2,143
default,adservice-us-central-1-fd7bcfd79-hf4n7,istio-proxy,3,82
default,adservice-us-east-1-5cd48f6c59-hr6hx,server,2,144
default,adservice-us-east-1-5cd48f6c59-hr6hx,istio-proxy,3,85
default,adservice-us-east-1-5cd48f6c59-t4c7n,server,2,143
default,adservice-us-east-1-5cd48f6c59-t4c7n,istio-proxy,3,83
default,adservice-us-east-1-5cd48f6c59-tkjnf,server,3,144
default,adservice-us-east-1-5cd48f6c59-tkjnf,istio-proxy,3,83
default,adservice-us-south-1-744685d679-kltzs,server,2,143
default,adservice-us-south-1-744685d679-kltzs,istio-proxy,3,82
default,adservice-us-south-1-744685d679-m942b,server,2,143
default,adservice-us-south-1-744685d679-m942b,istio-proxy,3,83
default,adservice-us-south-1-744685d679-nt8h7,server,2,143
default,adservice-us-south-1-744685d679-nt8h7,istio-proxy,4,83
default,adservice-us-west-1-67b7bb7577-m8784,server,3,148
default,adservice-us-west-1-67b7bb7577-m8784,istio-proxy,4,81
default,adservice-us-west-1-67b7bb7577-r4g8t,server,3,144
default,adservice-us-west-1-67b7bb7577-r4g8t,istio-proxy,4,82
default,adservice-us-west-1-67b7bb7577-xdzxn,server,5,147
default,adservice-us-west-1-67b7bb7577-xdzxn,istio-proxy,4,83
default,cartservice-us-central-1-7f78947fbd-7sz4q,server,246,50
default,cartservice-us-central-1-7f78947fbd-7sz4q,istio-proxy,121,83
default,cartservice-us-central-1-7f78947fbd-8tfdg,server,178,57
default,cartservice-us-central-1-7f78947fbd-8tfdg,istio-proxy,113,84
default,cartservice-us-central-1-7f78947fbd-v2h8b,server,178,57
default,cartservice-us-central-1-7f78947fbd-v2h8b,istio-proxy,122,84
default,cartservice-us-east-1-675f9559fb-h26bz,server,176,58
default,cartservice-us-east-1-675f9559fb-h26bz,istio-proxy,116,85
default,cartservice-us-east-1-675f9559fb-kd4mg,server,177,57
default,cartservice-us-east-1-675f9559fb-kd4mg,istio-proxy,117,84
default,cartservice-us-east-1-675f9559fb-qqpzw,server,203,50
default,cartservice-us-east-1-675f9559fb-qqpzw,istio-proxy,120,85
default,cartservice-us-south-1-7b568cb6d8-nr76m,server,172,51
default,cartservice-us-south-1-7b568cb6d8-nr76m,istio-proxy,113,84
default,cartservice-us-south-1-7b568cb6d8-nsfbz,server,178,56
default,cartservice-us-south-1-7b568cb6d8-nsfbz,istio-proxy,117,85
default,cartservice-us-south-1-7b568cb6d8-tbd89,server,173,49
default,cartservice-us-south-1-7b568cb6d8-tbd89,istio-proxy,122,84
default,cartservice-us-west-1-7599744cbd-5cmd4,server,605,131
default,cartservice-us-west-1-7599744cbd-5cmd4,istio-proxy,573,83
default,cartservice-us-west-1-7599744cbd-f4h5m,server,676,102
default,cartservice-us-west-1-7599744cbd-f4h5m,istio-proxy,570,87
default,cartservice-us-west-1-7599744cbd-q7fxp,server,588,110
default,cartservice-us-west-1-7599744cbd-q7fxp,istio-proxy,433,83
