Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fd7bcfd79-2nvgm,server,3,156
default,adservice-us-central-1-fd7bcfd79-2nvgm,istio-proxy,3,83
default,adservice-us-central-1-fd7bcfd79-724l4,server,0,149
default,adservice-us-central-1-fd7bcfd79-724l4,istio-proxy,3,85
default,adservice-us-central-1-fd7bcfd79-hf4n7,server,2,148
default,adservice-us-central-1-fd7bcfd79-hf4n7,istio-proxy,3,82
default,adservice-us-east-1-5cd48f6c59-hr6hx,server,2,149
default,adservice-us-east-1-5cd48f6c59-hr6hx,istio-proxy,3,85
default,adservice-us-east-1-5cd48f6c59-t4c7n,server,4,152
default,adservice-us-east-1-5cd48f6c59-t4c7n,istio-proxy,3,83
default,adservice-us-east-1-5cd48f6c59-tkjnf,server,2,149
default,adservice-us-east-1-5cd48f6c59-tkjnf,istio-proxy,3,83
default,adservice-us-south-1-744685d679-kltzs,server,3,152
default,adservice-us-south-1-744685d679-kltzs,istio-proxy,3,82
default,adservice-us-south-1-744685d679-m942b,server,2,148
default,adservice-us-south-1-744685d679-m942b,istio-proxy,3,83
default,adservice-us-south-1-744685d679-nt8h7,server,3,147
default,adservice-us-south-1-744685d679-nt8h7,istio-proxy,3,83
default,adservice-us-west-1-67b7bb7577-m8784,server,3,148
default,adservice-us-west-1-67b7bb7577-m8784,istio-proxy,5,82
default,adservice-us-west-1-67b7bb7577-r4g8t,server,4,153
default,adservice-us-west-1-67b7bb7577-r4g8t,istio-proxy,4,82
default,adservice-us-west-1-67b7bb7577-xdzxn,server,5,147
default,adservice-us-west-1-67b7bb7577-xdzxn,istio-proxy,3,83
default,cartservice-us-central-1-7f78947fbd-7sz4q,server,168,61
default,cartservice-us-central-1-7f78947fbd-7sz4q,istio-proxy,121,83
default,cartservice-us-central-1-7f78947fbd-8tfdg,server,166,64
default,cartservice-us-central-1-7f78947fbd-8tfdg,istio-proxy,116,84
default,cartservice-us-central-1-7f78947fbd-v2h8b,server,172,65
default,cartservice-us-central-1-7f78947fbd-v2h8b,istio-proxy,117,84
default,cartservice-us-east-1-675f9559fb-h26bz,server,176,58
default,cartservice-us-east-1-675f9559fb-h26bz,istio-proxy,111,85
default,cartservice-us-east-1-675f9559fb-kd4mg,server,166,64
default,cartservice-us-east-1-675f9559fb-kd4mg,istio-proxy,117,84
default,cartservice-us-east-1-675f9559fb-qqpzw,server,174,62
default,cartservice-us-east-1-675f9559fb-qqpzw,istio-proxy,115,85
default,cartservice-us-south-1-7b568cb6d8-nr76m,server,175,62
default,cartservice-us-south-1-7b568cb6d8-nr76m,istio-proxy,115,84
default,cartservice-us-south-1-7b568cb6d8-nsfbz,server,178,56
default,cartservice-us-south-1-7b568cb6d8-nsfbz,istio-proxy,118,85
default,cartservice-us-south-1-7b568cb6d8-tbd89,server,174,67
default,cartservice-us-south-1-7b568cb6d8-tbd89,istio-proxy,120,84
default,cartservice-us-west-1-7599744cbd-5cmd4,server,605,131
default,cartservice-us-west-1-7599744cbd-5cmd4,istio-proxy,495,89
default,cartservice-us-west-1-7599744cbd-f4h5m,server,599,148
default,cartservice-us-west-1-7599744cbd-f4h5m,istio-proxy,570,87
default,cartservice-us-west-1-7599744cbd-q7fxp,server,603,154
default,cartservice-us-west-1-7599744cbd-q7fxp,istio-proxy,545,86
default,checkoutservice-us-central-1-7c4ff7bdc4-bvd22,server,121,11
default,checkoutservice-us-central-1-7c4ff7bdc4-bvd22,istio-proxy,226,84
default,checkoutservice-us-central-1-7c4ff7bdc4-dwb2z,server,120,12
default,checkoutservice-us-central-1-7c4ff7bdc4-dwb2z,istio-proxy,220,85
default,checkoutservice-us-central-1-7c4ff7bdc4-zpfxj,server,115,12
default,checkoutservice-us-central-1-7c4ff7bdc4-zpfxj,istio-proxy,208,84
default,checkoutservice-us-east-1-bc5664f58-7kdn5,server,113,11
default,checkoutservice-us-east-1-bc5664f58-7kdn5,istio-proxy,212,84
default,checkoutservice-us-east-1-bc5664f58-gvhtb,server,120,11
default,checkoutservice-us-east-1-bc5664f58-gvhtb,istio-proxy,217,85
default,checkoutservice-us-east-1-bc5664f58-n7rg7,server,121,11
default,checkoutservice-us-east-1-bc5664f58-n7rg7,istio-proxy,225,85
default,checkoutservice-us-south-1-55f948db5d-2mxwv,server,117,13
default,checkoutservice-us-south-1-55f948db5d-2mxwv,istio-proxy,219,85
default,checkoutservice-us-south-1-55f948db5d-kl44k,server,119,11
default,checkoutservice-us-south-1-55f948db5d-kl44k,istio-proxy,219,83
default,checkoutservice-us-south-1-55f948db5d-vms2v,server,115,12
default,checkoutservice-us-south-1-55f948db5d-vms2v,istio-proxy,218,85
default,checkoutservice-us-west-1-cc775b989-cvf8g,server,250,16
default,checkoutservice-us-west-1-cc775b989-cvf8g,istio-proxy,605,94
default,checkoutservice-us-west-1-cc775b989-dr4fz,server,463,12
default,checkoutservice-us-west-1-cc775b989-dr4fz,istio-proxy,1094,87
default,checkoutservice-us-west-1-cc775b989-w4kdv,server,365,15
default,checkoutservice-us-west-1-cc775b989-w4kdv,istio-proxy,698,90
default,currencyservice-us-central-1-84888b8d6f-q2ptp,server,67,29
default,currencyservice-us-central-1-84888b8d6f-q2ptp,istio-proxy,59,84
default,currencyservice-us-central-1-84888b8d6f-w4bnn,server,70,30
default,currencyservice-us-central-1-84888b8d6f-w4bnn,istio-proxy,52,83
default,currencyservice-us-central-1-84888b8d6f-zz2q5,server,69,28
default,currencyservice-us-central-1-84888b8d6f-zz2q5,istio-proxy,55,86
default,currencyservice-us-east-1-6466c5d9c-bd8x4,server,89,28
default,currencyservice-us-east-1-6466c5d9c-bd8x4,istio-proxy,58,84
default,currencyservice-us-east-1-6466c5d9c-mb6qz,server,82,29
default,currencyservice-us-east-1-6466c5d9c-mb6qz,istio-proxy,57,84
default,currencyservice-us-east-1-6466c5d9c-pp2jq,server,68,29
default,currencyservice-us-east-1-6466c5d9c-pp2jq,istio-proxy,58,84
default,currencyservice-us-south-1-fb54b6db5-g4g4p,server,85,29
default,currencyservice-us-south-1-fb54b6db5-g4g4p,istio-proxy,55,85
default,currencyservice-us-south-1-fb54b6db5-l8k77,server,94,29
default,currencyservice-us-south-1-fb54b6db5-l8k77,istio-proxy,61,83
default,currencyservice-us-south-1-fb54b6db5-wql8n,server,76,29
default,currencyservice-us-south-1-fb54b6db5-wql8n,istio-proxy,56,86
default,currencyservice-us-west-1-f47dd6465-b4gpv,server,172,40
default,currencyservice-us-west-1-f47dd6465-b4gpv,istio-proxy,151,88
default,currencyservice-us-west-1-f47dd6465-fkdd4,server,136,40
default,currencyservice-us-west-1-f47dd6465-fkdd4,istio-proxy,149,83
default,currencyservice-us-west-1-f47dd6465-ntkj8,server,235,38
default,currencyservice-us-west-1-f47dd6465-ntkj8,istio-proxy,188,84
default,emailservice-us-central-1-6646c948dd-mh48x,server,46,41
default,emailservice-us-central-1-6646c948dd-mh48x,istio-proxy,38,86
default,emailservice-us-central-1-6646c948dd-qqzqk,server,42,41
default,emailservice-us-central-1-6646c948dd-qqzqk,istio-proxy,39,83
default,emailservice-us-central-1-6646c948dd-vcvnn,server,41,41
default,emailservice-us-central-1-6646c948dd-vcvnn,istio-proxy,39,84
default,emailservice-us-east-1-85b7b5c68d-2http,server,40,41
default,emailservice-us-east-1-85b7b5c68d-2http,istio-proxy,36,82
default,emailservice-us-east-1-85b7b5c68d-bdwln,server,42,41
default,emailservice-us-east-1-85b7b5c68d-bdwln,istio-proxy,39,85
default,emailservice-us-east-1-85b7b5c68d-ttmxz,server,41,41
default,emailservice-us-east-1-85b7b5c68d-ttmxz,istio-proxy,40,84
default,emailservice-us-south-1-6ddddd4b8-4c8xb,server,43,41
default,emailservice-us-south-1-6ddddd4b8-4c8xb,istio-proxy,41,84
default,emailservice-us-south-1-6ddddd4b8-llxck,server,42,41
default,emailservice-us-south-1-6ddddd4b8-llxck,istio-proxy,37,85
default,emailservice-us-south-1-6ddddd4b8-p6rgh,server,41,41
default,emailservice-us-south-1-6ddddd4b8-p6rgh,istio-proxy,39,84
default,emailservice-us-west-1-79cd6cc4b7-68qgz,server,133,41
default,emailservice-us-west-1-79cd6cc4b7-68qgz,istio-proxy,140,83
default,emailservice-us-west-1-79cd6cc4b7-chpvm,server,91,41
default,emailservice-us-west-1-79cd6cc4b7-chpvm,istio-proxy,99,83
default,emailservice-us-west-1-79cd6cc4b7-zlmph,server,108,41
default,emailservice-us-west-1-79cd6cc4b7-zlmph,istio-proxy,95,84
default,frontend-us-central-1-7f94dc784-fvptc,server,150,20
