Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-fd7bcfd79-2nvgm,server,8,161
default,adservice-us-central-1-fd7bcfd79-2nvgm,istio-proxy,3,83
default,adservice-us-central-1-fd7bcfd79-724l4,server,3,153
default,adservice-us-central-1-fd7bcfd79-724l4,istio-proxy,3,85
default,adservice-us-central-1-fd7bcfd79-hf4n7,server,3,155
default,adservice-us-central-1-fd7bcfd79-hf4n7,istio-proxy,3,82
default,adservice-us-east-1-5cd48f6c59-hr6hx,server,2,154
default,adservice-us-east-1-5cd48f6c59-hr6hx,istio-proxy,3,85
default,adservice-us-east-1-5cd48f6c59-t4c7n,server,7,157
default,adservice-us-east-1-5cd48f6c59-t4c7n,istio-proxy,3,83
default,adservice-us-east-1-5cd48f6c59-tkjnf,server,3,154
default,adservice-us-east-1-5cd48f6c59-tkjnf,istio-proxy,3,83
default,adservice-us-south-1-744685d679-kltzs,server,7,157
default,adservice-us-south-1-744685d679-kltzs,istio-proxy,3,82
default,adservice-us-south-1-744685d679-m942b,server,3,153
default,adservice-us-south-1-744685d679-m942b,istio-proxy,3,83
default,adservice-us-south-1-744685d679-nt8h7,server,2,152
default,adservice-us-south-1-744685d679-nt8h7,istio-proxy,3,83
default,adservice-us-west-1-67b7bb7577-m8784,server,3,152
default,adservice-us-west-1-67b7bb7577-m8784,istio-proxy,3,82
default,adservice-us-west-1-67b7bb7577-r4g8t,server,8,158
default,adservice-us-west-1-67b7bb7577-r4g8t,istio-proxy,3,82
default,adservice-us-west-1-67b7bb7577-xdzxn,server,5,156
default,adservice-us-west-1-67b7bb7577-xdzxn,istio-proxy,3,83
default,cartservice-us-central-1-7f78947fbd-7sz4q,server,176,72
default,cartservice-us-central-1-7f78947fbd-7sz4q,istio-proxy,118,84
default,cartservice-us-central-1-7f78947fbd-8tfdg,server,161,75
default,cartservice-us-central-1-7f78947fbd-8tfdg,istio-proxy,115,85
default,cartservice-us-central-1-7f78947fbd-v2h8b,server,171,76
default,cartservice-us-central-1-7f78947fbd-v2h8b,istio-proxy,123,84
default,cartservice-us-east-1-675f9559fb-h26bz,server,187,70
default,cartservice-us-east-1-675f9559fb-h26bz,istio-proxy,115,85
default,cartservice-us-east-1-675f9559fb-kd4mg,server,160,71
default,cartservice-us-east-1-675f9559fb-kd4mg,istio-proxy,113,84
default,cartservice-us-east-1-675f9559fb-qqpzw,server,166,72
default,cartservice-us-east-1-675f9559fb-qqpzw,istio-proxy,119,85
default,cartservice-us-south-1-7b568cb6d8-nr76m,server,170,74
default,cartservice-us-south-1-7b568cb6d8-nr76m,istio-proxy,117,85
default,cartservice-us-south-1-7b568cb6d8-nsfbz,server,162,74
default,cartservice-us-south-1-7b568cb6d8-nsfbz,istio-proxy,120,85
default,cartservice-us-south-1-7b568cb6d8-tbd89,server,174,67
default,cartservice-us-south-1-7b568cb6d8-tbd89,istio-proxy,121,84
default,cartservice-us-west-1-7599744cbd-5cmd4,server,550,168
default,cartservice-us-west-1-7599744cbd-5cmd4,istio-proxy,392,90
default,cartservice-us-west-1-7599744cbd-f4h5m,server,571,176
default,cartservice-us-west-1-7599744cbd-f4h5m,istio-proxy,450,90
default,cartservice-us-west-1-7599744cbd-q7fxp,server,553,187
default,cartservice-us-west-1-7599744cbd-q7fxp,istio-proxy,421,88
default,checkoutservice-us-central-1-7c4ff7bdc4-bvd22,server,117,11
default,checkoutservice-us-central-1-7c4ff7bdc4-bvd22,istio-proxy,220,84
default,checkoutservice-us-central-1-7c4ff7bdc4-dwb2z,server,120,12
default,checkoutservice-us-central-1-7c4ff7bdc4-dwb2z,istio-proxy,219,85
default,checkoutservice-us-central-1-7c4ff7bdc4-zpfxj,server,95,12
default,checkoutservice-us-central-1-7c4ff7bdc4-zpfxj,istio-proxy,214,84
default,checkoutservice-us-east-1-bc5664f58-7kdn5,server,122,12
default,checkoutservice-us-east-1-bc5664f58-7kdn5,istio-proxy,223,84
default,checkoutservice-us-east-1-bc5664f58-gvhtb,server,102,12
default,checkoutservice-us-east-1-bc5664f58-gvhtb,istio-proxy,200,85
default,checkoutservice-us-east-1-bc5664f58-n7rg7,server,117,11
default,checkoutservice-us-east-1-bc5664f58-n7rg7,istio-proxy,209,85
default,checkoutservice-us-south-1-55f948db5d-2mxwv,server,120,13
default,checkoutservice-us-south-1-55f948db5d-2mxwv,istio-proxy,226,85
default,checkoutservice-us-south-1-55f948db5d-kl44k,server,121,11
default,checkoutservice-us-south-1-55f948db5d-kl44k,istio-proxy,219,83
default,checkoutservice-us-south-1-55f948db5d-vms2v,server,109,12
default,checkoutservice-us-south-1-55f948db5d-vms2v,istio-proxy,197,85
default,checkoutservice-us-west-1-cc775b989-cvf8g,server,174,18
