counter,region,service,endpoint,rps
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,24
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,54
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,48
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,34
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,9
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,51
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,44
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,79
1,us-east-1,sslateingress,sslateingress@POST@/cart,69
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,31
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,85
1,us-east-1,frontend,frontend@POST@/cart,52
1,us-east-1,frontend,frontend@POST@/cart/empty,52
1,us-east-1,frontend,frontend@POST@/setCurrency,40
1,us-east-1,frontend,frontend@POST@/cart/checkout,67
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,61
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,16
1,us-central-1,sslateingress,sslateingress@POST@/cart,13
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,10
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,14
1,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,11
1,us-central-1,frontend,frontend@POST@/cart,23
1,us-central-1,frontend,frontend@POST@/cart/empty,17
1,us-central-1,frontend,frontend@POST@/setCurrency,12
1,us-central-1,frontend,frontend@POST@/cart/checkout,14
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,0
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,7
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,7
