Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76bffc8dc7-bcmks,server,4,154
default,adservice-us-central-1-76bffc8dc7-bcmks,istio-proxy,6,82
default,adservice-us-central-1-76bffc8dc7-htw6f,server,2,152
default,adservice-us-central-1-76bffc8dc7-htw6f,istio-proxy,4,83
default,adservice-us-central-1-76bffc8dc7-rtxvs,server,3,149
default,adservice-us-central-1-76bffc8dc7-rtxvs,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-j6rdb,server,4,151
default,adservice-us-east-1-6548494b97-j6rdb,istio-proxy,3,82
default,adservice-us-east-1-6548494b97-jc298,server,3,146
default,adservice-us-east-1-6548494b97-jc298,istio-proxy,6,83
default,adservice-us-east-1-6548494b97-svhrv,server,2,146
default,adservice-us-east-1-6548494b97-svhrv,istio-proxy,5,82
default,adservice-us-south-1-5db4c4d785-gx5ds,server,3,151
default,adservice-us-south-1-5db4c4d785-gx5ds,istio-proxy,6,82
default,adservice-us-south-1-5db4c4d785-kdbq2,server,3,153
default,adservice-us-south-1-5db4c4d785-kdbq2,istio-proxy,3,83
default,adservice-us-south-1-5db4c4d785-z57mq,server,2,149
default,adservice-us-south-1-5db4c4d785-z57mq,istio-proxy,3,86
default,adservice-us-west-1-7ccb56688b-kjdft,server,5,150
default,adservice-us-west-1-7ccb56688b-kjdft,istio-proxy,3,83
default,adservice-us-west-1-7ccb56688b-mkhs8,server,3,151
default,adservice-us-west-1-7ccb56688b-mkhs8,istio-proxy,5,84
default,adservice-us-west-1-7ccb56688b-n9rsd,server,2,153
default,adservice-us-west-1-7ccb56688b-n9rsd,istio-proxy,6,82
default,cartservice-us-central-1-75f694d5f9-hbcxs,server,314,72
default,cartservice-us-central-1-75f694d5f9-hbcxs,istio-proxy,229,85
default,cartservice-us-central-1-75f694d5f9-szbf5,server,316,70
default,cartservice-us-central-1-75f694d5f9-szbf5,istio-proxy,226,85
default,cartservice-us-central-1-75f694d5f9-vm4pn,server,325,68
default,cartservice-us-central-1-75f694d5f9-vm4pn,istio-proxy,230,85
default,cartservice-us-east-1-65fb97c4df-fdfng,server,304,67
default,cartservice-us-east-1-65fb97c4df-fdfng,istio-proxy,217,83
default,cartservice-us-east-1-65fb97c4df-jp7qg,server,309,75
default,cartservice-us-east-1-65fb97c4df-jp7qg,istio-proxy,218,84
default,cartservice-us-east-1-65fb97c4df-mqwm4,server,367,61
default,cartservice-us-east-1-65fb97c4df-mqwm4,istio-proxy,224,84
default,cartservice-us-south-1-6f4887758c-gzhgw,server,312,68
default,cartservice-us-south-1-6f4887758c-gzhgw,istio-proxy,222,86
default,cartservice-us-south-1-6f4887758c-np2ln,server,332,65
default,cartservice-us-south-1-6f4887758c-np2ln,istio-proxy,238,85
default,cartservice-us-south-1-6f4887758c-v6kzm,server,312,75
default,cartservice-us-south-1-6f4887758c-v6kzm,istio-proxy,216,85
default,cartservice-us-west-1-777696645-rkrsz,server,338,86
default,cartservice-us-west-1-777696645-rkrsz,istio-proxy,239,87
default,cartservice-us-west-1-777696645-ttdzm,server,327,71
default,cartservice-us-west-1-777696645-ttdzm,istio-proxy,245,85
default,cartservice-us-west-1-777696645-zjtv8,server,333,80
default,cartservice-us-west-1-777696645-zjtv8,istio-proxy,237,85
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,server,226,11
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,istio-proxy,407,85
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,server,228,11
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,istio-proxy,409,85
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,server,232,11
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,istio-proxy,443,88
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,server,219,11
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,istio-proxy,398,86
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,server,227,11
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,istio-proxy,414,85
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,server,220,11
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,istio-proxy,400,85
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,server,232,11
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,istio-proxy,425,84
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,server,231,12
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,istio-proxy,414,85
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,server,232,11
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,istio-proxy,424,87
default,checkoutservice-us-west-1-5d478776bf-5pckf,server,231,12
default,checkoutservice-us-west-1-5d478776bf-5pckf,istio-proxy,425,86
default,checkoutservice-us-west-1-5d478776bf-h667n,server,229,12
default,checkoutservice-us-west-1-5d478776bf-h667n,istio-proxy,433,84
default,checkoutservice-us-west-1-5d478776bf-k9ttt,server,239,12
default,checkoutservice-us-west-1-5d478776bf-k9ttt,istio-proxy,456,85
default,currencyservice-us-central-1-78797b4b8-dwn96,server,132,29
default,currencyservice-us-central-1-78797b4b8-dwn96,istio-proxy,106,83
default,currencyservice-us-central-1-78797b4b8-fhnz2,server,133,31
default,currencyservice-us-central-1-78797b4b8-fhnz2,istio-proxy,107,84
default,currencyservice-us-central-1-78797b4b8-kddds,server,133,31
default,currencyservice-us-central-1-78797b4b8-kddds,istio-proxy,111,86
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,server,149,30
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,istio-proxy,103,83
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,server,129,30
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,istio-proxy,104,85
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,server,158,30
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,istio-proxy,105,85
