Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76bffc8dc7-bcmks,server,7,159
default,adservice-us-central-1-76bffc8dc7-bcmks,istio-proxy,3,82
default,adservice-us-central-1-76bffc8dc7-htw6f,server,8,157
default,adservice-us-central-1-76bffc8dc7-htw6f,istio-proxy,5,83
default,adservice-us-central-1-76bffc8dc7-rtxvs,server,2,153
default,adservice-us-central-1-76bffc8dc7-rtxvs,istio-proxy,6,83
default,adservice-us-east-1-6548494b97-j6rdb,server,0,151
default,adservice-us-east-1-6548494b97-j6rdb,istio-proxy,6,82
default,adservice-us-east-1-6548494b97-jc298,server,3,150
default,adservice-us-east-1-6548494b97-jc298,istio-proxy,4,83
default,adservice-us-east-1-6548494b97-svhrv,server,3,151
default,adservice-us-east-1-6548494b97-svhrv,istio-proxy,4,82
default,adservice-us-south-1-5db4c4d785-gx5ds,server,3,151
default,adservice-us-south-1-5db4c4d785-gx5ds,istio-proxy,6,82
default,adservice-us-south-1-5db4c4d785-kdbq2,server,7,158
default,adservice-us-south-1-5db4c4d785-kdbq2,istio-proxy,6,83
default,adservice-us-south-1-5db4c4d785-z57mq,server,3,153
default,adservice-us-south-1-5db4c4d785-z57mq,istio-proxy,6,86
default,adservice-us-west-1-7ccb56688b-kjdft,server,5,159
default,adservice-us-west-1-7ccb56688b-kjdft,istio-proxy,6,83
default,adservice-us-west-1-7ccb56688b-mkhs8,server,3,151
default,adservice-us-west-1-7ccb56688b-mkhs8,istio-proxy,3,84
default,adservice-us-west-1-7ccb56688b-n9rsd,server,2,153
default,adservice-us-west-1-7ccb56688b-n9rsd,istio-proxy,4,82
default,cartservice-us-central-1-75f694d5f9-hbcxs,server,293,89
default,cartservice-us-central-1-75f694d5f9-hbcxs,istio-proxy,208,85
default,cartservice-us-central-1-75f694d5f9-szbf5,server,307,91
default,cartservice-us-central-1-75f694d5f9-szbf5,istio-proxy,228,85
default,cartservice-us-central-1-75f694d5f9-vm4pn,server,305,85
default,cartservice-us-central-1-75f694d5f9-vm4pn,istio-proxy,220,85
default,cartservice-us-east-1-65fb97c4df-fdfng,server,320,83
default,cartservice-us-east-1-65fb97c4df-fdfng,istio-proxy,227,83
default,cartservice-us-east-1-65fb97c4df-jp7qg,server,307,91
default,cartservice-us-east-1-65fb97c4df-jp7qg,istio-proxy,226,84
default,cartservice-us-east-1-65fb97c4df-mqwm4,server,304,93
default,cartservice-us-east-1-65fb97c4df-mqwm4,istio-proxy,215,84
default,cartservice-us-south-1-6f4887758c-gzhgw,server,282,93
default,cartservice-us-south-1-6f4887758c-gzhgw,istio-proxy,203,86
default,cartservice-us-south-1-6f4887758c-np2ln,server,321,86
default,cartservice-us-south-1-6f4887758c-np2ln,istio-proxy,208,85
default,cartservice-us-south-1-6f4887758c-v6kzm,server,298,88
default,cartservice-us-south-1-6f4887758c-v6kzm,istio-proxy,220,85
default,cartservice-us-west-1-777696645-rkrsz,server,338,86
default,cartservice-us-west-1-777696645-rkrsz,istio-proxy,211,87
default,cartservice-us-west-1-777696645-ttdzm,server,333,94
default,cartservice-us-west-1-777696645-ttdzm,istio-proxy,241,86
default,cartservice-us-west-1-777696645-zjtv8,server,325,97
default,cartservice-us-west-1-777696645-zjtv8,istio-proxy,226,85
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,server,215,12
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,istio-proxy,413,85
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,server,218,12
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,istio-proxy,367,86
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,server,212,12
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,istio-proxy,416,88
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,server,220,12
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,istio-proxy,406,86
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,server,225,11
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,istio-proxy,401,85
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,server,216,12
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,istio-proxy,391,85
