Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76bffc8dc7-bcmks,server,2,164
default,adservice-us-central-1-76bffc8dc7-bcmks,istio-proxy,3,82
default,adservice-us-central-1-76bffc8dc7-htw6f,server,0,157
default,adservice-us-central-1-76bffc8dc7-htw6f,istio-proxy,3,83
default,adservice-us-central-1-76bffc8dc7-rtxvs,server,7,158
default,adservice-us-central-1-76bffc8dc7-rtxvs,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-j6rdb,server,7,156
default,adservice-us-east-1-6548494b97-j6rdb,istio-proxy,3,82
default,adservice-us-east-1-6548494b97-jc298,server,11,155
default,adservice-us-east-1-6548494b97-jc298,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-svhrv,server,8,156
default,adservice-us-east-1-6548494b97-svhrv,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-gx5ds,server,6,156
default,adservice-us-south-1-5db4c4d785-gx5ds,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-kdbq2,server,7,158
default,adservice-us-south-1-5db4c4d785-kdbq2,istio-proxy,3,83
default,adservice-us-south-1-5db4c4d785-z57mq,server,8,158
default,adservice-us-south-1-5db4c4d785-z57mq,istio-proxy,3,86
default,adservice-us-west-1-7ccb56688b-kjdft,server,0,159
default,adservice-us-west-1-7ccb56688b-kjdft,istio-proxy,3,83
default,adservice-us-west-1-7ccb56688b-mkhs8,server,7,156
default,adservice-us-west-1-7ccb56688b-mkhs8,istio-proxy,3,84
default,adservice-us-west-1-7ccb56688b-n9rsd,server,5,163
default,adservice-us-west-1-7ccb56688b-n9rsd,istio-proxy,3,82
default,cartservice-us-central-1-75f694d5f9-hbcxs,server,163,96
default,cartservice-us-central-1-75f694d5f9-hbcxs,istio-proxy,67,85
default,cartservice-us-central-1-75f694d5f9-szbf5,server,84,98
default,cartservice-us-central-1-75f694d5f9-szbf5,istio-proxy,145,86
default,cartservice-us-central-1-75f694d5f9-vm4pn,server,131,97
default,cartservice-us-central-1-75f694d5f9-vm4pn,istio-proxy,151,85
default,cartservice-us-east-1-65fb97c4df-fdfng,server,258,96
default,cartservice-us-east-1-65fb97c4df-fdfng,istio-proxy,159,84
default,cartservice-us-east-1-65fb97c4df-jp7qg,server,179,100
default,cartservice-us-east-1-65fb97c4df-jp7qg,istio-proxy,168,85
default,cartservice-us-east-1-65fb97c4df-mqwm4,server,108,99
default,cartservice-us-east-1-65fb97c4df-mqwm4,istio-proxy,127,85
default,cartservice-us-south-1-6f4887758c-gzhgw,server,92,97
default,cartservice-us-south-1-6f4887758c-gzhgw,istio-proxy,203,86
default,cartservice-us-south-1-6f4887758c-np2ln,server,239,98
default,cartservice-us-south-1-6f4887758c-np2ln,istio-proxy,48,85
default,cartservice-us-south-1-6f4887758c-v6kzm,server,151,98
default,cartservice-us-south-1-6f4887758c-v6kzm,istio-proxy,138,85
default,cartservice-us-west-1-777696645-rkrsz,server,273,104
default,cartservice-us-west-1-777696645-rkrsz,istio-proxy,60,87
default,cartservice-us-west-1-777696645-ttdzm,server,238,104
default,cartservice-us-west-1-777696645-ttdzm,istio-proxy,150,86
default,cartservice-us-west-1-777696645-zjtv8,server,178,105
default,cartservice-us-west-1-777696645-zjtv8,istio-proxy,97,85
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,server,35,12
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,istio-proxy,122,85
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,server,128,11
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,istio-proxy,66,85
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,server,30,12
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,istio-proxy,300,87
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,server,106,11
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,istio-proxy,253,86
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,server,175,12
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,istio-proxy,270,85
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,server,83,12
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,istio-proxy,193,85
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,server,34,12
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,istio-proxy,291,84
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,server,150,12
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,istio-proxy,38,84
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,server,3,12
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,istio-proxy,51,89
default,checkoutservice-us-west-1-5d478776bf-5pckf,server,62,12
default,checkoutservice-us-west-1-5d478776bf-5pckf,istio-proxy,211,87
default,checkoutservice-us-west-1-5d478776bf-h667n,server,116,12
default,checkoutservice-us-west-1-5d478776bf-h667n,istio-proxy,237,84
default,checkoutservice-us-west-1-5d478776bf-k9ttt,server,117,12
default,checkoutservice-us-west-1-5d478776bf-k9ttt,istio-proxy,146,85
default,currencyservice-us-central-1-78797b4b8-dwn96,server,17,27
default,currencyservice-us-central-1-78797b4b8-dwn96,istio-proxy,45,83
default,currencyservice-us-central-1-78797b4b8-fhnz2,server,65,28
default,currencyservice-us-central-1-78797b4b8-fhnz2,istio-proxy,41,84
default,currencyservice-us-central-1-78797b4b8-kddds,server,19,28
default,currencyservice-us-central-1-78797b4b8-kddds,istio-proxy,46,86
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,server,66,31
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,istio-proxy,79,83
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,server,76,32
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,istio-proxy,52,85
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,server,79,32
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,istio-proxy,60,85
default,currencyservice-us-south-1-6f9788b68d-9qvjk,server,24,28
default,currencyservice-us-south-1-6f9788b68d-9qvjk,istio-proxy,53,84
default,currencyservice-us-south-1-6f9788b68d-ndbs7,server,26,29
default,currencyservice-us-south-1-6f9788b68d-ndbs7,istio-proxy,45,85
default,currencyservice-us-south-1-6f9788b68d-ns9qf,server,71,29
default,currencyservice-us-south-1-6f9788b68d-ns9qf,istio-proxy,12,85
default,currencyservice-us-west-1-b87ccddbb-7qzhj,server,92,29
default,currencyservice-us-west-1-b87ccddbb-7qzhj,istio-proxy,81,84
default,currencyservice-us-west-1-b87ccddbb-jn9lg,server,80,31
default,currencyservice-us-west-1-b87ccddbb-jn9lg,istio-proxy,26,87
default,currencyservice-us-west-1-b87ccddbb-kvjjm,server,64,28
default,currencyservice-us-west-1-b87ccddbb-kvjjm,istio-proxy,77,85
default,emailservice-us-central-1-8c64575c6-86xcj,server,12,41
default,emailservice-us-central-1-8c64575c6-86xcj,istio-proxy,17,85
default,emailservice-us-central-1-8c64575c6-nq7w2,server,54,41
default,emailservice-us-central-1-8c64575c6-nq7w2,istio-proxy,33,85
default,emailservice-us-central-1-8c64575c6-rxzgn,server,9,41
default,emailservice-us-central-1-8c64575c6-rxzgn,istio-proxy,30,84
default,emailservice-us-east-1-568f79d8cd-4ctct,server,57,41
default,emailservice-us-east-1-568f79d8cd-4ctct,istio-proxy,35,84
default,emailservice-us-east-1-568f79d8cd-8k59g,server,58,41
