Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76bffc8dc7-bcmks,server,2,140
default,adservice-us-central-1-76bffc8dc7-bcmks,istio-proxy,4,82
default,adservice-us-central-1-76bffc8dc7-htw6f,server,3,143
default,adservice-us-central-1-76bffc8dc7-htw6f,istio-proxy,3,83
default,adservice-us-central-1-76bffc8dc7-rtxvs,server,2,144
default,adservice-us-central-1-76bffc8dc7-rtxvs,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-j6rdb,server,3,142
default,adservice-us-east-1-6548494b97-j6rdb,istio-proxy,3,82
default,adservice-us-east-1-6548494b97-jc298,server,2,136
default,adservice-us-east-1-6548494b97-jc298,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-svhrv,server,2,137
default,adservice-us-east-1-6548494b97-svhrv,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-gx5ds,server,2,137
default,adservice-us-south-1-5db4c4d785-gx5ds,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-kdbq2,server,2,139
default,adservice-us-south-1-5db4c4d785-kdbq2,istio-proxy,3,83
default,adservice-us-south-1-5db4c4d785-z57mq,server,3,144
default,adservice-us-south-1-5db4c4d785-z57mq,istio-proxy,3,86
default,adservice-us-west-1-7ccb56688b-kjdft,server,0,140
default,adservice-us-west-1-7ccb56688b-kjdft,istio-proxy,3,83
default,adservice-us-west-1-7ccb56688b-mkhs8,server,3,137
default,adservice-us-west-1-7ccb56688b-mkhs8,istio-proxy,4,84
default,adservice-us-west-1-7ccb56688b-n9rsd,server,2,144
default,adservice-us-west-1-7ccb56688b-n9rsd,istio-proxy,3,82
default,cartservice-us-central-1-75f694d5f9-hbcxs,server,186,39
default,cartservice-us-central-1-75f694d5f9-hbcxs,istio-proxy,32,85
default,cartservice-us-central-1-75f694d5f9-szbf5,server,95,36
default,cartservice-us-central-1-75f694d5f9-szbf5,istio-proxy,3,84
default,cartservice-us-central-1-75f694d5f9-vm4pn,server,68,36
default,cartservice-us-central-1-75f694d5f9-vm4pn,istio-proxy,3,83
default,cartservice-us-east-1-65fb97c4df-fdfng,server,1,26
default,cartservice-us-east-1-65fb97c4df-fdfng,istio-proxy,32,83
default,cartservice-us-east-1-65fb97c4df-jp7qg,server,83,36
default,cartservice-us-east-1-65fb97c4df-jp7qg,istio-proxy,18,84
default,cartservice-us-east-1-65fb97c4df-mqwm4,server,232,41
default,cartservice-us-east-1-65fb97c4df-mqwm4,istio-proxy,3,82
default,cartservice-us-south-1-6f4887758c-gzhgw,server,19,33
default,cartservice-us-south-1-6f4887758c-gzhgw,istio-proxy,35,85
default,cartservice-us-south-1-6f4887758c-np2ln,server,0,26
default,cartservice-us-south-1-6f4887758c-np2ln,istio-proxy,22,84
default,cartservice-us-south-1-6f4887758c-v6kzm,server,259,44
default,cartservice-us-south-1-6f4887758c-v6kzm,istio-proxy,57,84
default,cartservice-us-west-1-777696645-rkrsz,server,303,54
default,cartservice-us-west-1-777696645-rkrsz,istio-proxy,54,87
default,cartservice-us-west-1-777696645-ttdzm,server,1,26
