Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76bffc8dc7-bcmks,server,2,145
default,adservice-us-central-1-76bffc8dc7-bcmks,istio-proxy,3,82
default,adservice-us-central-1-76bffc8dc7-htw6f,server,3,143
default,adservice-us-central-1-76bffc8dc7-htw6f,istio-proxy,4,83
default,adservice-us-central-1-76bffc8dc7-rtxvs,server,3,149
default,adservice-us-central-1-76bffc8dc7-rtxvs,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-j6rdb,server,0,142
default,adservice-us-east-1-6548494b97-j6rdb,istio-proxy,3,82
default,adservice-us-east-1-6548494b97-jc298,server,3,141
default,adservice-us-east-1-6548494b97-jc298,istio-proxy,3,83
default,adservice-us-east-1-6548494b97-svhrv,server,3,142
default,adservice-us-east-1-6548494b97-svhrv,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-gx5ds,server,3,142
default,adservice-us-south-1-5db4c4d785-gx5ds,istio-proxy,3,82
default,adservice-us-south-1-5db4c4d785-kdbq2,server,3,148
default,adservice-us-south-1-5db4c4d785-kdbq2,istio-proxy,3,83
default,adservice-us-south-1-5db4c4d785-z57mq,server,3,144
default,adservice-us-south-1-5db4c4d785-z57mq,istio-proxy,3,86
default,adservice-us-west-1-7ccb56688b-kjdft,server,5,150
default,adservice-us-west-1-7ccb56688b-kjdft,istio-proxy,3,83
default,adservice-us-west-1-7ccb56688b-mkhs8,server,3,141
default,adservice-us-west-1-7ccb56688b-mkhs8,istio-proxy,3,84
default,adservice-us-west-1-7ccb56688b-n9rsd,server,2,149
default,adservice-us-west-1-7ccb56688b-n9rsd,istio-proxy,3,82
default,cartservice-us-central-1-75f694d5f9-hbcxs,server,402,59
default,cartservice-us-central-1-75f694d5f9-hbcxs,istio-proxy,221,85
default,cartservice-us-central-1-75f694d5f9-szbf5,server,451,58
default,cartservice-us-central-1-75f694d5f9-szbf5,istio-proxy,168,85
default,cartservice-us-central-1-75f694d5f9-vm4pn,server,500,57
default,cartservice-us-central-1-75f694d5f9-vm4pn,istio-proxy,164,85
default,cartservice-us-east-1-65fb97c4df-fdfng,server,433,53
default,cartservice-us-east-1-65fb97c4df-fdfng,istio-proxy,230,83
default,cartservice-us-east-1-65fb97c4df-jp7qg,server,449,57
default,cartservice-us-east-1-65fb97c4df-jp7qg,istio-proxy,220,84
default,cartservice-us-east-1-65fb97c4df-mqwm4,server,367,61
default,cartservice-us-east-1-65fb97c4df-mqwm4,istio-proxy,170,84
default,cartservice-us-south-1-6f4887758c-gzhgw,server,493,57
default,cartservice-us-south-1-6f4887758c-gzhgw,istio-proxy,234,86
default,cartservice-us-south-1-6f4887758c-np2ln,server,407,51
default,cartservice-us-south-1-6f4887758c-np2ln,istio-proxy,234,85
default,cartservice-us-south-1-6f4887758c-v6kzm,server,332,62
default,cartservice-us-south-1-6f4887758c-v6kzm,istio-proxy,220,84
default,cartservice-us-west-1-777696645-rkrsz,server,303,54
default,cartservice-us-west-1-777696645-rkrsz,istio-proxy,277,87
default,cartservice-us-west-1-777696645-ttdzm,server,497,59
default,cartservice-us-west-1-777696645-ttdzm,istio-proxy,234,84
default,cartservice-us-west-1-777696645-zjtv8,server,474,57
default,cartservice-us-west-1-777696645-zjtv8,istio-proxy,261,85
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,server,191,11
default,checkoutservice-us-central-1-6f795bc7f9-g7r5h,istio-proxy,95,85
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,server,225,11
default,checkoutservice-us-central-1-6f795bc7f9-x4v9w,istio-proxy,405,85
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,server,155,11
default,checkoutservice-us-central-1-6f795bc7f9-zt5br,istio-proxy,443,88
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,server,222,12
default,checkoutservice-us-east-1-5fd549d7d5-2z6wl,istio-proxy,415,86
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,server,227,11
default,checkoutservice-us-east-1-5fd549d7d5-4n7r5,istio-proxy,424,85
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,server,150,11
default,checkoutservice-us-east-1-5fd549d7d5-l44c9,istio-proxy,292,85
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,server,217,11
default,checkoutservice-us-south-1-6d9df4b6b7-8gvmr,istio-proxy,429,84
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,server,225,11
default,checkoutservice-us-south-1-6d9df4b6b7-8qwsv,istio-proxy,344,85
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,server,101,11
default,checkoutservice-us-south-1-6d9df4b6b7-pnpv7,istio-proxy,309,87
default,checkoutservice-us-west-1-5d478776bf-5pckf,server,294,11
default,checkoutservice-us-west-1-5d478776bf-5pckf,istio-proxy,514,86
default,checkoutservice-us-west-1-5d478776bf-h667n,server,194,12
default,checkoutservice-us-west-1-5d478776bf-h667n,istio-proxy,454,83
default,checkoutservice-us-west-1-5d478776bf-k9ttt,server,238,11
default,checkoutservice-us-west-1-5d478776bf-k9ttt,istio-proxy,461,85
default,currencyservice-us-central-1-78797b4b8-dwn96,server,189,25
default,currencyservice-us-central-1-78797b4b8-dwn96,istio-proxy,81,83
default,currencyservice-us-central-1-78797b4b8-fhnz2,server,198,27
default,currencyservice-us-central-1-78797b4b8-fhnz2,istio-proxy,90,84
default,currencyservice-us-central-1-78797b4b8-kddds,server,191,28
default,currencyservice-us-central-1-78797b4b8-kddds,istio-proxy,104,86
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,server,136,25
default,currencyservice-us-east-1-6bc4cc46b6-2m86w,istio-proxy,61,83
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,server,191,27
default,currencyservice-us-east-1-6bc4cc46b6-gjnbc,istio-proxy,84,85
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,server,102,23
default,currencyservice-us-east-1-6bc4cc46b6-rtgpt,istio-proxy,105,85
default,currencyservice-us-south-1-6f9788b68d-9qvjk,server,157,26
default,currencyservice-us-south-1-6f9788b68d-9qvjk,istio-proxy,105,84
default,currencyservice-us-south-1-6f9788b68d-ndbs7,server,186,27
default,currencyservice-us-south-1-6f9788b68d-ndbs7,istio-proxy,104,85
default,currencyservice-us-south-1-6f9788b68d-ns9qf,server,186,28
default,currencyservice-us-south-1-6f9788b68d-ns9qf,istio-proxy,105,85
default,currencyservice-us-west-1-b87ccddbb-7qzhj,server,180,30
default,currencyservice-us-west-1-b87ccddbb-7qzhj,istio-proxy,80,84
default,currencyservice-us-west-1-b87ccddbb-jn9lg,server,93,25
default,currencyservice-us-west-1-b87ccddbb-jn9lg,istio-proxy,135,87
default,currencyservice-us-west-1-b87ccddbb-kvjjm,server,254,27
default,currencyservice-us-west-1-b87ccddbb-kvjjm,istio-proxy,147,85
default,emailservice-us-central-1-8c64575c6-86xcj,server,43,41
default,emailservice-us-central-1-8c64575c6-86xcj,istio-proxy,77,85
default,emailservice-us-central-1-8c64575c6-nq7w2,server,63,41
default,emailservice-us-central-1-8c64575c6-nq7w2,istio-proxy,34,85
default,emailservice-us-central-1-8c64575c6-rxzgn,server,68,41
default,emailservice-us-central-1-8c64575c6-rxzgn,istio-proxy,57,84
default,emailservice-us-east-1-568f79d8cd-4ctct,server,78,41
default,emailservice-us-east-1-568f79d8cd-4ctct,istio-proxy,71,83
default,emailservice-us-east-1-568f79d8cd-8k59g,server,81,41
default,emailservice-us-east-1-568f79d8cd-8k59g,istio-proxy,35,84
default,emailservice-us-east-1-568f79d8cd-t6m5v,server,69,41
default,emailservice-us-east-1-568f79d8cd-t6m5v,istio-proxy,69,86
default,emailservice-us-south-1-6bf7489fbb-79hcq,server,80,41
default,emailservice-us-south-1-6bf7489fbb-79hcq,istio-proxy,60,84
default,emailservice-us-south-1-6bf7489fbb-7xggr,server,21,41
default,emailservice-us-south-1-6bf7489fbb-7xggr,istio-proxy,52,86
default,emailservice-us-south-1-6bf7489fbb-9tx58,server,53,41
default,emailservice-us-south-1-6bf7489fbb-9tx58,istio-proxy,63,84
default,emailservice-us-west-1-7b85657978-7c8s6,server,93,41
default,emailservice-us-west-1-7b85657978-7c8s6,istio-proxy,72,84
default,emailservice-us-west-1-7b85657978-ktz25,server,95,41
default,emailservice-us-west-1-7b85657978-ktz25,istio-proxy,106,83
default,emailservice-us-west-1-7b85657978-tcfb4,server,94,41
default,emailservice-us-west-1-7b85657978-tcfb4,istio-proxy,76,84
default,frontend-us-central-1-56b69d75cf-69wtr,server,202,17
default,frontend-us-central-1-56b69d75cf-69wtr,istio-proxy,513,85
default,frontend-us-central-1-56b69d75cf-m2lxf,server,293,17
default,frontend-us-central-1-56b69d75cf-m2lxf,istio-proxy,489,87
default,frontend-us-central-1-56b69d75cf-qnx5c,server,293,16
default,frontend-us-central-1-56b69d75cf-qnx5c,istio-proxy,487,86
default,frontend-us-east-1-6c897d9f-46zgm,server,217,17
default,frontend-us-east-1-6c897d9f-46zgm,istio-proxy,487,87
default,frontend-us-east-1-6c897d9f-cgdr6,server,293,17
default,frontend-us-east-1-6c897d9f-cgdr6,istio-proxy,501,87
default,frontend-us-east-1-6c897d9f-j9j4p,server,297,17
default,frontend-us-east-1-6c897d9f-j9j4p,istio-proxy,252,87
default,frontend-us-south-1-846fc5447b-7g57p,server,230,18
default,frontend-us-south-1-846fc5447b-7g57p,istio-proxy,142,86
default,frontend-us-south-1-846fc5447b-fcvzg,server,304,17
default,frontend-us-south-1-846fc5447b-fcvzg,istio-proxy,503,86
default,frontend-us-south-1-846fc5447b-rcpgt,server,297,17
default,frontend-us-south-1-846fc5447b-rcpgt,istio-proxy,200,86
default,frontend-us-west-1-7c96bbdbf6-66l98,server,300,20
default,frontend-us-west-1-7c96bbdbf6-66l98,istio-proxy,468,92
default,frontend-us-west-1-7c96bbdbf6-xcfmf,server,380,19
default,frontend-us-west-1-7c96bbdbf6-xcfmf,istio-proxy,614,91
default,frontend-us-west-1-7c96bbdbf6-zckmz,server,334,19
default,frontend-us-west-1-7c96bbdbf6-zckmz,istio-proxy,515,93
default,paymentservice-us-central-1-798cf44657-f5952,server,84,20
default,paymentservice-us-central-1-798cf44657-f5952,istio-proxy,76,85
default,paymentservice-us-central-1-798cf44657-kccq4,server,125,23
default,paymentservice-us-central-1-798cf44657-kccq4,istio-proxy,74,84
default,paymentservice-us-central-1-798cf44657-mqhzk,server,120,22
default,paymentservice-us-central-1-798cf44657-mqhzk,istio-proxy,59,83
default,paymentservice-us-east-1-5f49cfc84d-9zbv6,server,87,18
default,paymentservice-us-east-1-5f49cfc84d-9zbv6,istio-proxy,74,84
