Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6598666f5d-mmsn8,server,2,147
default,adservice-us-central-1-6598666f5d-mmsn8,istio-proxy,3,82
default,adservice-us-central-1-6598666f5d-wtffn,server,3,146
default,adservice-us-central-1-6598666f5d-wtffn,istio-proxy,3,83
default,adservice-us-central-1-6598666f5d-z944j,server,2,147
default,adservice-us-central-1-6598666f5d-z944j,istio-proxy,3,86
default,adservice-us-east-1-599b5646d4-5czmh,server,2,142
default,adservice-us-east-1-599b5646d4-5czmh,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-7w6rn,server,3,147
default,adservice-us-east-1-599b5646d4-7w6rn,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-w78n8,server,2,149
default,adservice-us-east-1-599b5646d4-w78n8,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-lnz5t,server,2,146
default,adservice-us-south-1-75767595d6-lnz5t,istio-proxy,3,84
default,adservice-us-south-1-75767595d6-nlfgv,server,2,148
default,adservice-us-south-1-75767595d6-nlfgv,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-t7cgf,server,2,149
default,adservice-us-south-1-75767595d6-t7cgf,istio-proxy,3,85
default,adservice-us-west-1-787577b84-2p8jt,server,4,148
default,adservice-us-west-1-787577b84-2p8jt,istio-proxy,4,84
default,adservice-us-west-1-787577b84-6qnwf,server,3,147
default,adservice-us-west-1-787577b84-6qnwf,istio-proxy,4,81
default,adservice-us-west-1-787577b84-vxwnz,server,3,148
default,adservice-us-west-1-787577b84-vxwnz,istio-proxy,4,86
default,cartservice-us-central-1-865bc49b58-cgvz8,server,185,58
default,cartservice-us-central-1-865bc49b58-cgvz8,istio-proxy,118,83
default,cartservice-us-central-1-865bc49b58-khlpr,server,240,53
default,cartservice-us-central-1-865bc49b58-khlpr,istio-proxy,114,84
default,cartservice-us-central-1-865bc49b58-qpc87,server,180,62
default,cartservice-us-central-1-865bc49b58-qpc87,istio-proxy,121,86
default,cartservice-us-east-1-7b8f857dc4-hk2zq,server,173,60
default,cartservice-us-east-1-7b8f857dc4-hk2zq,istio-proxy,116,83
default,cartservice-us-east-1-7b8f857dc4-thhsk,server,174,62
default,cartservice-us-east-1-7b8f857dc4-thhsk,istio-proxy,116,83
default,cartservice-us-east-1-7b8f857dc4-vwl59,server,191,57
