Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6598666f5d-mmsn8,server,3,142
default,adservice-us-central-1-6598666f5d-mmsn8,istio-proxy,3,82
default,adservice-us-central-1-6598666f5d-wtffn,server,2,141
default,adservice-us-central-1-6598666f5d-wtffn,istio-proxy,3,83
default,adservice-us-central-1-6598666f5d-z944j,server,2,143
default,adservice-us-central-1-6598666f5d-z944j,istio-proxy,3,86
default,adservice-us-east-1-599b5646d4-5czmh,server,2,142
default,adservice-us-east-1-599b5646d4-5czmh,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-7w6rn,server,2,143
default,adservice-us-east-1-599b5646d4-7w6rn,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-w78n8,server,2,144
default,adservice-us-east-1-599b5646d4-w78n8,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-lnz5t,server,2,142
default,adservice-us-south-1-75767595d6-lnz5t,istio-proxy,3,84
default,adservice-us-south-1-75767595d6-nlfgv,server,2,144
default,adservice-us-south-1-75767595d6-nlfgv,istio-proxy,4,83
default,adservice-us-south-1-75767595d6-t7cgf,server,3,144
default,adservice-us-south-1-75767595d6-t7cgf,istio-proxy,3,85
default,adservice-us-west-1-787577b84-2p8jt,server,3,143
default,adservice-us-west-1-787577b84-2p8jt,istio-proxy,4,84
default,adservice-us-west-1-787577b84-6qnwf,server,3,142
default,adservice-us-west-1-787577b84-6qnwf,istio-proxy,4,81
default,adservice-us-west-1-787577b84-vxwnz,server,3,144
default,adservice-us-west-1-787577b84-vxwnz,istio-proxy,4,86
default,cartservice-us-central-1-865bc49b58-cgvz8,server,170,49
default,cartservice-us-central-1-865bc49b58-cgvz8,istio-proxy,118,83
default,cartservice-us-central-1-865bc49b58-khlpr,server,240,53
default,cartservice-us-central-1-865bc49b58-khlpr,istio-proxy,114,84
default,cartservice-us-central-1-865bc49b58-qpc87,server,171,51
default,cartservice-us-central-1-865bc49b58-qpc87,istio-proxy,121,86
default,cartservice-us-east-1-7b8f857dc4-hk2zq,server,170,52
default,cartservice-us-east-1-7b8f857dc4-hk2zq,istio-proxy,116,83
default,cartservice-us-east-1-7b8f857dc4-thhsk,server,191,44
default,cartservice-us-east-1-7b8f857dc4-thhsk,istio-proxy,121,83
