Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6598666f5d-mmsn8,server,7,156
default,adservice-us-central-1-6598666f5d-mmsn8,istio-proxy,3,82
default,adservice-us-central-1-6598666f5d-wtffn,server,6,155
default,adservice-us-central-1-6598666f5d-wtffn,istio-proxy,3,83
default,adservice-us-central-1-6598666f5d-z944j,server,5,157
default,adservice-us-central-1-6598666f5d-z944j,istio-proxy,3,86
default,adservice-us-east-1-599b5646d4-5czmh,server,7,157
default,adservice-us-east-1-599b5646d4-5czmh,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-7w6rn,server,6,157
default,adservice-us-east-1-599b5646d4-7w6rn,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-w78n8,server,6,158
default,adservice-us-east-1-599b5646d4-w78n8,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-lnz5t,server,8,156
default,adservice-us-south-1-75767595d6-lnz5t,istio-proxy,3,84
default,adservice-us-south-1-75767595d6-nlfgv,server,3,153
default,adservice-us-south-1-75767595d6-nlfgv,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-t7cgf,server,7,158
default,adservice-us-south-1-75767595d6-t7cgf,istio-proxy,3,85
default,adservice-us-west-1-787577b84-2p8jt,server,7,158
default,adservice-us-west-1-787577b84-2p8jt,istio-proxy,4,84
default,adservice-us-west-1-787577b84-6qnwf,server,12,157
default,adservice-us-west-1-787577b84-6qnwf,istio-proxy,4,81
default,adservice-us-west-1-787577b84-vxwnz,server,10,158
default,adservice-us-west-1-787577b84-vxwnz,istio-proxy,4,86
default,cartservice-us-central-1-865bc49b58-cgvz8,server,164,75
default,cartservice-us-central-1-865bc49b58-cgvz8,istio-proxy,84,83
default,cartservice-us-central-1-865bc49b58-khlpr,server,157,74
default,cartservice-us-central-1-865bc49b58-khlpr,istio-proxy,47,84
default,cartservice-us-central-1-865bc49b58-qpc87,server,85,74
default,cartservice-us-central-1-865bc49b58-qpc87,istio-proxy,119,87
default,cartservice-us-east-1-7b8f857dc4-hk2zq,server,117,74
default,cartservice-us-east-1-7b8f857dc4-hk2zq,istio-proxy,42,83
default,cartservice-us-east-1-7b8f857dc4-thhsk,server,100,74
default,cartservice-us-east-1-7b8f857dc4-thhsk,istio-proxy,113,83
default,cartservice-us-east-1-7b8f857dc4-vwl59,server,135,73
default,cartservice-us-east-1-7b8f857dc4-vwl59,istio-proxy,72,85
default,cartservice-us-south-1-db9bb4dcd-4j7k5,server,159,75
default,cartservice-us-south-1-db9bb4dcd-4j7k5,istio-proxy,121,84
default,cartservice-us-south-1-db9bb4dcd-gcwc4,server,57,74
default,cartservice-us-south-1-db9bb4dcd-gcwc4,istio-proxy,63,84
default,cartservice-us-south-1-db9bb4dcd-p4f28,server,163,73
default,cartservice-us-south-1-db9bb4dcd-p4f28,istio-proxy,35,84
default,cartservice-us-west-1-5768f64cbb-65ths,server,342,223
default,cartservice-us-west-1-5768f64cbb-65ths,istio-proxy,345,94
default,cartservice-us-west-1-5768f64cbb-cmk59,server,384,220
default,cartservice-us-west-1-5768f64cbb-cmk59,istio-proxy,489,95
default,cartservice-us-west-1-5768f64cbb-gnlzt,server,285,219
default,cartservice-us-west-1-5768f64cbb-gnlzt,istio-proxy,468,93
default,checkoutservice-us-central-1-5574bfc6c9-f8n9q,server,102,11
default,checkoutservice-us-central-1-5574bfc6c9-f8n9q,istio-proxy,74,85
default,checkoutservice-us-central-1-5574bfc6c9-gw9ht,server,69,12
default,checkoutservice-us-central-1-5574bfc6c9-gw9ht,istio-proxy,129,83
default,checkoutservice-us-central-1-5574bfc6c9-kdm7x,server,89,11
default,checkoutservice-us-central-1-5574bfc6c9-kdm7x,istio-proxy,220,84
default,checkoutservice-us-east-1-679bf5fb6d-5dn27,server,80,11
default,checkoutservice-us-east-1-679bf5fb6d-5dn27,istio-proxy,190,85
default,checkoutservice-us-east-1-679bf5fb6d-cjwxb,server,122,11
default,checkoutservice-us-east-1-679bf5fb6d-cjwxb,istio-proxy,217,85
default,checkoutservice-us-east-1-679bf5fb6d-fzjn9,server,58,11
default,checkoutservice-us-east-1-679bf5fb6d-fzjn9,istio-proxy,180,84
default,checkoutservice-us-south-1-7c5f48d8-26cjl,server,67,11
default,checkoutservice-us-south-1-7c5f48d8-26cjl,istio-proxy,85,86
default,checkoutservice-us-south-1-7c5f48d8-lwlvf,server,53,12
default,checkoutservice-us-south-1-7c5f48d8-lwlvf,istio-proxy,225,86
default,checkoutservice-us-south-1-7c5f48d8-xbvjx,server,111,11
default,checkoutservice-us-south-1-7c5f48d8-xbvjx,istio-proxy,134,86
default,checkoutservice-us-west-1-b6bdf4b56-2pp9m,server,242,12
default,checkoutservice-us-west-1-b6bdf4b56-2pp9m,istio-proxy,420,90
default,checkoutservice-us-west-1-b6bdf4b56-6c4pt,server,386,12
default,checkoutservice-us-west-1-b6bdf4b56-6c4pt,istio-proxy,884,91
default,checkoutservice-us-west-1-b6bdf4b56-7qvdj,server,368,12
default,checkoutservice-us-west-1-b6bdf4b56-7qvdj,istio-proxy,1051,90
default,currencyservice-us-central-1-7f4b9f4b64-2plk2,server,38,31
default,currencyservice-us-central-1-7f4b9f4b64-2plk2,istio-proxy,33,84
default,currencyservice-us-central-1-7f4b9f4b64-4k49w,server,68,31
default,currencyservice-us-central-1-7f4b9f4b64-4k49w,istio-proxy,42,83
default,currencyservice-us-central-1-7f4b9f4b64-946hj,server,51,31
default,currencyservice-us-central-1-7f4b9f4b64-946hj,istio-proxy,57,83
default,currencyservice-us-east-1-7956c8b6c5-2ptv9,server,35,30
default,currencyservice-us-east-1-7956c8b6c5-2ptv9,istio-proxy,58,83
default,currencyservice-us-east-1-7956c8b6c5-pgvgj,server,38,32
default,currencyservice-us-east-1-7956c8b6c5-pgvgj,istio-proxy,21,84
default,currencyservice-us-east-1-7956c8b6c5-q5x7k,server,31,32
default,currencyservice-us-east-1-7956c8b6c5-q5x7k,istio-proxy,25,85
default,currencyservice-us-south-1-59b4b4fc99-2q72d,server,31,32
default,currencyservice-us-south-1-59b4b4fc99-2q72d,istio-proxy,54,87
default,currencyservice-us-south-1-59b4b4fc99-gqsrz,server,62,30
default,currencyservice-us-south-1-59b4b4fc99-gqsrz,istio-proxy,22,86
default,currencyservice-us-south-1-59b4b4fc99-n77rf,server,52,31
default,currencyservice-us-south-1-59b4b4fc99-n77rf,istio-proxy,48,85
default,currencyservice-us-west-1-96cd449bc-jtt8j,server,53,42
default,currencyservice-us-west-1-96cd449bc-jtt8j,istio-proxy,178,86
default,currencyservice-us-west-1-96cd449bc-l28rk,server,235,40
default,currencyservice-us-west-1-96cd449bc-l28rk,istio-proxy,111,85
default,currencyservice-us-west-1-96cd449bc-t8xqc,server,85,41
default,currencyservice-us-west-1-96cd449bc-t8xqc,istio-proxy,177,86
default,emailservice-us-central-1-d77778c65-6629t,server,14,41
default,emailservice-us-central-1-d77778c65-6629t,istio-proxy,29,84
default,emailservice-us-central-1-d77778c65-b7wp5,server,28,41
default,emailservice-us-central-1-d77778c65-b7wp5,istio-proxy,36,85
default,emailservice-us-central-1-d77778c65-f4d4l,server,13,41
default,emailservice-us-central-1-d77778c65-f4d4l,istio-proxy,10,83
default,emailservice-us-east-1-6b88b4859d-4fslr,server,21,41
default,emailservice-us-east-1-6b88b4859d-4fslr,istio-proxy,37,84
default,emailservice-us-east-1-6b88b4859d-622t2,server,25,41
default,emailservice-us-east-1-6b88b4859d-622t2,istio-proxy,38,84
default,emailservice-us-east-1-6b88b4859d-fjfzl,server,6,41
