Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6598666f5d-mmsn8,server,2,137
default,adservice-us-central-1-6598666f5d-mmsn8,istio-proxy,3,82
default,adservice-us-central-1-6598666f5d-wtffn,server,3,136
default,adservice-us-central-1-6598666f5d-wtffn,istio-proxy,3,83
default,adservice-us-central-1-6598666f5d-z944j,server,2,138
default,adservice-us-central-1-6598666f5d-z944j,istio-proxy,3,86
default,adservice-us-east-1-599b5646d4-5czmh,server,2,133
default,adservice-us-east-1-599b5646d4-5czmh,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-7w6rn,server,2,138
default,adservice-us-east-1-599b5646d4-7w6rn,istio-proxy,3,81
default,adservice-us-east-1-599b5646d4-w78n8,server,4,139
default,adservice-us-east-1-599b5646d4-w78n8,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-lnz5t,server,3,137
default,adservice-us-south-1-75767595d6-lnz5t,istio-proxy,3,84
default,adservice-us-south-1-75767595d6-nlfgv,server,2,134
default,adservice-us-south-1-75767595d6-nlfgv,istio-proxy,3,83
default,adservice-us-south-1-75767595d6-t7cgf,server,2,139
default,adservice-us-south-1-75767595d6-t7cgf,istio-proxy,3,85
default,adservice-us-west-1-787577b84-2p8jt,server,2,139
default,adservice-us-west-1-787577b84-2p8jt,istio-proxy,7,84
default,adservice-us-west-1-787577b84-6qnwf,server,2,138
default,adservice-us-west-1-787577b84-6qnwf,istio-proxy,3,81
default,adservice-us-west-1-787577b84-vxwnz,server,2,139
default,adservice-us-west-1-787577b84-vxwnz,istio-proxy,3,86
default,cartservice-us-central-1-865bc49b58-cgvz8,server,336,44
default,cartservice-us-central-1-865bc49b58-cgvz8,istio-proxy,74,83
default,cartservice-us-central-1-865bc49b58-khlpr,server,211,39
default,cartservice-us-central-1-865bc49b58-khlpr,istio-proxy,68,84
default,cartservice-us-central-1-865bc49b58-qpc87,server,330,44
default,cartservice-us-central-1-865bc49b58-qpc87,istio-proxy,3,85
default,cartservice-us-east-1-7b8f857dc4-hk2zq,server,280,46
default,cartservice-us-east-1-7b8f857dc4-hk2zq,istio-proxy,82,83
default,cartservice-us-east-1-7b8f857dc4-thhsk,server,191,44
default,cartservice-us-east-1-7b8f857dc4-thhsk,istio-proxy,32,83
default,cartservice-us-east-1-7b8f857dc4-vwl59,server,306,44
default,cartservice-us-east-1-7b8f857dc4-vwl59,istio-proxy,21,84
default,cartservice-us-south-1-db9bb4dcd-4j7k5,server,151,41
default,cartservice-us-south-1-db9bb4dcd-4j7k5,istio-proxy,76,84
default,cartservice-us-south-1-db9bb4dcd-gcwc4,server,335,44
default,cartservice-us-south-1-db9bb4dcd-gcwc4,istio-proxy,21,84
default,cartservice-us-south-1-db9bb4dcd-p4f28,server,194,44
default,cartservice-us-south-1-db9bb4dcd-p4f28,istio-proxy,48,84
default,cartservice-us-west-1-5768f64cbb-65ths,server,175,38
default,cartservice-us-west-1-5768f64cbb-65ths,istio-proxy,63,87
default,cartservice-us-west-1-5768f64cbb-cmk59,server,381,51
default,cartservice-us-west-1-5768f64cbb-cmk59,istio-proxy,146,84
default,cartservice-us-west-1-5768f64cbb-gnlzt,server,103,38
default,cartservice-us-west-1-5768f64cbb-gnlzt,istio-proxy,3,84
default,checkoutservice-us-central-1-5574bfc6c9-f8n9q,server,83,11
default,checkoutservice-us-central-1-5574bfc6c9-f8n9q,istio-proxy,100,84
default,checkoutservice-us-central-1-5574bfc6c9-gw9ht,server,41,10
default,checkoutservice-us-central-1-5574bfc6c9-gw9ht,istio-proxy,98,83
default,checkoutservice-us-central-1-5574bfc6c9-kdm7x,server,73,11
default,checkoutservice-us-central-1-5574bfc6c9-kdm7x,istio-proxy,196,84
default,checkoutservice-us-east-1-679bf5fb6d-5dn27,server,63,10
default,checkoutservice-us-east-1-679bf5fb6d-5dn27,istio-proxy,96,85
default,checkoutservice-us-east-1-679bf5fb6d-cjwxb,server,91,11
default,checkoutservice-us-east-1-679bf5fb6d-cjwxb,istio-proxy,38,84
default,checkoutservice-us-east-1-679bf5fb6d-fzjn9,server,85,11
default,checkoutservice-us-east-1-679bf5fb6d-fzjn9,istio-proxy,5,82
default,checkoutservice-us-south-1-7c5f48d8-26cjl,server,48,10
default,checkoutservice-us-south-1-7c5f48d8-26cjl,istio-proxy,3,84
default,checkoutservice-us-south-1-7c5f48d8-lwlvf,server,17,9
default,checkoutservice-us-south-1-7c5f48d8-lwlvf,istio-proxy,3,84
default,checkoutservice-us-south-1-7c5f48d8-xbvjx,server,0,8
default,checkoutservice-us-south-1-7c5f48d8-xbvjx,istio-proxy,3,85
default,checkoutservice-us-west-1-b6bdf4b56-2pp9m,server,220,12
default,checkoutservice-us-west-1-b6bdf4b56-2pp9m,istio-proxy,177,85
default,checkoutservice-us-west-1-b6bdf4b56-6c4pt,server,227,12
default,checkoutservice-us-west-1-b6bdf4b56-6c4pt,istio-proxy,458,86
default,checkoutservice-us-west-1-b6bdf4b56-7qvdj,server,209,12
default,checkoutservice-us-west-1-b6bdf4b56-7qvdj,istio-proxy,163,86
default,currencyservice-us-central-1-7f4b9f4b64-2plk2,server,73,21
default,currencyservice-us-central-1-7f4b9f4b64-2plk2,istio-proxy,3,83
default,currencyservice-us-central-1-7f4b9f4b64-4k49w,server,22,18
default,currencyservice-us-central-1-7f4b9f4b64-4k49w,istio-proxy,3,82
default,currencyservice-us-central-1-7f4b9f4b64-946hj,server,24,18
