Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-8f8d586-9fkjj,server,2,141
default,adservice-us-central-1-8f8d586-9fkjj,istio-proxy,3,85
default,adservice-us-central-1-8f8d586-d2fks,server,3,145
default,adservice-us-central-1-8f8d586-d2fks,istio-proxy,3,83
default,adservice-us-central-1-8f8d586-h87bs,server,2,145
default,adservice-us-central-1-8f8d586-h87bs,istio-proxy,4,83
default,adservice-us-east-1-5cbb54d7bd-b4z7s,server,5,146
default,adservice-us-east-1-5cbb54d7bd-b4z7s,istio-proxy,3,82
default,adservice-us-east-1-5cbb54d7bd-pkznk,server,0,142
default,adservice-us-east-1-5cbb54d7bd-pkznk,istio-proxy,3,83
default,adservice-us-east-1-5cbb54d7bd-z672l,server,2,147
default,adservice-us-east-1-5cbb54d7bd-z672l,istio-proxy,3,83
default,adservice-us-south-1-c4cd6fbdb-fh7xf,server,3,150
default,adservice-us-south-1-c4cd6fbdb-fh7xf,istio-proxy,3,83
default,adservice-us-south-1-c4cd6fbdb-jhqcp,server,2,143
default,adservice-us-south-1-c4cd6fbdb-jhqcp,istio-proxy,4,84
default,adservice-us-south-1-c4cd6fbdb-s2xrx,server,2,143
default,adservice-us-south-1-c4cd6fbdb-s2xrx,istio-proxy,3,82
default,adservice-us-west-1-7dd5f766c9-mvgxb,server,4,143
default,adservice-us-west-1-7dd5f766c9-mvgxb,istio-proxy,4,83
default,adservice-us-west-1-7dd5f766c9-tcxmg,server,3,147
default,adservice-us-west-1-7dd5f766c9-tcxmg,istio-proxy,4,84
default,adservice-us-west-1-7dd5f766c9-vzqc6,server,3,147
default,adservice-us-west-1-7dd5f766c9-vzqc6,istio-proxy,4,83
default,cartservice-us-central-1-69b86fbf9d-9lmj6,server,142,48
default,cartservice-us-central-1-69b86fbf9d-9lmj6,istio-proxy,116,86
default,cartservice-us-central-1-69b86fbf9d-bv4kj,server,274,44
default,cartservice-us-central-1-69b86fbf9d-bv4kj,istio-proxy,93,87
default,cartservice-us-central-1-69b86fbf9d-qgjtp,server,188,48
default,cartservice-us-central-1-69b86fbf9d-qgjtp,istio-proxy,85,85
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,server,459,48
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,istio-proxy,116,85
default,cartservice-us-east-1-55ddbdb6b6-q96qg,server,294,46
default,cartservice-us-east-1-55ddbdb6b6-q96qg,istio-proxy,93,84
default,cartservice-us-east-1-55ddbdb6b6-vt8q2,server,306,53
default,cartservice-us-east-1-55ddbdb6b6-vt8q2,istio-proxy,154,85
default,cartservice-us-south-1-9f784cfbb-5p2f2,server,304,54
default,cartservice-us-south-1-9f784cfbb-5p2f2,istio-proxy,187,86
default,cartservice-us-south-1-9f784cfbb-bmlhr,server,174,46
default,cartservice-us-south-1-9f784cfbb-bmlhr,istio-proxy,191,84
default,cartservice-us-south-1-9f784cfbb-r6n8d,server,269,56
default,cartservice-us-south-1-9f784cfbb-r6n8d,istio-proxy,83,84
default,cartservice-us-west-1-57d8488cd6-7t57n,server,617,98
default,cartservice-us-west-1-57d8488cd6-7t57n,istio-proxy,562,84
default,cartservice-us-west-1-57d8488cd6-kw4p8,server,640,97
default,cartservice-us-west-1-57d8488cd6-kw4p8,istio-proxy,591,85
default,cartservice-us-west-1-57d8488cd6-nk5xp,server,615,103
default,cartservice-us-west-1-57d8488cd6-nk5xp,istio-proxy,566,85
default,checkoutservice-us-central-1-b5bb89bc8-9f4f9,server,53,10
default,checkoutservice-us-central-1-b5bb89bc8-9f4f9,istio-proxy,100,84
default,checkoutservice-us-central-1-b5bb89bc8-jg8p6,server,72,10
default,checkoutservice-us-central-1-b5bb89bc8-jg8p6,istio-proxy,119,85
default,checkoutservice-us-central-1-b5bb89bc8-xljjn,server,58,10
default,checkoutservice-us-central-1-b5bb89bc8-xljjn,istio-proxy,50,85
default,checkoutservice-us-east-1-7cdc99bd58-7wgvn,server,227,11
default,checkoutservice-us-east-1-7cdc99bd58-7wgvn,istio-proxy,409,85
default,checkoutservice-us-east-1-7cdc99bd58-cmvwj,server,226,11
default,checkoutservice-us-east-1-7cdc99bd58-cmvwj,istio-proxy,399,83
default,checkoutservice-us-east-1-7cdc99bd58-fltvd,server,203,11
default,checkoutservice-us-east-1-7cdc99bd58-fltvd,istio-proxy,397,84
default,checkoutservice-us-south-1-64b569f6b-hlzmx,server,305,12
default,checkoutservice-us-south-1-64b569f6b-hlzmx,istio-proxy,539,84
default,checkoutservice-us-south-1-64b569f6b-vt824,server,302,11
default,checkoutservice-us-south-1-64b569f6b-vt824,istio-proxy,492,84
default,checkoutservice-us-south-1-64b569f6b-xpk9j,server,239,12
default,checkoutservice-us-south-1-64b569f6b-xpk9j,istio-proxy,515,86
default,checkoutservice-us-west-1-74dd4c85c8-dbrjt,server,403,21
default,checkoutservice-us-west-1-74dd4c85c8-dbrjt,istio-proxy,406,93
default,checkoutservice-us-west-1-74dd4c85c8-pff69,server,91,12
default,checkoutservice-us-west-1-74dd4c85c8-pff69,istio-proxy,144,85
default,checkoutservice-us-west-1-74dd4c85c8-xm9gt,server,378,13
default,checkoutservice-us-west-1-74dd4c85c8-xm9gt,istio-proxy,936,90
default,currencyservice-us-central-1-7bdf6cdbf4-7frmr,server,42,19
default,currencyservice-us-central-1-7bdf6cdbf4-7frmr,istio-proxy,16,86
default,currencyservice-us-central-1-7bdf6cdbf4-f4hjn,server,40,17
