Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-8f8d586-9fkjj,server,3,150
default,adservice-us-central-1-8f8d586-9fkjj,istio-proxy,5,85
default,adservice-us-central-1-8f8d586-d2fks,server,3,154
default,adservice-us-central-1-8f8d586-d2fks,istio-proxy,4,83
default,adservice-us-central-1-8f8d586-h87bs,server,8,160
default,adservice-us-central-1-8f8d586-h87bs,istio-proxy,5,83
default,adservice-us-east-1-5cbb54d7bd-b4z7s,server,3,151
default,adservice-us-east-1-5cbb54d7bd-b4z7s,istio-proxy,5,82
default,adservice-us-east-1-5cbb54d7bd-pkznk,server,3,152
default,adservice-us-east-1-5cbb54d7bd-pkznk,istio-proxy,4,83
default,adservice-us-east-1-5cbb54d7bd-z672l,server,2,152
default,adservice-us-east-1-5cbb54d7bd-z672l,istio-proxy,4,83
default,adservice-us-south-1-c4cd6fbdb-fh7xf,server,3,154
default,adservice-us-south-1-c4cd6fbdb-fh7xf,istio-proxy,5,83
default,adservice-us-south-1-c4cd6fbdb-jhqcp,server,3,153
default,adservice-us-south-1-c4cd6fbdb-jhqcp,istio-proxy,5,84
default,adservice-us-south-1-c4cd6fbdb-s2xrx,server,2,152
default,adservice-us-south-1-c4cd6fbdb-s2xrx,istio-proxy,5,82
default,adservice-us-west-1-7dd5f766c9-mvgxb,server,2,152
default,adservice-us-west-1-7dd5f766c9-mvgxb,istio-proxy,5,83
default,adservice-us-west-1-7dd5f766c9-tcxmg,server,4,157
default,adservice-us-west-1-7dd5f766c9-tcxmg,istio-proxy,6,84
default,adservice-us-west-1-7dd5f766c9-vzqc6,server,0,152
default,adservice-us-west-1-7dd5f766c9-vzqc6,istio-proxy,4,83
default,cartservice-us-central-1-69b86fbf9d-9lmj6,server,114,55
default,cartservice-us-central-1-69b86fbf9d-9lmj6,istio-proxy,79,86
default,cartservice-us-central-1-69b86fbf9d-bv4kj,server,114,55
default,cartservice-us-central-1-69b86fbf9d-bv4kj,istio-proxy,80,87
default,cartservice-us-central-1-69b86fbf9d-qgjtp,server,110,59
default,cartservice-us-central-1-69b86fbf9d-qgjtp,istio-proxy,80,85
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,server,168,73
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,istio-proxy,136,85
default,cartservice-us-east-1-55ddbdb6b6-q96qg,server,180,70
default,cartservice-us-east-1-55ddbdb6b6-q96qg,istio-proxy,128,84
default,cartservice-us-east-1-55ddbdb6b6-vt8q2,server,165,71
default,cartservice-us-east-1-55ddbdb6b6-vt8q2,istio-proxy,123,85
default,cartservice-us-south-1-9f784cfbb-5p2f2,server,217,81
default,cartservice-us-south-1-9f784cfbb-5p2f2,istio-proxy,166,86
default,cartservice-us-south-1-9f784cfbb-bmlhr,server,217,80
default,cartservice-us-south-1-9f784cfbb-bmlhr,istio-proxy,164,85
default,cartservice-us-south-1-9f784cfbb-r6n8d,server,235,71
default,cartservice-us-south-1-9f784cfbb-r6n8d,istio-proxy,169,85
default,cartservice-us-west-1-57d8488cd6-7t57n,server,580,172
default,cartservice-us-west-1-57d8488cd6-7t57n,istio-proxy,453,88
default,cartservice-us-west-1-57d8488cd6-kw4p8,server,590,167
default,cartservice-us-west-1-57d8488cd6-kw4p8,istio-proxy,494,88
default,cartservice-us-west-1-57d8488cd6-nk5xp,server,582,170
default,cartservice-us-west-1-57d8488cd6-nk5xp,istio-proxy,462,89
default,checkoutservice-us-central-1-b5bb89bc8-9f4f9,server,0,10
default,checkoutservice-us-central-1-b5bb89bc8-9f4f9,istio-proxy,5,84
default,checkoutservice-us-central-1-b5bb89bc8-jg8p6,server,0,11
default,checkoutservice-us-central-1-b5bb89bc8-jg8p6,istio-proxy,5,85
default,checkoutservice-us-central-1-b5bb89bc8-xljjn,server,0,10
default,checkoutservice-us-central-1-b5bb89bc8-xljjn,istio-proxy,3,85
default,checkoutservice-us-east-1-7cdc99bd58-7wgvn,server,129,12
default,checkoutservice-us-east-1-7cdc99bd58-7wgvn,istio-proxy,249,85
default,checkoutservice-us-east-1-7cdc99bd58-cmvwj,server,113,12
default,checkoutservice-us-east-1-7cdc99bd58-cmvwj,istio-proxy,207,83
default,checkoutservice-us-east-1-7cdc99bd58-fltvd,server,129,11
default,checkoutservice-us-east-1-7cdc99bd58-fltvd,istio-proxy,226,85
default,checkoutservice-us-south-1-64b569f6b-hlzmx,server,238,12
default,checkoutservice-us-south-1-64b569f6b-hlzmx,istio-proxy,404,84
default,checkoutservice-us-south-1-64b569f6b-vt824,server,224,12
default,checkoutservice-us-south-1-64b569f6b-vt824,istio-proxy,477,84
default,checkoutservice-us-south-1-64b569f6b-xpk9j,server,272,12
default,checkoutservice-us-south-1-64b569f6b-xpk9j,istio-proxy,426,86
default,checkoutservice-us-west-1-74dd4c85c8-dbrjt,server,188,26
default,checkoutservice-us-west-1-74dd4c85c8-dbrjt,istio-proxy,390,100
default,checkoutservice-us-west-1-74dd4c85c8-pff69,server,75,18
default,checkoutservice-us-west-1-74dd4c85c8-pff69,istio-proxy,149,98
default,checkoutservice-us-west-1-74dd4c85c8-xm9gt,server,278,14
default,checkoutservice-us-west-1-74dd4c85c8-xm9gt,istio-proxy,590,91
default,currencyservice-us-central-1-7bdf6cdbf4-7frmr,server,0,19
default,currencyservice-us-central-1-7bdf6cdbf4-7frmr,istio-proxy,3,86
default,currencyservice-us-central-1-7bdf6cdbf4-f4hjn,server,0,18
default,currencyservice-us-central-1-7bdf6cdbf4-f4hjn,istio-proxy,5,83
default,currencyservice-us-central-1-7bdf6cdbf4-t7vpj,server,0,19
default,currencyservice-us-central-1-7bdf6cdbf4-t7vpj,istio-proxy,10,86
default,currencyservice-us-east-1-568c669795-2kv99,server,82,32
default,currencyservice-us-east-1-568c669795-2kv99,istio-proxy,70,85
default,currencyservice-us-east-1-568c669795-rwl6b,server,77,32
default,currencyservice-us-east-1-568c669795-rwl6b,istio-proxy,57,84
default,currencyservice-us-east-1-568c669795-wdpm9,server,58,34
default,currencyservice-us-east-1-568c669795-wdpm9,istio-proxy,69,86
default,currencyservice-us-south-1-7f84dbc679-22j5m,server,98,31
