Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-8f8d586-9fkjj,server,2,136
default,adservice-us-central-1-8f8d586-9fkjj,istio-proxy,3,85
default,adservice-us-central-1-8f8d586-d2fks,server,2,140
default,adservice-us-central-1-8f8d586-d2fks,istio-proxy,3,83
default,adservice-us-central-1-8f8d586-h87bs,server,2,140
default,adservice-us-central-1-8f8d586-h87bs,istio-proxy,3,83
default,adservice-us-east-1-5cbb54d7bd-b4z7s,server,0,136
default,adservice-us-east-1-5cbb54d7bd-b4z7s,istio-proxy,3,82
default,adservice-us-east-1-5cbb54d7bd-pkznk,server,3,142
default,adservice-us-east-1-5cbb54d7bd-pkznk,istio-proxy,3,83
default,adservice-us-east-1-5cbb54d7bd-z672l,server,2,143
default,adservice-us-east-1-5cbb54d7bd-z672l,istio-proxy,3,83
default,adservice-us-south-1-c4cd6fbdb-fh7xf,server,3,140
default,adservice-us-south-1-c4cd6fbdb-fh7xf,istio-proxy,3,83
default,adservice-us-south-1-c4cd6fbdb-jhqcp,server,3,138
default,adservice-us-south-1-c4cd6fbdb-jhqcp,istio-proxy,2,84
default,adservice-us-south-1-c4cd6fbdb-s2xrx,server,2,143
default,adservice-us-south-1-c4cd6fbdb-s2xrx,istio-proxy,4,82
default,adservice-us-west-1-7dd5f766c9-mvgxb,server,4,143
default,adservice-us-west-1-7dd5f766c9-mvgxb,istio-proxy,3,83
default,adservice-us-west-1-7dd5f766c9-tcxmg,server,2,143
default,adservice-us-west-1-7dd5f766c9-tcxmg,istio-proxy,4,84
default,adservice-us-west-1-7dd5f766c9-vzqc6,server,4,143
default,adservice-us-west-1-7dd5f766c9-vzqc6,istio-proxy,3,83
default,cartservice-us-central-1-69b86fbf9d-9lmj6,server,272,42
default,cartservice-us-central-1-69b86fbf9d-9lmj6,istio-proxy,3,85
default,cartservice-us-central-1-69b86fbf9d-bv4kj,server,2,26
default,cartservice-us-central-1-69b86fbf9d-bv4kj,istio-proxy,37,87
default,cartservice-us-central-1-69b86fbf9d-qgjtp,server,236,41
default,cartservice-us-central-1-69b86fbf9d-qgjtp,istio-proxy,43,85
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,server,0,26
default,cartservice-us-east-1-55ddbdb6b6-ptjsq,istio-proxy,5,83
