Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-87f55bd8c-6zc5p,server,4,143
default,adservice-us-central-1-87f55bd8c-6zc5p,istio-proxy,3,84
default,adservice-us-central-1-87f55bd8c-mfb7b,server,3,136
default,adservice-us-central-1-87f55bd8c-mfb7b,istio-proxy,4,84
default,adservice-us-central-1-87f55bd8c-tflzj,server,2,143
default,adservice-us-central-1-87f55bd8c-tflzj,istio-proxy,3,81
default,adservice-us-east-1-86dd8bc4bc-64g9m,server,2,140
default,adservice-us-east-1-86dd8bc4bc-64g9m,istio-proxy,3,83
default,adservice-us-east-1-86dd8bc4bc-rkl5n,server,3,138
default,adservice-us-east-1-86dd8bc4bc-rkl5n,istio-proxy,3,81
default,adservice-us-east-1-86dd8bc4bc-zr7h8,server,2,138
default,adservice-us-east-1-86dd8bc4bc-zr7h8,istio-proxy,4,84
default,adservice-us-south-1-76c7c4d667-4xb8t,server,2,138
default,adservice-us-south-1-76c7c4d667-4xb8t,istio-proxy,3,82
default,adservice-us-south-1-76c7c4d667-7zq9q,server,3,139
default,adservice-us-south-1-76c7c4d667-7zq9q,istio-proxy,4,83
default,adservice-us-south-1-76c7c4d667-94xq9,server,3,139
default,adservice-us-south-1-76c7c4d667-94xq9,istio-proxy,4,83
default,adservice-us-west-1-5c795f6dc-4fnwk,server,2,139
default,adservice-us-west-1-5c795f6dc-4fnwk,istio-proxy,4,84
default,adservice-us-west-1-5c795f6dc-7f4qh,server,3,138
default,adservice-us-west-1-5c795f6dc-7f4qh,istio-proxy,3,82
default,adservice-us-west-1-5c795f6dc-tgfqr,server,3,141
default,adservice-us-west-1-5c795f6dc-tgfqr,istio-proxy,3,84
default,cartservice-us-central-1-58db66c895-985lz,server,354,60
default,cartservice-us-central-1-58db66c895-985lz,istio-proxy,179,84
default,cartservice-us-central-1-58db66c895-mx8mf,server,347,49
default,cartservice-us-central-1-58db66c895-mx8mf,istio-proxy,247,85
default,cartservice-us-central-1-58db66c895-n9w6w,server,343,52
default,cartservice-us-central-1-58db66c895-n9w6w,istio-proxy,135,84
default,cartservice-us-east-1-846fcd7469-82f48,server,455,46
default,cartservice-us-east-1-846fcd7469-82f48,istio-proxy,132,84
default,cartservice-us-east-1-846fcd7469-k7p7p,server,287,48
default,cartservice-us-east-1-846fcd7469-k7p7p,istio-proxy,185,84
default,cartservice-us-east-1-846fcd7469-nqb59,server,501,54
default,cartservice-us-east-1-846fcd7469-nqb59,istio-proxy,200,85
default,cartservice-us-south-1-c8c45f567-hmjk5,server,498,54
default,cartservice-us-south-1-c8c45f567-hmjk5,istio-proxy,248,84
default,cartservice-us-south-1-c8c45f567-lqmts,server,485,53
default,cartservice-us-south-1-c8c45f567-lqmts,istio-proxy,244,85
default,cartservice-us-south-1-c8c45f567-nx6mk,server,504,53
default,cartservice-us-south-1-c8c45f567-nx6mk,istio-proxy,180,84
default,cartservice-us-west-1-7cb4dc9965-54whq,server,276,49
