Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-87f55bd8c-6zc5p,server,7,157
default,adservice-us-central-1-87f55bd8c-6zc5p,istio-proxy,3,84
default,adservice-us-central-1-87f55bd8c-mfb7b,server,7,155
default,adservice-us-central-1-87f55bd8c-mfb7b,istio-proxy,3,84
default,adservice-us-central-1-87f55bd8c-tflzj,server,2,153
default,adservice-us-central-1-87f55bd8c-tflzj,istio-proxy,3,81
default,adservice-us-east-1-86dd8bc4bc-64g9m,server,7,159
default,adservice-us-east-1-86dd8bc4bc-64g9m,istio-proxy,3,83
default,adservice-us-east-1-86dd8bc4bc-rkl5n,server,3,152
default,adservice-us-east-1-86dd8bc4bc-rkl5n,istio-proxy,3,82
default,adservice-us-east-1-86dd8bc4bc-zr7h8,server,3,153
default,adservice-us-east-1-86dd8bc4bc-zr7h8,istio-proxy,3,84
default,adservice-us-south-1-76c7c4d667-4xb8t,server,8,157
default,adservice-us-south-1-76c7c4d667-4xb8t,istio-proxy,3,82
default,adservice-us-south-1-76c7c4d667-7zq9q,server,7,158
default,adservice-us-south-1-76c7c4d667-7zq9q,istio-proxy,3,83
default,adservice-us-south-1-76c7c4d667-94xq9,server,0,153
default,adservice-us-south-1-76c7c4d667-94xq9,istio-proxy,3,83
default,adservice-us-west-1-5c795f6dc-4fnwk,server,3,153
default,adservice-us-west-1-5c795f6dc-4fnwk,istio-proxy,3,84
default,adservice-us-west-1-5c795f6dc-7f4qh,server,3,152
default,adservice-us-west-1-5c795f6dc-7f4qh,istio-proxy,3,82
default,adservice-us-west-1-5c795f6dc-tgfqr,server,2,155
default,adservice-us-west-1-5c795f6dc-tgfqr,istio-proxy,3,84
default,cartservice-us-central-1-58db66c895-985lz,server,222,100
default,cartservice-us-central-1-58db66c895-985lz,istio-proxy,162,85
default,cartservice-us-central-1-58db66c895-mx8mf,server,190,100
default,cartservice-us-central-1-58db66c895-mx8mf,istio-proxy,170,85
default,cartservice-us-central-1-58db66c895-n9w6w,server,214,100
default,cartservice-us-central-1-58db66c895-n9w6w,istio-proxy,179,84
default,cartservice-us-east-1-846fcd7469-82f48,server,167,88
default,cartservice-us-east-1-846fcd7469-82f48,istio-proxy,119,84
default,cartservice-us-east-1-846fcd7469-k7p7p,server,170,85
default,cartservice-us-east-1-846fcd7469-k7p7p,istio-proxy,88,84
default,cartservice-us-east-1-846fcd7469-nqb59,server,167,92
default,cartservice-us-east-1-846fcd7469-nqb59,istio-proxy,122,85
default,cartservice-us-south-1-c8c45f567-hmjk5,server,167,93
default,cartservice-us-south-1-c8c45f567-hmjk5,istio-proxy,135,84
default,cartservice-us-south-1-c8c45f567-lqmts,server,172,94
default,cartservice-us-south-1-c8c45f567-lqmts,istio-proxy,124,85
default,cartservice-us-south-1-c8c45f567-nx6mk,server,175,91
default,cartservice-us-south-1-c8c45f567-nx6mk,istio-proxy,110,85
default,cartservice-us-west-1-7cb4dc9965-54whq,server,280,105
default,cartservice-us-west-1-7cb4dc9965-54whq,istio-proxy,179,84
default,cartservice-us-west-1-7cb4dc9965-ckr6n,server,266,101
default,cartservice-us-west-1-7cb4dc9965-ckr6n,istio-proxy,182,86
default,cartservice-us-west-1-7cb4dc9965-ztj4h,server,267,109
default,cartservice-us-west-1-7cb4dc9965-ztj4h,istio-proxy,197,87
default,checkoutservice-us-central-1-6f4bd54f78-2mh4s,server,192,12
default,checkoutservice-us-central-1-6f4bd54f78-2mh4s,istio-proxy,252,84
default,checkoutservice-us-central-1-6f4bd54f78-7hpzv,server,158,12
