counter,region,service,endpoint,rps
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,32
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,22
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,6
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,5
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,173
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,132
1,us-west-1,frontend,frontend@POST@/cart/checkout,163
1,us-west-1,frontend,frontend@POST@/cart,136
1,us-west-1,frontend,frontend@POST@/cart/empty,103
1,us-west-1,frontend,frontend@POST@/setCurrency,66
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,314
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,235
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,148
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,263
1,us-west-1,sslateingress,sslateingress@POST@/cart,233
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,172
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,210
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,21
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,23
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,30
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,18
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,13
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,13
1,us-east-1,frontend,frontend@POST@/cart,29
1,us-east-1,frontend,frontend@POST@/cart/checkout,30
1,us-east-1,frontend,frontend@POST@/cart/empty,19
1,us-east-1,frontend,frontend@POST@/setCurrency,10
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,15
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,43
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,10
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,1
2,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,192
2,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,67
2,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,200
2,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,116
2,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,195
2,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,195
2,us-south-1,sslateingress,sslateingress@POST@/cart/empty,52
2,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,79
2,us-south-1,sslateingress,sslateingress@POST@/cart,62
2,us-south-1,sslateingress,sslateingress@POST@/setCurrency,48
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,210
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,81
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,67
2,us-south-1,frontend,frontend@POST@/cart/checkout,83
2,us-south-1,frontend,frontend@POST@/cart,62
2,us-south-1,frontend,frontend@POST@/cart/empty,54
2,us-south-1,frontend,frontend@POST@/setCurrency,44
2,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,332
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,320
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,333
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,331
2,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,316
2,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,322
2,us-west-1,frontend,frontend@POST@/cart/checkout,328
2,us-west-1,frontend,frontend@POST@/cart,313
2,us-west-1,frontend,frontend@POST@/cart/empty,307
2,us-west-1,frontend,frontend@POST@/setCurrency,317
2,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,475
2,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,324
2,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,332
2,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,325
2,us-west-1,sslateingress,sslateingress@POST@/cart,330
2,us-west-1,sslateingress,sslateingress@POST@/setCurrency,327
2,us-west-1,sslateingress,sslateingress@POST@/cart/empty,329
2,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,109
2,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,111
2,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,169
2,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,119
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,104
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,104
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,115
2,us-east-1,frontend,frontend@POST@/cart,122
2,us-east-1,frontend,frontend@POST@/cart/checkout,114
2,us-east-1,frontend,frontend@POST@/cart/empty,106
2,us-east-1,frontend,frontend@POST@/setCurrency,114
2,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,129
2,us-east-1,sslateingress,sslateingress@POST@/setCurrency,113
2,us-east-1,sslateingress,sslateingress@POST@/cart/empty,101
2,us-east-1,sslateingress,sslateingress@POST@/cart,106
2,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,108
2,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,106
2,us-central-1,frontend,frontend@POST@/cart/checkout,92
2,us-central-1,frontend,frontend@POST@/setCurrency,70
2,us-central-1,frontend,frontend@POST@/cart/empty,77
2,us-central-1,frontend,frontend@POST@/cart,99
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,90
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,113
2,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,115
2,us-central-1,sslateingress,sslateingress@POST@/cart,109
2,us-central-1,sslateingress,sslateingress@POST@/setCurrency,96
