Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-86d6b896cf-7fzpv,server,2,142
default,adservice-us-central-1-86d6b896cf-7fzpv,istio-proxy,3,83
default,adservice-us-central-1-86d6b896cf-hls6c,server,2,144
default,adservice-us-central-1-86d6b896cf-hls6c,istio-proxy,3,81
default,adservice-us-central-1-86d6b896cf-lsf6j,server,2,144
default,adservice-us-central-1-86d6b896cf-lsf6j,istio-proxy,3,82
default,adservice-us-east-1-5bb78769bc-97zsg,server,3,143
default,adservice-us-east-1-5bb78769bc-97zsg,istio-proxy,4,79
default,adservice-us-east-1-5bb78769bc-gb2b7,server,2,150
default,adservice-us-east-1-5bb78769bc-gb2b7,istio-proxy,3,82
default,adservice-us-east-1-5bb78769bc-m5sgq,server,3,142
default,adservice-us-east-1-5bb78769bc-m5sgq,istio-proxy,3,82
default,adservice-us-south-1-5dddcdc6f9-4xnrc,server,2,147
default,adservice-us-south-1-5dddcdc6f9-4xnrc,istio-proxy,3,82
default,adservice-us-south-1-5dddcdc6f9-lfvmf,server,2,149
default,adservice-us-south-1-5dddcdc6f9-lfvmf,istio-proxy,3,82
default,adservice-us-south-1-5dddcdc6f9-rn49m,server,4,148
default,adservice-us-south-1-5dddcdc6f9-rn49m,istio-proxy,3,79
default,adservice-us-west-1-648f87d755-gqkpg,server,3,149
default,adservice-us-west-1-648f87d755-gqkpg,istio-proxy,3,79
default,adservice-us-west-1-648f87d755-q6lhd,server,2,145
default,adservice-us-west-1-648f87d755-q6lhd,istio-proxy,4,83
default,adservice-us-west-1-648f87d755-zvv6r,server,2,144
default,adservice-us-west-1-648f87d755-zvv6r,istio-proxy,3,82
default,cartservice-us-central-1-85f7747fc8-7wb85,server,123,44
default,cartservice-us-central-1-85f7747fc8-7wb85,istio-proxy,76,83
default,cartservice-us-central-1-85f7747fc8-c7hgb,server,346,42
default,cartservice-us-central-1-85f7747fc8-c7hgb,istio-proxy,67,86
default,cartservice-us-central-1-85f7747fc8-prnrx,server,115,45
default,cartservice-us-central-1-85f7747fc8-prnrx,istio-proxy,74,82
default,cartservice-us-east-1-87d7f6466-66zbw,server,311,46
default,cartservice-us-east-1-87d7f6466-66zbw,istio-proxy,125,84
default,cartservice-us-east-1-87d7f6466-8pj8l,server,358,49
default,cartservice-us-east-1-87d7f6466-8pj8l,istio-proxy,62,81
default,cartservice-us-east-1-87d7f6466-tcn7q,server,350,50
default,cartservice-us-east-1-87d7f6466-tcn7q,istio-proxy,105,84
default,cartservice-us-south-1-569c76b5d6-9b8jj,server,318,46
default,cartservice-us-south-1-569c76b5d6-9b8jj,istio-proxy,123,84
