counter,region,service,endpoint,rps
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,119
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,115
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,108
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,105
1,us-east-1,sslateingress,sslateingress@POST@/cart,94
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,106
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,92
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,76
1,us-east-1,frontend,frontend@POST@/cart/empty,97
1,us-east-1,frontend,frontend@POST@/cart,95
1,us-east-1,frontend,frontend@POST@/setCurrency,95
1,us-east-1,frontend,frontend@POST@/cart/checkout,98
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,120
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,157
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,119
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,120
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,121
1,us-west-1,frontend,frontend@POST@/cart/empty,338
1,us-west-1,frontend,frontend@POST@/cart,344
1,us-west-1,frontend,frontend@POST@/cart/checkout,355
1,us-west-1,frontend,frontend@POST@/setCurrency,336
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,324
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,285
1,us-west-1,sslateingress,sslateingress@POST@/cart,305
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,287
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,324
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,340
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,325
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,497
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,309
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,312
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,340
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,352
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,322
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,60
1,us-central-1,frontend,frontend@POST@/cart/checkout,83
1,us-central-1,frontend,frontend@POST@/cart/empty,68
1,us-central-1,frontend,frontend@POST@/setCurrency,55
1,us-central-1,frontend,frontend@POST@/cart,75
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,72
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,68
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,81
1,us-central-1,sslateingress,sslateingress@POST@/cart,86
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,78
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,90
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,64
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,83
1,us-south-1,frontend,frontend@POST@/cart/checkout,47
1,us-south-1,frontend,frontend@POST@/cart/empty,29
1,us-south-1,frontend,frontend@POST@/cart,40
1,us-south-1,frontend,frontend@POST@/setCurrency,27
1,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,67
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,74
1,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,20
1,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,104
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,127
1,us-south-1,sslateingress,sslateingress@POST@/cart,43
1,us-south-1,sslateingress,sslateingress@POST@/cart/empty,38
1,us-south-1,sslateingress,sslateingress@POST@/setCurrency,26
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,47
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,158
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,52
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,50
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,100
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,119
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,98
2,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,103
2,us-east-1,sslateingress,sslateingress@POST@/cart,110
2,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,110
2,us-east-1,sslateingress,sslateingress@POST@/cart/empty,99
2,us-east-1,sslateingress,sslateingress@POST@/setCurrency,113
2,us-east-1,frontend,frontend@POST@/cart/empty,104
2,us-east-1,frontend,frontend@POST@/cart,110
2,us-east-1,frontend,frontend@POST@/setCurrency,111
2,us-east-1,frontend,frontend@POST@/cart/checkout,108
2,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,108
2,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,155
2,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,107
2,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,117
2,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,106
2,us-west-1,frontend,frontend@POST@/cart/empty,318
2,us-west-1,frontend,frontend@POST@/cart,310
2,us-west-1,frontend,frontend@POST@/cart/checkout,303
2,us-west-1,frontend,frontend@POST@/setCurrency,312
2,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,323
2,us-west-1,sslateingress,sslateingress@POST@/setCurrency,318
2,us-west-1,sslateingress,sslateingress@POST@/cart,333
2,us-west-1,sslateingress,sslateingress@POST@/cart/empty,337
2,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,326
2,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,314
2,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,324
2,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,441
2,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,341
2,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,333
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,316
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,307
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,331
2,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,121
2,us-central-1,frontend,frontend@POST@/cart/checkout,109
2,us-central-1,frontend,frontend@POST@/cart/empty,105
2,us-central-1,frontend,frontend@POST@/setCurrency,109
2,us-central-1,frontend,frontend@POST@/cart,104
2,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,112
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,102
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,108
2,us-central-1,sslateingress,sslateingress@POST@/cart,104
2,us-central-1,sslateingress,sslateingress@POST@/cart/empty,109
2,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,109
2,us-central-1,sslateingress,sslateingress@POST@/setCurrency,105
2,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,243
2,us-south-1,frontend,frontend@POST@/cart/checkout,112
2,us-south-1,frontend,frontend@POST@/cart/empty,117
2,us-south-1,frontend,frontend@POST@/cart,112
2,us-south-1,frontend,frontend@POST@/setCurrency,104
2,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,109
2,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,204
2,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,256
2,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,210
2,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,233
2,us-south-1,sslateingress,sslateingress@POST@/cart,112
2,us-south-1,sslateingress,sslateingress@POST@/cart/empty,117
2,us-south-1,sslateingress,sslateingress@POST@/setCurrency,110
2,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,110
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,220
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,110
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,110
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,104
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,108
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,111
3,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,112
3,us-east-1,sslateingress,sslateingress@POST@/cart,103
3,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,102
3,us-east-1,sslateingress,sslateingress@POST@/cart/empty,118
3,us-east-1,sslateingress,sslateingress@POST@/setCurrency,110
3,us-east-1,frontend,frontend@POST@/cart/empty,111
3,us-east-1,frontend,frontend@POST@/cart,105
3,us-east-1,frontend,frontend@POST@/setCurrency,105
3,us-east-1,frontend,frontend@POST@/cart/checkout,109
3,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,105
3,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,156
3,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,108
3,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,102
3,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,103
3,us-west-1,frontend,frontend@POST@/cart/empty,189
3,us-west-1,frontend,frontend@POST@/cart,193
3,us-west-1,frontend,frontend@POST@/cart/checkout,188
3,us-west-1,frontend,frontend@POST@/setCurrency,198
3,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,288
3,us-west-1,sslateingress,sslateingress@POST@/setCurrency,319
3,us-west-1,sslateingress,sslateingress@POST@/cart,305
3,us-west-1,sslateingress,sslateingress@POST@/cart/empty,319
3,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,239
3,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,219
3,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,236
3,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,365
3,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,279
3,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,240
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,209
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,221
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,221
3,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,138
3,us-central-1,frontend,frontend@POST@/cart/checkout,144
3,us-central-1,frontend,frontend@POST@/cart/empty,147
3,us-central-1,frontend,frontend@POST@/setCurrency,155
3,us-central-1,frontend,frontend@POST@/cart,149
3,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,131
3,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,150
3,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,138
3,us-central-1,sslateingress,sslateingress@POST@/cart,107
3,us-central-1,sslateingress,sslateingress@POST@/cart/empty,102
3,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,114
3,us-central-1,sslateingress,sslateingress@POST@/setCurrency,114
3,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,244
3,us-south-1,frontend,frontend@POST@/cart/checkout,120
3,us-south-1,frontend,frontend@POST@/cart/empty,113
3,us-south-1,frontend,frontend@POST@/cart,125
3,us-south-1,frontend,frontend@POST@/setCurrency,129
3,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,130
3,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,252
3,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,229
3,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,275
3,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,259
3,us-south-1,sslateingress,sslateingress@POST@/cart,100
3,us-south-1,sslateingress,sslateingress@POST@/cart/empty,103
3,us-south-1,sslateingress,sslateingress@POST@/setCurrency,107
3,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,112
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,282
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,131
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,129
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,126
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,121
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,135
4,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,116
4,us-east-1,sslateingress,sslateingress@POST@/cart,105
4,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,101
4,us-east-1,sslateingress,sslateingress@POST@/cart/empty,102
4,us-east-1,sslateingress,sslateingress@POST@/setCurrency,103
4,us-east-1,frontend,frontend@POST@/cart/empty,123
4,us-east-1,frontend,frontend@POST@/cart,132
4,us-east-1,frontend,frontend@POST@/setCurrency,120
4,us-east-1,frontend,frontend@POST@/cart/checkout,122
4,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,130
4,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,196
4,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,127
4,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,130
4,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,139
4,us-west-1,frontend,frontend@POST@/cart/empty,172
4,us-west-1,frontend,frontend@POST@/cart,188
4,us-west-1,frontend,frontend@POST@/cart/checkout,165
4,us-west-1,frontend,frontend@POST@/setCurrency,184
4,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,302
4,us-west-1,sslateingress,sslateingress@POST@/setCurrency,311
4,us-west-1,sslateingress,sslateingress@POST@/cart,281
4,us-west-1,sslateingress,sslateingress@POST@/cart/empty,308
4,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,156
4,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,168
4,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,164
4,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,241
4,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,152
4,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,164
4,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,174
