Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75f5cbc54d-2q2xh,server,2,148
default,adservice-us-central-1-75f5cbc54d-2q2xh,istio-proxy,3,84
default,adservice-us-central-1-75f5cbc54d-4db2n,server,2,151
default,adservice-us-central-1-75f5cbc54d-4db2n,istio-proxy,3,83
default,adservice-us-central-1-75f5cbc54d-h6rpc,server,2,147
default,adservice-us-central-1-75f5cbc54d-h6rpc,istio-proxy,3,82
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,server,2,148
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,istio-proxy,3,85
default,adservice-us-east-1-7b8f8ccf8b-khf2p,server,2,146
default,adservice-us-east-1-7b8f8ccf8b-khf2p,istio-proxy,3,84
default,adservice-us-east-1-7b8f8ccf8b-kktvt,server,0,150
default,adservice-us-east-1-7b8f8ccf8b-kktvt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-bb4wt,server,2,148
default,adservice-us-south-1-6d5b8b789b-bb4wt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-fcvsd,server,2,152
default,adservice-us-south-1-6d5b8b789b-fcvsd,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-krqsn,server,2,147
default,adservice-us-south-1-6d5b8b789b-krqsn,istio-proxy,3,83
default,adservice-us-west-1-6ff44864b-gpr7q,server,2,147
default,adservice-us-west-1-6ff44864b-gpr7q,istio-proxy,3,84
default,adservice-us-west-1-6ff44864b-kth8d,server,3,151
default,adservice-us-west-1-6ff44864b-kth8d,istio-proxy,3,82
default,adservice-us-west-1-6ff44864b-sp9nr,server,3,141
default,adservice-us-west-1-6ff44864b-sp9nr,istio-proxy,3,83
default,cartservice-us-central-1-588785c956-2mbh8,server,196,58
default,cartservice-us-central-1-588785c956-2mbh8,istio-proxy,80,83
default,cartservice-us-central-1-588785c956-tvrp9,server,151,59
default,cartservice-us-central-1-588785c956-tvrp9,istio-proxy,114,86
default,cartservice-us-central-1-588785c956-xnwdz,server,197,54
default,cartservice-us-central-1-588785c956-xnwdz,istio-proxy,49,84
default,cartservice-us-east-1-559b99bf44-7xmgr,server,149,57
default,cartservice-us-east-1-559b99bf44-7xmgr,istio-proxy,83,84
default,cartservice-us-east-1-559b99bf44-82gwd,server,102,56
default,cartservice-us-east-1-559b99bf44-82gwd,istio-proxy,44,84
default,cartservice-us-east-1-559b99bf44-pdvs5,server,125,56
default,cartservice-us-east-1-559b99bf44-pdvs5,istio-proxy,100,83
default,cartservice-us-south-1-6ff6c88896-6gpt4,server,308,74
default,cartservice-us-south-1-6ff6c88896-6gpt4,istio-proxy,142,86
default,cartservice-us-south-1-6ff6c88896-bccs4,server,187,73
default,cartservice-us-south-1-6ff6c88896-bccs4,istio-proxy,168,84
default,cartservice-us-south-1-6ff6c88896-zf9js,server,81,74
default,cartservice-us-south-1-6ff6c88896-zf9js,istio-proxy,249,84
default,cartservice-us-west-1-68794bc4dd-6bc8m,server,391,71
default,cartservice-us-west-1-68794bc4dd-6bc8m,istio-proxy,186,84
default,cartservice-us-west-1-68794bc4dd-jgp7k,server,104,74
default,cartservice-us-west-1-68794bc4dd-jgp7k,istio-proxy,88,86
default,cartservice-us-west-1-68794bc4dd-s8ns5,server,113,75
default,cartservice-us-west-1-68794bc4dd-s8ns5,istio-proxy,169,84
default,checkoutservice-us-central-1-69fb679c4f-f8z4w,server,0,8
default,checkoutservice-us-central-1-69fb679c4f-f8z4w,istio-proxy,3,84
default,checkoutservice-us-central-1-69fb679c4f-v2vjz,server,0,8
default,checkoutservice-us-central-1-69fb679c4f-v2vjz,istio-proxy,3,83
default,checkoutservice-us-central-1-69fb679c4f-vsd58,server,0,8
default,checkoutservice-us-central-1-69fb679c4f-vsd58,istio-proxy,3,84
default,checkoutservice-us-east-1-5d767877f-cjm9t,server,125,11
default,checkoutservice-us-east-1-5d767877f-cjm9t,istio-proxy,153,85
default,checkoutservice-us-east-1-5d767877f-kgvln,server,67,11
default,checkoutservice-us-east-1-5d767877f-kgvln,istio-proxy,96,85
default,checkoutservice-us-east-1-5d767877f-td94d,server,73,11
default,checkoutservice-us-east-1-5d767877f-td94d,istio-proxy,226,84
default,checkoutservice-us-south-1-8d8747c-95mfz,server,187,12
default,checkoutservice-us-south-1-8d8747c-95mfz,istio-proxy,417,85
default,checkoutservice-us-south-1-8d8747c-b4bvh,server,324,12
default,checkoutservice-us-south-1-8d8747c-b4bvh,istio-proxy,665,84
default,checkoutservice-us-south-1-8d8747c-jknst,server,289,12
default,checkoutservice-us-south-1-8d8747c-jknst,istio-proxy,256,85
default,checkoutservice-us-west-1-777d5cd4dc-42xcl,server,187,12
default,checkoutservice-us-west-1-777d5cd4dc-42xcl,istio-proxy,237,84
default,checkoutservice-us-west-1-777d5cd4dc-lljk4,server,121,12
default,checkoutservice-us-west-1-777d5cd4dc-lljk4,istio-proxy,294,85
default,checkoutservice-us-west-1-777d5cd4dc-mgq4s,server,212,11
default,checkoutservice-us-west-1-777d5cd4dc-mgq4s,istio-proxy,308,85
default,currencyservice-us-central-1-6fc978cd5f-6h5zw,server,0,17
default,currencyservice-us-central-1-6fc978cd5f-6h5zw,istio-proxy,3,84
default,currencyservice-us-central-1-6fc978cd5f-btlc5,server,0,17
default,currencyservice-us-central-1-6fc978cd5f-btlc5,istio-proxy,3,84
default,currencyservice-us-central-1-6fc978cd5f-wwt2r,server,0,17
default,currencyservice-us-central-1-6fc978cd5f-wwt2r,istio-proxy,3,84
default,currencyservice-us-east-1-6ccb465d5b-7v6fg,server,101,24
default,currencyservice-us-east-1-6ccb465d5b-7v6fg,istio-proxy,61,84
default,currencyservice-us-east-1-6ccb465d5b-bck8v,server,48,27
default,currencyservice-us-east-1-6ccb465d5b-bck8v,istio-proxy,26,84
default,currencyservice-us-east-1-6ccb465d5b-frh7w,server,89,27
default,currencyservice-us-east-1-6ccb465d5b-frh7w,istio-proxy,17,83
default,currencyservice-us-south-1-b86747dd6-vchx4,server,121,31
default,currencyservice-us-south-1-b86747dd6-vchx4,istio-proxy,148,85
default,currencyservice-us-south-1-b86747dd6-vqbwh,server,189,31
default,currencyservice-us-south-1-b86747dd6-vqbwh,istio-proxy,102,84
default,currencyservice-us-south-1-b86747dd6-zgg9w,server,41,31
default,currencyservice-us-south-1-b86747dd6-zgg9w,istio-proxy,179,83
default,currencyservice-us-west-1-bd4775dfb-6sslz,server,65,31
default,currencyservice-us-west-1-bd4775dfb-6sslz,istio-proxy,46,86
default,currencyservice-us-west-1-bd4775dfb-789lp,server,111,30
default,currencyservice-us-west-1-bd4775dfb-789lp,istio-proxy,44,83
default,currencyservice-us-west-1-bd4775dfb-l8rcz,server,91,31
default,currencyservice-us-west-1-bd4775dfb-l8rcz,istio-proxy,58,83
default,emailservice-us-central-1-7c96878594-77gp2,server,1,40
default,emailservice-us-central-1-7c96878594-77gp2,istio-proxy,3,83
default,emailservice-us-central-1-7c96878594-78sjk,server,1,40
default,emailservice-us-central-1-7c96878594-78sjk,istio-proxy,3,83
default,emailservice-us-central-1-7c96878594-nhd7p,server,1,40
default,emailservice-us-central-1-7c96878594-nhd7p,istio-proxy,3,83
default,emailservice-us-east-1-54d87468f4-5dz45,server,22,41
default,emailservice-us-east-1-54d87468f4-5dz45,istio-proxy,29,83
default,emailservice-us-east-1-54d87468f4-6ps5w,server,20,41
default,emailservice-us-east-1-54d87468f4-6ps5w,istio-proxy,20,83
default,emailservice-us-east-1-54d87468f4-9xftf,server,23,41
default,emailservice-us-east-1-54d87468f4-9xftf,istio-proxy,36,85
default,emailservice-us-south-1-6b48d8df5-88xbb,server,39,41
default,emailservice-us-south-1-6b48d8df5-88xbb,istio-proxy,88,86
default,emailservice-us-south-1-6b48d8df5-cjcl9,server,86,41
default,emailservice-us-south-1-6b48d8df5-cjcl9,istio-proxy,70,84
default,emailservice-us-south-1-6b48d8df5-kbjsn,server,91,41
default,emailservice-us-south-1-6b48d8df5-kbjsn,istio-proxy,83,84
default,emailservice-us-west-1-5dd46cfcdf-hrpl5,server,44,41
default,emailservice-us-west-1-5dd46cfcdf-hrpl5,istio-proxy,53,84
default,emailservice-us-west-1-5dd46cfcdf-rhbzb,server,72,41
default,emailservice-us-west-1-5dd46cfcdf-rhbzb,istio-proxy,39,83
default,emailservice-us-west-1-5dd46cfcdf-rqtjx,server,39,41
default,emailservice-us-west-1-5dd46cfcdf-rqtjx,istio-proxy,36,84
default,frontend-us-central-1-5698b8bfdb-522vp,server,184,17
default,frontend-us-central-1-5698b8bfdb-522vp,istio-proxy,258,87
default,frontend-us-central-1-5698b8bfdb-hn7ql,server,240,17
default,frontend-us-central-1-5698b8bfdb-hn7ql,istio-proxy,231,85
default,frontend-us-central-1-5698b8bfdb-tt542,server,116,18
default,frontend-us-central-1-5698b8bfdb-tt542,istio-proxy,373,87
default,frontend-us-east-1-7b4c95f468-68vhx,server,35,16
default,frontend-us-east-1-7b4c95f468-68vhx,istio-proxy,163,85
default,frontend-us-east-1-7b4c95f468-kh8vh,server,152,17
default,frontend-us-east-1-7b4c95f468-kh8vh,istio-proxy,138,84
default,frontend-us-east-1-7b4c95f468-m7zh7,server,154,17
default,frontend-us-east-1-7b4c95f468-m7zh7,istio-proxy,258,85
default,frontend-us-south-1-7b6d86b949-hssvc,server,167,16
default,frontend-us-south-1-7b6d86b949-hssvc,istio-proxy,161,84
default,frontend-us-south-1-7b6d86b949-qz2k8,server,179,16
default,frontend-us-south-1-7b6d86b949-qz2k8,istio-proxy,305,85
default,frontend-us-south-1-7b6d86b949-w82rt,server,119,17
default,frontend-us-south-1-7b6d86b949-w82rt,istio-proxy,375,86
default,frontend-us-west-1-6fd8975c97-h6x5n,server,208,18
default,frontend-us-west-1-6fd8975c97-h6x5n,istio-proxy,311,88
default,frontend-us-west-1-6fd8975c97-n8bnk,server,237,19
