Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75f5cbc54d-2q2xh,server,2,139
default,adservice-us-central-1-75f5cbc54d-2q2xh,istio-proxy,3,84
default,adservice-us-central-1-75f5cbc54d-4db2n,server,2,137
default,adservice-us-central-1-75f5cbc54d-4db2n,istio-proxy,3,83
default,adservice-us-central-1-75f5cbc54d-h6rpc,server,2,138
default,adservice-us-central-1-75f5cbc54d-h6rpc,istio-proxy,3,82
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,server,2,143
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,istio-proxy,3,85
default,adservice-us-east-1-7b8f8ccf8b-khf2p,server,2,136
default,adservice-us-east-1-7b8f8ccf8b-khf2p,istio-proxy,4,84
default,adservice-us-east-1-7b8f8ccf8b-kktvt,server,4,145
default,adservice-us-east-1-7b8f8ccf8b-kktvt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-bb4wt,server,3,143
default,adservice-us-south-1-6d5b8b789b-bb4wt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-fcvsd,server,2,138
default,adservice-us-south-1-6d5b8b789b-fcvsd,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-krqsn,server,3,142
default,adservice-us-south-1-6d5b8b789b-krqsn,istio-proxy,3,83
default,adservice-us-west-1-6ff44864b-gpr7q,server,2,133
default,adservice-us-west-1-6ff44864b-gpr7q,istio-proxy,3,84
default,adservice-us-west-1-6ff44864b-kth8d,server,0,137
default,adservice-us-west-1-6ff44864b-kth8d,istio-proxy,3,82
default,adservice-us-west-1-6ff44864b-sp9nr,server,3,131
default,adservice-us-west-1-6ff44864b-sp9nr,istio-proxy,3,83
default,cartservice-us-central-1-588785c956-2mbh8,server,1,26
default,cartservice-us-central-1-588785c956-2mbh8,istio-proxy,78,83
default,cartservice-us-central-1-588785c956-tvrp9,server,254,40
default,cartservice-us-central-1-588785c956-tvrp9,istio-proxy,83,86
default,cartservice-us-central-1-588785c956-xnwdz,server,335,43
default,cartservice-us-central-1-588785c956-xnwdz,istio-proxy,57,84
default,cartservice-us-east-1-559b99bf44-7xmgr,server,1,26
default,cartservice-us-east-1-559b99bf44-7xmgr,istio-proxy,24,84
default,cartservice-us-east-1-559b99bf44-82gwd,server,307,44
default,cartservice-us-east-1-559b99bf44-82gwd,istio-proxy,3,83
default,cartservice-us-east-1-559b99bf44-pdvs5,server,175,45
default,cartservice-us-east-1-559b99bf44-pdvs5,istio-proxy,57,83
default,cartservice-us-south-1-6ff6c88896-6gpt4,server,89,36
default,cartservice-us-south-1-6ff6c88896-6gpt4,istio-proxy,103,85
default,cartservice-us-south-1-6ff6c88896-bccs4,server,392,44
default,cartservice-us-south-1-6ff6c88896-bccs4,istio-proxy,105,84
default,cartservice-us-south-1-6ff6c88896-zf9js,server,2,26
default,cartservice-us-south-1-6ff6c88896-zf9js,istio-proxy,111,84
default,cartservice-us-west-1-68794bc4dd-6bc8m,server,5,36
default,cartservice-us-west-1-68794bc4dd-6bc8m,istio-proxy,111,84
default,cartservice-us-west-1-68794bc4dd-jgp7k,server,272,52
default,cartservice-us-west-1-68794bc4dd-jgp7k,istio-proxy,175,86
default,cartservice-us-west-1-68794bc4dd-s8ns5,server,414,49
default,cartservice-us-west-1-68794bc4dd-s8ns5,istio-proxy,68,84
default,checkoutservice-us-central-1-69fb679c4f-f8z4w,server,0,8
default,checkoutservice-us-central-1-69fb679c4f-f8z4w,istio-proxy,3,84
default,checkoutservice-us-central-1-69fb679c4f-v2vjz,server,0,9
default,checkoutservice-us-central-1-69fb679c4f-v2vjz,istio-proxy,3,83
default,checkoutservice-us-central-1-69fb679c4f-vsd58,server,0,8
default,checkoutservice-us-central-1-69fb679c4f-vsd58,istio-proxy,4,84
default,checkoutservice-us-east-1-5d767877f-cjm9t,server,69,11
default,checkoutservice-us-east-1-5d767877f-cjm9t,istio-proxy,198,85
default,checkoutservice-us-east-1-5d767877f-kgvln,server,1,8
default,checkoutservice-us-east-1-5d767877f-kgvln,istio-proxy,114,85
default,checkoutservice-us-east-1-5d767877f-td94d,server,0,8
default,checkoutservice-us-east-1-5d767877f-td94d,istio-proxy,171,84
default,checkoutservice-us-south-1-8d8747c-95mfz,server,35,11
default,checkoutservice-us-south-1-8d8747c-95mfz,istio-proxy,212,85
default,checkoutservice-us-south-1-8d8747c-b4bvh,server,135,12
default,checkoutservice-us-south-1-8d8747c-b4bvh,istio-proxy,3,83
default,checkoutservice-us-south-1-8d8747c-jknst,server,131,11
default,checkoutservice-us-south-1-8d8747c-jknst,istio-proxy,270,85
default,checkoutservice-us-west-1-777d5cd4dc-42xcl,server,185,11
default,checkoutservice-us-west-1-777d5cd4dc-42xcl,istio-proxy,4,83
default,checkoutservice-us-west-1-777d5cd4dc-lljk4,server,115,11
default,checkoutservice-us-west-1-777d5cd4dc-lljk4,istio-proxy,214,85
default,checkoutservice-us-west-1-777d5cd4dc-mgq4s,server,98,10
default,checkoutservice-us-west-1-777d5cd4dc-mgq4s,istio-proxy,248,85
default,currencyservice-us-central-1-6fc978cd5f-6h5zw,server,0,18
default,currencyservice-us-central-1-6fc978cd5f-6h5zw,istio-proxy,3,84
default,currencyservice-us-central-1-6fc978cd5f-btlc5,server,0,18
default,currencyservice-us-central-1-6fc978cd5f-btlc5,istio-proxy,4,84
default,currencyservice-us-central-1-6fc978cd5f-wwt2r,server,0,18
default,currencyservice-us-central-1-6fc978cd5f-wwt2r,istio-proxy,3,84
default,currencyservice-us-east-1-6ccb465d5b-7v6fg,server,79,19
default,currencyservice-us-east-1-6ccb465d5b-7v6fg,istio-proxy,22,84
default,currencyservice-us-east-1-6ccb465d5b-bck8v,server,74,20
default,currencyservice-us-east-1-6ccb465d5b-bck8v,istio-proxy,44,84
default,currencyservice-us-east-1-6ccb465d5b-frh7w,server,0,18
default,currencyservice-us-east-1-6ccb465d5b-frh7w,istio-proxy,17,83
default,currencyservice-us-south-1-b86747dd6-vchx4,server,0,18
default,currencyservice-us-south-1-b86747dd6-vchx4,istio-proxy,4,84
default,currencyservice-us-south-1-b86747dd6-vqbwh,server,0,18
default,currencyservice-us-south-1-b86747dd6-vqbwh,istio-proxy,96,84
default,currencyservice-us-south-1-b86747dd6-zgg9w,server,205,26
default,currencyservice-us-south-1-b86747dd6-zgg9w,istio-proxy,57,83
default,currencyservice-us-west-1-bd4775dfb-6sslz,server,107,24
default,currencyservice-us-west-1-bd4775dfb-6sslz,istio-proxy,48,86
default,currencyservice-us-west-1-bd4775dfb-789lp,server,0,18
default,currencyservice-us-west-1-bd4775dfb-789lp,istio-proxy,107,83
default,currencyservice-us-west-1-bd4775dfb-l8rcz,server,92,26
default,currencyservice-us-west-1-bd4775dfb-l8rcz,istio-proxy,47,83
default,emailservice-us-central-1-7c96878594-77gp2,server,1,40
default,emailservice-us-central-1-7c96878594-77gp2,istio-proxy,3,83
default,emailservice-us-central-1-7c96878594-78sjk,server,1,40
default,emailservice-us-central-1-7c96878594-78sjk,istio-proxy,3,83
default,emailservice-us-central-1-7c96878594-nhd7p,server,1,40
default,emailservice-us-central-1-7c96878594-nhd7p,istio-proxy,4,83
default,emailservice-us-east-1-54d87468f4-5dz45,server,15,41
default,emailservice-us-east-1-54d87468f4-5dz45,istio-proxy,16,83
default,emailservice-us-east-1-54d87468f4-6ps5w,server,28,40
default,emailservice-us-east-1-54d87468f4-6ps5w,istio-proxy,19,83
default,emailservice-us-east-1-54d87468f4-9xftf,server,1,40
default,emailservice-us-east-1-54d87468f4-9xftf,istio-proxy,20,85
default,emailservice-us-south-1-6b48d8df5-88xbb,server,55,41
default,emailservice-us-south-1-6b48d8df5-88xbb,istio-proxy,76,86
default,emailservice-us-south-1-6b48d8df5-cjcl9,server,28,41
default,emailservice-us-south-1-6b48d8df5-cjcl9,istio-proxy,14,84
default,emailservice-us-south-1-6b48d8df5-kbjsn,server,9,40
default,emailservice-us-south-1-6b48d8df5-kbjsn,istio-proxy,49,84
default,emailservice-us-west-1-5dd46cfcdf-hrpl5,server,62,41
default,emailservice-us-west-1-5dd46cfcdf-hrpl5,istio-proxy,4,84
default,emailservice-us-west-1-5dd46cfcdf-rhbzb,server,54,41
default,emailservice-us-west-1-5dd46cfcdf-rhbzb,istio-proxy,16,82
default,emailservice-us-west-1-5dd46cfcdf-rqtjx,server,37,41
default,emailservice-us-west-1-5dd46cfcdf-rqtjx,istio-proxy,57,84
default,frontend-us-central-1-5698b8bfdb-522vp,server,21,15
default,frontend-us-central-1-5698b8bfdb-522vp,istio-proxy,27,84
default,frontend-us-central-1-5698b8bfdb-hn7ql,server,181,16
default,frontend-us-central-1-5698b8bfdb-hn7ql,istio-proxy,320,84
default,frontend-us-central-1-5698b8bfdb-tt542,server,88,17
default,frontend-us-central-1-5698b8bfdb-tt542,istio-proxy,311,86
default,frontend-us-east-1-7b4c95f468-68vhx,server,132,16
default,frontend-us-east-1-7b4c95f468-68vhx,istio-proxy,148,85
default,frontend-us-east-1-7b4c95f468-kh8vh,server,63,16
default,frontend-us-east-1-7b4c95f468-kh8vh,istio-proxy,38,84
default,frontend-us-east-1-7b4c95f468-m7zh7,server,24,15
default,frontend-us-east-1-7b4c95f468-m7zh7,istio-proxy,3,82
default,frontend-us-south-1-7b6d86b949-hssvc,server,29,14
default,frontend-us-south-1-7b6d86b949-hssvc,istio-proxy,198,84
default,frontend-us-south-1-7b6d86b949-qz2k8,server,94,15
default,frontend-us-south-1-7b6d86b949-qz2k8,istio-proxy,239,86
default,frontend-us-south-1-7b6d86b949-w82rt,server,0,11
default,frontend-us-south-1-7b6d86b949-w82rt,istio-proxy,3,84
default,frontend-us-west-1-6fd8975c97-h6x5n,server,233,16
default,frontend-us-west-1-6fd8975c97-h6x5n,istio-proxy,301,88
default,frontend-us-west-1-6fd8975c97-n8bnk,server,4,13
default,frontend-us-west-1-6fd8975c97-n8bnk,istio-proxy,114,86
default,frontend-us-west-1-6fd8975c97-wzh2r,server,0,11
default,frontend-us-west-1-6fd8975c97-wzh2r,istio-proxy,113,83
default,paymentservice-us-central-1-6db86945b-7sbvr,server,0,14
default,paymentservice-us-central-1-6db86945b-7sbvr,istio-proxy,3,84
default,paymentservice-us-central-1-6db86945b-8jcrr,server,0,14
default,paymentservice-us-central-1-6db86945b-8jcrr,istio-proxy,3,83
default,paymentservice-us-central-1-6db86945b-zm2vj,server,0,15
default,paymentservice-us-central-1-6db86945b-zm2vj,istio-proxy,3,82
default,paymentservice-us-east-1-68466b4dbd-6g5ls,server,30,19
default,paymentservice-us-east-1-68466b4dbd-6g5ls,istio-proxy,24,84
default,paymentservice-us-east-1-68466b4dbd-qbwzz,server,19,16
default,paymentservice-us-east-1-68466b4dbd-qbwzz,istio-proxy,10,83
default,paymentservice-us-east-1-68466b4dbd-tf2fc,server,8,15
default,paymentservice-us-east-1-68466b4dbd-tf2fc,istio-proxy,15,85
default,paymentservice-us-south-1-68d65c4696-9tjs4,server,96,20
default,paymentservice-us-south-1-68d65c4696-9tjs4,istio-proxy,49,84
default,paymentservice-us-south-1-68d65c4696-c48l8,server,18,16
default,paymentservice-us-south-1-68d65c4696-c48l8,istio-proxy,82,83
default,paymentservice-us-south-1-68d65c4696-qwt8k,server,61,17
default,paymentservice-us-south-1-68d65c4696-qwt8k,istio-proxy,24,84
default,paymentservice-us-west-1-7cf4799f8c-5x8pl,server,74,17
default,paymentservice-us-west-1-7cf4799f8c-5x8pl,istio-proxy,34,84
default,paymentservice-us-west-1-7cf4799f8c-c2d69,server,0,14
default,paymentservice-us-west-1-7cf4799f8c-c2d69,istio-proxy,52,84
default,paymentservice-us-west-1-7cf4799f8c-jqvx8,server,66,17
default,paymentservice-us-west-1-7cf4799f8c-jqvx8,istio-proxy,25,84
default,productcatalogservice-us-central-1-8bc47cd75-8q8fl,server,27,9
default,productcatalogservice-us-central-1-8bc47cd75-8q8fl,istio-proxy,4,82
default,productcatalogservice-us-central-1-8bc47cd75-vrmx4,server,0,7
default,productcatalogservice-us-central-1-8bc47cd75-vrmx4,istio-proxy,69,86
default,productcatalogservice-us-central-1-8bc47cd75-wsszc,server,0,7
default,productcatalogservice-us-central-1-8bc47cd75-wsszc,istio-proxy,4,83
default,productcatalogservice-us-east-1-6b696d76bf-6kftn,server,30,9
default,productcatalogservice-us-east-1-6b696d76bf-6kftn,istio-proxy,46,84
default,productcatalogservice-us-east-1-6b696d76bf-gkf5q,server,24,9
default,productcatalogservice-us-east-1-6b696d76bf-gkf5q,istio-proxy,3,82
default,productcatalogservice-us-east-1-6b696d76bf-qsmq9,server,33,9
default,productcatalogservice-us-east-1-6b696d76bf-qsmq9,istio-proxy,25,85
default,productcatalogservice-us-south-1-768c8b57f5-2t4zq,server,32,9
default,productcatalogservice-us-south-1-768c8b57f5-2t4zq,istio-proxy,107,86
default,productcatalogservice-us-south-1-768c8b57f5-9jllh,server,19,9
default,productcatalogservice-us-south-1-768c8b57f5-9jllh,istio-proxy,60,83
default,productcatalogservice-us-south-1-768c8b57f5-pbdkp,server,2,8
default,productcatalogservice-us-south-1-768c8b57f5-pbdkp,istio-proxy,89,85
default,productcatalogservice-us-west-1-7df84bbf7-2grr2,server,0,7
default,productcatalogservice-us-west-1-7df84bbf7-2grr2,istio-proxy,3,81
default,productcatalogservice-us-west-1-7df84bbf7-lf9xx,server,0,6
default,productcatalogservice-us-west-1-7df84bbf7-lf9xx,istio-proxy,3,82
default,productcatalogservice-us-west-1-7df84bbf7-zltbp,server,37,9
default,productcatalogservice-us-west-1-7df84bbf7-zltbp,istio-proxy,16,83
default,recommendationservice-us-central-1-5c79cdfd66-f9mbk,server,69,41
default,recommendationservice-us-central-1-5c79cdfd66-f9mbk,istio-proxy,3,85
default,recommendationservice-us-central-1-5c79cdfd66-r45n5,server,1,39
default,recommendationservice-us-central-1-5c79cdfd66-r45n5,istio-proxy,3,84
default,recommendationservice-us-central-1-5c79cdfd66-rwtrs,server,1,39
default,recommendationservice-us-central-1-5c79cdfd66-rwtrs,istio-proxy,28,83
default,recommendationservice-us-east-1-866d9bf7dd-hxjqc,server,43,40
default,recommendationservice-us-east-1-866d9bf7dd-hxjqc,istio-proxy,5,83
default,recommendationservice-us-east-1-866d9bf7dd-mrflf,server,53,40
default,recommendationservice-us-east-1-866d9bf7dd-mrflf,istio-proxy,55,84
default,recommendationservice-us-east-1-866d9bf7dd-tph9f,server,36,40
default,recommendationservice-us-east-1-866d9bf7dd-tph9f,istio-proxy,43,82
default,recommendationservice-us-south-1-68dc644598-2q89x,server,1,39
default,recommendationservice-us-south-1-68dc644598-2q89x,istio-proxy,48,84
default,recommendationservice-us-south-1-68dc644598-2qzl7,server,68,40
default,recommendationservice-us-south-1-68dc644598-2qzl7,istio-proxy,53,85
default,recommendationservice-us-south-1-68dc644598-vfx6s,server,29,39
default,recommendationservice-us-south-1-68dc644598-vfx6s,istio-proxy,54,86
default,recommendationservice-us-west-1-5fc898f596-bm2hb,server,46,40
default,recommendationservice-us-west-1-5fc898f596-bm2hb,istio-proxy,6,82
default,recommendationservice-us-west-1-5fc898f596-fjcr9,server,102,40
default,recommendationservice-us-west-1-5fc898f596-fjcr9,istio-proxy,65,87
default,recommendationservice-us-west-1-5fc898f596-kn9rc,server,81,40
default,recommendationservice-us-west-1-5fc898f596-kn9rc,istio-proxy,80,83
default,redis-cart-us-central-1-68c849d67c-6gwj7,redis,1,3
default,redis-cart-us-central-1-68c849d67c-6gwj7,istio-proxy,16,82
default,redis-cart-us-central-1-68c849d67c-nl4dz,redis,1,3
default,redis-cart-us-central-1-68c849d67c-nl4dz,istio-proxy,3,80
default,redis-cart-us-central-1-68c849d67c-pxht2,redis,17,3
default,redis-cart-us-central-1-68c849d67c-pxht2,istio-proxy,3,83
