Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75f5cbc54d-2q2xh,server,3,143
default,adservice-us-central-1-75f5cbc54d-2q2xh,istio-proxy,3,84
default,adservice-us-central-1-75f5cbc54d-4db2n,server,2,146
default,adservice-us-central-1-75f5cbc54d-4db2n,istio-proxy,3,83
default,adservice-us-central-1-75f5cbc54d-h6rpc,server,3,143
default,adservice-us-central-1-75f5cbc54d-h6rpc,istio-proxy,3,82
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,server,2,143
default,adservice-us-east-1-7b8f8ccf8b-5mvqd,istio-proxy,3,85
default,adservice-us-east-1-7b8f8ccf8b-khf2p,server,3,141
default,adservice-us-east-1-7b8f8ccf8b-khf2p,istio-proxy,3,84
default,adservice-us-east-1-7b8f8ccf8b-kktvt,server,2,150
default,adservice-us-east-1-7b8f8ccf8b-kktvt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-bb4wt,server,2,148
default,adservice-us-south-1-6d5b8b789b-bb4wt,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-fcvsd,server,4,148
default,adservice-us-south-1-6d5b8b789b-fcvsd,istio-proxy,3,83
default,adservice-us-south-1-6d5b8b789b-krqsn,server,3,142
default,adservice-us-south-1-6d5b8b789b-krqsn,istio-proxy,3,83
default,adservice-us-west-1-6ff44864b-gpr7q,server,4,143
default,adservice-us-west-1-6ff44864b-gpr7q,istio-proxy,4,84
default,adservice-us-west-1-6ff44864b-kth8d,server,4,142
default,adservice-us-west-1-6ff44864b-kth8d,istio-proxy,4,82
default,adservice-us-west-1-6ff44864b-sp9nr,server,3,141
default,adservice-us-west-1-6ff44864b-sp9nr,istio-proxy,3,83
default,cartservice-us-central-1-588785c956-2mbh8,server,349,47
default,cartservice-us-central-1-588785c956-2mbh8,istio-proxy,78,83
default,cartservice-us-central-1-588785c956-tvrp9,server,257,47
default,cartservice-us-central-1-588785c956-tvrp9,istio-proxy,83,86
default,cartservice-us-central-1-588785c956-xnwdz,server,197,54
default,cartservice-us-central-1-588785c956-xnwdz,istio-proxy,124,84
default,cartservice-us-east-1-559b99bf44-7xmgr,server,338,47
default,cartservice-us-east-1-559b99bf44-7xmgr,istio-proxy,125,84
default,cartservice-us-east-1-559b99bf44-82gwd,server,175,51
default,cartservice-us-east-1-559b99bf44-82gwd,istio-proxy,119,84
default,cartservice-us-east-1-559b99bf44-pdvs5,server,181,51
default,cartservice-us-east-1-559b99bf44-pdvs5,istio-proxy,113,83
default,cartservice-us-south-1-6ff6c88896-6gpt4,server,517,60
default,cartservice-us-south-1-6ff6c88896-6gpt4,istio-proxy,253,85
default,cartservice-us-south-1-6ff6c88896-bccs4,server,364,62
default,cartservice-us-south-1-6ff6c88896-bccs4,istio-proxy,257,84
default,cartservice-us-south-1-6ff6c88896-zf9js,server,445,69
