Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84747485bc-279mp,server,0,219
default,adservice-us-central-1-84747485bc-279mp,istio-proxy,2,84
default,adservice-us-central-1-84747485bc-rdzgh,server,0,219
default,adservice-us-central-1-84747485bc-rdzgh,istio-proxy,2,85
default,adservice-us-central-1-84747485bc-vcwg4,server,2,226
default,adservice-us-central-1-84747485bc-vcwg4,istio-proxy,2,85
default,adservice-us-east-1-779fbf78c-25m47,server,1,218
default,adservice-us-east-1-779fbf78c-25m47,istio-proxy,3,84
default,adservice-us-east-1-779fbf78c-66rlj,server,0,217
default,adservice-us-east-1-779fbf78c-66rlj,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-8g5bs,server,1,220
default,adservice-us-east-1-779fbf78c-8g5bs,istio-proxy,2,85
default,adservice-us-south-1-578f649979-f5f8c,server,3,220
default,adservice-us-south-1-578f649979-f5f8c,istio-proxy,7,86
default,adservice-us-south-1-578f649979-kt2lv,server,0,218
default,adservice-us-south-1-578f649979-kt2lv,istio-proxy,2,83
default,adservice-us-south-1-578f649979-pbwsm,server,0,219
default,adservice-us-south-1-578f649979-pbwsm,istio-proxy,2,84
default,adservice-us-west-1-79d977974d-d2vsz,server,3,156
default,adservice-us-west-1-79d977974d-d2vsz,istio-proxy,4,82
default,adservice-us-west-1-79d977974d-rw6sv,server,4,108
default,adservice-us-west-1-79d977974d-rw6sv,istio-proxy,3,82
default,adservice-us-west-1-79d977974d-xh777,server,5,126
default,adservice-us-west-1-79d977974d-xh777,istio-proxy,3,82
default,cartservice-us-central-1-75887dd45d-nt7p2,server,0,61
default,cartservice-us-central-1-75887dd45d-nt7p2,istio-proxy,3,85
default,cartservice-us-central-1-75887dd45d-q8zwb,server,0,57
default,cartservice-us-central-1-75887dd45d-q8zwb,istio-proxy,6,85
default,cartservice-us-central-1-75887dd45d-tsm2d,server,0,57
default,cartservice-us-central-1-75887dd45d-tsm2d,istio-proxy,2,84
default,cartservice-us-east-1-76494b94f4-gbszh,server,0,59
default,cartservice-us-east-1-76494b94f4-gbszh,istio-proxy,2,86
default,cartservice-us-east-1-76494b94f4-m52t8,server,0,66
default,cartservice-us-east-1-76494b94f4-m52t8,istio-proxy,2,86
