Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-766fc8b8f-2c97s,server,2,129
default,adservice-us-central-1-766fc8b8f-2c97s,istio-proxy,3,84
default,adservice-us-central-1-766fc8b8f-dzqxc,server,2,138
default,adservice-us-central-1-766fc8b8f-dzqxc,istio-proxy,5,84
default,adservice-us-central-1-766fc8b8f-l922n,server,2,135
default,adservice-us-central-1-766fc8b8f-l922n,istio-proxy,4,84
default,adservice-us-east-1-776ffb465c-56jtp,server,3,136
default,adservice-us-east-1-776ffb465c-56jtp,istio-proxy,3,85
default,adservice-us-east-1-776ffb465c-6cvzz,server,4,138
default,adservice-us-east-1-776ffb465c-6cvzz,istio-proxy,3,83
default,adservice-us-east-1-776ffb465c-fhs7s,server,2,140
default,adservice-us-east-1-776ffb465c-fhs7s,istio-proxy,3,82
default,adservice-us-south-1-74c8f5b7c-6wf8z,server,2,138
default,adservice-us-south-1-74c8f5b7c-6wf8z,istio-proxy,3,85
default,adservice-us-south-1-74c8f5b7c-hpjdq,server,2,137
default,adservice-us-south-1-74c8f5b7c-hpjdq,istio-proxy,4,85
default,adservice-us-south-1-74c8f5b7c-p74gd,server,2,136
default,adservice-us-south-1-74c8f5b7c-p74gd,istio-proxy,3,84
default,adservice-us-west-1-f7f599f6f-5fc8h,server,3,137
default,adservice-us-west-1-f7f599f6f-5fc8h,istio-proxy,5,81
default,adservice-us-west-1-f7f599f6f-n482t,server,3,132
default,adservice-us-west-1-f7f599f6f-n482t,istio-proxy,4,85
default,adservice-us-west-1-f7f599f6f-nwr4v,server,3,139
default,adservice-us-west-1-f7f599f6f-nwr4v,istio-proxy,3,84
default,cartservice-us-central-1-657675bf9b-2s99r,server,6,28
default,cartservice-us-central-1-657675bf9b-2s99r,istio-proxy,3,83
default,cartservice-us-central-1-657675bf9b-2x5r5,server,7,28
default,cartservice-us-central-1-657675bf9b-2x5r5,istio-proxy,3,85
default,cartservice-us-central-1-657675bf9b-lsnkq,server,1,28
default,cartservice-us-central-1-657675bf9b-lsnkq,istio-proxy,3,84
default,cartservice-us-east-1-6b99788b4d-62xq5,server,11,28
default,cartservice-us-east-1-6b99788b4d-62xq5,istio-proxy,3,84
default,cartservice-us-east-1-6b99788b4d-bzlxm,server,20,30
default,cartservice-us-east-1-6b99788b4d-bzlxm,istio-proxy,3,87
default,cartservice-us-east-1-6b99788b4d-stjl2,server,7,28
default,cartservice-us-east-1-6b99788b4d-stjl2,istio-proxy,3,83
default,cartservice-us-south-1-65477d856d-9bkdv,server,15,27
default,cartservice-us-south-1-65477d856d-9bkdv,istio-proxy,5,83
default,cartservice-us-south-1-65477d856d-jzv2h,server,5,27
default,cartservice-us-south-1-65477d856d-jzv2h,istio-proxy,4,84
default,cartservice-us-south-1-65477d856d-m5d8z,server,8,28
default,cartservice-us-south-1-65477d856d-m5d8z,istio-proxy,5,84
default,cartservice-us-west-1-85db47cf48-cjpv4,server,268,36
default,cartservice-us-west-1-85db47cf48-cjpv4,istio-proxy,29,84
default,cartservice-us-west-1-85db47cf48-hb8ht,server,108,34
default,cartservice-us-west-1-85db47cf48-hb8ht,istio-proxy,18,85
default,cartservice-us-west-1-85db47cf48-zs44t,server,290,38
default,cartservice-us-west-1-85db47cf48-zs44t,istio-proxy,9,82
default,checkoutservice-us-central-1-b6cd946c7-6fgfh,server,0,8
default,checkoutservice-us-central-1-b6cd946c7-6fgfh,istio-proxy,6,83
default,checkoutservice-us-central-1-b6cd946c7-kkslt,server,0,8
default,checkoutservice-us-central-1-b6cd946c7-kkslt,istio-proxy,3,85
default,checkoutservice-us-central-1-b6cd946c7-md2tb,server,0,8
default,checkoutservice-us-central-1-b6cd946c7-md2tb,istio-proxy,3,83
default,checkoutservice-us-east-1-bcf7ddfff-46ksd,server,0,8
default,checkoutservice-us-east-1-bcf7ddfff-46ksd,istio-proxy,3,87
default,checkoutservice-us-east-1-bcf7ddfff-kwlmh,server,0,8
default,checkoutservice-us-east-1-bcf7ddfff-kwlmh,istio-proxy,4,85
default,checkoutservice-us-east-1-bcf7ddfff-q6blt,server,0,8
default,checkoutservice-us-east-1-bcf7ddfff-q6blt,istio-proxy,4,84
default,checkoutservice-us-south-1-7bfcdf7bdf-crbjd,server,0,8
default,checkoutservice-us-south-1-7bfcdf7bdf-crbjd,istio-proxy,3,84
default,checkoutservice-us-south-1-7bfcdf7bdf-hbltm,server,0,8
default,checkoutservice-us-south-1-7bfcdf7bdf-hbltm,istio-proxy,3,85
default,checkoutservice-us-south-1-7bfcdf7bdf-ssw5k,server,0,8
default,checkoutservice-us-south-1-7bfcdf7bdf-ssw5k,istio-proxy,3,86
default,checkoutservice-us-west-1-7f547f87b5-8d5ns,server,36,9
default,checkoutservice-us-west-1-7f547f87b5-8d5ns,istio-proxy,162,84
default,checkoutservice-us-west-1-7f547f87b5-b8r57,server,61,10
default,checkoutservice-us-west-1-7f547f87b5-b8r57,istio-proxy,153,85
default,checkoutservice-us-west-1-7f547f87b5-zw8t7,server,56,10
default,checkoutservice-us-west-1-7f547f87b5-zw8t7,istio-proxy,36,85
