Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84747485bc-279mp,server,1,201
default,adservice-us-central-1-84747485bc-279mp,istio-proxy,3,83
default,adservice-us-central-1-84747485bc-rdzgh,server,1,202
default,adservice-us-central-1-84747485bc-rdzgh,istio-proxy,2,85
default,adservice-us-central-1-84747485bc-vcwg4,server,1,202
default,adservice-us-central-1-84747485bc-vcwg4,istio-proxy,3,86
default,adservice-us-east-1-779fbf78c-25m47,server,1,202
default,adservice-us-east-1-779fbf78c-25m47,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-66rlj,server,0,199
default,adservice-us-east-1-779fbf78c-66rlj,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-8g5bs,server,1,204
default,adservice-us-east-1-779fbf78c-8g5bs,istio-proxy,3,84
default,adservice-us-south-1-578f649979-f5f8c,server,1,204
default,adservice-us-south-1-578f649979-f5f8c,istio-proxy,3,85
default,adservice-us-south-1-578f649979-kt2lv,server,1,200
default,adservice-us-south-1-578f649979-kt2lv,istio-proxy,3,82
default,adservice-us-south-1-578f649979-pbwsm,server,1,201
default,adservice-us-south-1-578f649979-pbwsm,istio-proxy,3,84
default,adservice-us-west-1-64c98447d6-9kgzq,server,3,140
default,adservice-us-west-1-64c98447d6-9kgzq,istio-proxy,3,83
default,adservice-us-west-1-64c98447d6-k62f2,server,3,118
default,adservice-us-west-1-64c98447d6-k62f2,istio-proxy,3,82
default,adservice-us-west-1-64c98447d6-l5wxv,server,72,103
default,adservice-us-west-1-64c98447d6-l5wxv,istio-proxy,8,82
default,cartservice-us-central-1-75887dd45d-nt7p2,server,0,46
default,cartservice-us-central-1-75887dd45d-nt7p2,istio-proxy,3,84
default,cartservice-us-central-1-75887dd45d-q8zwb,server,0,47
default,cartservice-us-central-1-75887dd45d-q8zwb,istio-proxy,3,84
default,cartservice-us-central-1-75887dd45d-tsm2d,server,0,50
default,cartservice-us-central-1-75887dd45d-tsm2d,istio-proxy,4,85
default,cartservice-us-east-1-76494b94f4-gbszh,server,0,47
default,cartservice-us-east-1-76494b94f4-gbszh,istio-proxy,3,85
default,cartservice-us-east-1-76494b94f4-m52t8,server,0,48
default,cartservice-us-east-1-76494b94f4-m52t8,istio-proxy,4,86
default,cartservice-us-east-1-76494b94f4-n8824,server,1,46
default,cartservice-us-east-1-76494b94f4-n8824,istio-proxy,2,86
default,cartservice-us-south-1-5cc58c5f8-4xt6c,server,1,47
default,cartservice-us-south-1-5cc58c5f8-4xt6c,istio-proxy,4,85
default,cartservice-us-south-1-5cc58c5f8-9pl5p,server,0,50
default,cartservice-us-south-1-5cc58c5f8-9pl5p,istio-proxy,5,85
default,cartservice-us-south-1-5cc58c5f8-bwt8f,server,0,45
default,cartservice-us-south-1-5cc58c5f8-bwt8f,istio-proxy,3,86
default,cartservice-us-west-1-677997f56f-29ztd,server,61,36
default,cartservice-us-west-1-677997f56f-29ztd,istio-proxy,135,84
default,cartservice-us-west-1-677997f56f-p59m6,server,9,29
default,cartservice-us-west-1-677997f56f-p59m6,istio-proxy,5,82
default,cartservice-us-west-1-677997f56f-rfb7p,server,8,24
default,cartservice-us-west-1-677997f56f-rfb7p,istio-proxy,4,82
default,checkoutservice-us-central-1-5494c796cf-5qdsh,server,0,9
default,checkoutservice-us-central-1-5494c796cf-5qdsh,istio-proxy,3,85
default,checkoutservice-us-central-1-5494c796cf-6mk8m,server,0,9
default,checkoutservice-us-central-1-5494c796cf-6mk8m,istio-proxy,3,83
default,checkoutservice-us-central-1-5494c796cf-v8fl7,server,0,8
default,checkoutservice-us-central-1-5494c796cf-v8fl7,istio-proxy,4,85
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,server,0,10
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,istio-proxy,12,84
default,checkoutservice-us-east-1-8494fcd6c7-985pc,server,0,8
default,checkoutservice-us-east-1-8494fcd6c7-985pc,istio-proxy,12,85
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,server,0,9
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,istio-proxy,3,85
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,server,0,8
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,istio-proxy,4,84
default,checkoutservice-us-south-1-7b8689c94c-mdd62,server,0,9
default,checkoutservice-us-south-1-7b8689c94c-mdd62,istio-proxy,3,85
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,server,0,8
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,istio-proxy,3,85
default,checkoutservice-us-west-1-6f6fd5f85b-9svhg,server,0,8
default,checkoutservice-us-west-1-6f6fd5f85b-9svhg,istio-proxy,3,83
default,checkoutservice-us-west-1-6f6fd5f85b-tl8vv,server,0,8
default,checkoutservice-us-west-1-6f6fd5f85b-tl8vv,istio-proxy,4,83
default,checkoutservice-us-west-1-6f6fd5f85b-xjtzq,server,0,7
default,checkoutservice-us-west-1-6f6fd5f85b-xjtzq,istio-proxy,3,83
default,currencyservice-us-central-1-7c5d75576f-8gkv9,server,0,20
default,currencyservice-us-central-1-7c5d75576f-8gkv9,istio-proxy,3,85
default,currencyservice-us-central-1-7c5d75576f-c2m8v,server,0,19
default,currencyservice-us-central-1-7c5d75576f-c2m8v,istio-proxy,3,84
default,currencyservice-us-central-1-7c5d75576f-v2gnb,server,0,19
default,currencyservice-us-central-1-7c5d75576f-v2gnb,istio-proxy,3,85
default,currencyservice-us-east-1-64dbdc466f-v64wr,server,0,19
default,currencyservice-us-east-1-64dbdc466f-v64wr,istio-proxy,3,84
default,currencyservice-us-east-1-64dbdc466f-v7d64,server,0,19
default,currencyservice-us-east-1-64dbdc466f-v7d64,istio-proxy,4,83
default,currencyservice-us-east-1-64dbdc466f-wmshr,server,0,20
default,currencyservice-us-east-1-64dbdc466f-wmshr,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-nqv5r,server,0,18
default,currencyservice-us-south-1-5b56b5849c-nqv5r,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-pnv7j,server,0,19
default,currencyservice-us-south-1-5b56b5849c-pnv7j,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-swnnt,server,1,19
default,currencyservice-us-south-1-5b56b5849c-swnnt,istio-proxy,4,86
default,currencyservice-us-west-1-c77dc4b6d-45sph,server,0,18
default,currencyservice-us-west-1-c77dc4b6d-45sph,istio-proxy,4,83
default,currencyservice-us-west-1-c77dc4b6d-csvjb,server,0,15
default,currencyservice-us-west-1-c77dc4b6d-csvjb,istio-proxy,4,85
default,currencyservice-us-west-1-c77dc4b6d-hg88s,server,0,18
default,currencyservice-us-west-1-c77dc4b6d-hg88s,istio-proxy,5,84
default,emailservice-us-central-1-868d9498f5-g4b5z,server,1,40
default,emailservice-us-central-1-868d9498f5-g4b5z,istio-proxy,4,86
default,emailservice-us-central-1-868d9498f5-npm7w,server,1,40
