Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-697ffb6f65-b9g97,server,2,197
default,adservice-us-central-1-697ffb6f65-b9g97,istio-proxy,5,86
default,adservice-us-central-1-697ffb6f65-vnjrt,server,5,198
default,adservice-us-central-1-697ffb6f65-vnjrt,istio-proxy,7,83
default,adservice-us-central-1-697ffb6f65-wkwpt,server,4,196
default,adservice-us-central-1-697ffb6f65-wkwpt,istio-proxy,8,84
default,adservice-us-east-1-bd7744445-g7bf4,server,0,198
default,adservice-us-east-1-bd7744445-g7bf4,istio-proxy,6,83
default,adservice-us-east-1-bd7744445-smldn,server,6,197
default,adservice-us-east-1-bd7744445-smldn,istio-proxy,3,84
default,adservice-us-east-1-bd7744445-v9cdp,server,3,195
default,adservice-us-east-1-bd7744445-v9cdp,istio-proxy,8,84
default,adservice-us-south-1-687567c77-2dc9p,server,5,196
default,adservice-us-south-1-687567c77-2dc9p,istio-proxy,4,85
default,adservice-us-south-1-687567c77-nhmrf,server,7,198
default,adservice-us-south-1-687567c77-nhmrf,istio-proxy,6,84
default,adservice-us-south-1-687567c77-v8bdw,server,3,197
default,adservice-us-south-1-687567c77-v8bdw,istio-proxy,6,83
default,adservice-us-west-1-76b88b9d65-826rh,server,3,118
default,adservice-us-west-1-76b88b9d65-826rh,istio-proxy,6,82
default,adservice-us-west-1-76b88b9d65-9qrtm,server,6,112
default,adservice-us-west-1-76b88b9d65-9qrtm,istio-proxy,7,83
default,adservice-us-west-1-76b88b9d65-bwb4m,server,3,108
default,adservice-us-west-1-76b88b9d65-bwb4m,istio-proxy,8,84
default,cartservice-us-central-1-557c866dcb-427v5,server,0,37
default,cartservice-us-central-1-557c866dcb-427v5,istio-proxy,6,83
default,cartservice-us-central-1-557c866dcb-j56sp,server,0,37
default,cartservice-us-central-1-557c866dcb-j56sp,istio-proxy,8,85
default,cartservice-us-central-1-557c866dcb-mh8bs,server,0,37
default,cartservice-us-central-1-557c866dcb-mh8bs,istio-proxy,3,84
default,cartservice-us-east-1-685964d4d4-5kpv4,server,0,37
default,cartservice-us-east-1-685964d4d4-5kpv4,istio-proxy,7,87
default,cartservice-us-east-1-685964d4d4-b7vbw,server,0,37
default,cartservice-us-east-1-685964d4d4-b7vbw,istio-proxy,6,84
default,cartservice-us-east-1-685964d4d4-gxg58,server,0,38
default,cartservice-us-east-1-685964d4d4-gxg58,istio-proxy,6,88
default,cartservice-us-south-1-5bdf74b556-dxw7z,server,1,38
default,cartservice-us-south-1-5bdf74b556-dxw7z,istio-proxy,7,84
default,cartservice-us-south-1-5bdf74b556-jb45j,server,0,37
default,cartservice-us-south-1-5bdf74b556-jb45j,istio-proxy,8,85
default,cartservice-us-south-1-5bdf74b556-k7tg2,server,0,37
default,cartservice-us-south-1-5bdf74b556-k7tg2,istio-proxy,6,85
default,cartservice-us-west-1-9bc5df676-dt88f,server,13,28
default,cartservice-us-west-1-9bc5df676-dt88f,istio-proxy,4,83
default,cartservice-us-west-1-9bc5df676-g8txq,server,21,28
default,cartservice-us-west-1-9bc5df676-g8txq,istio-proxy,5,86
default,cartservice-us-west-1-9bc5df676-gln9n,server,18,28
default,cartservice-us-west-1-9bc5df676-gln9n,istio-proxy,6,85
default,checkoutservice-us-central-1-6949b58885-96pk8,server,0,9
default,checkoutservice-us-central-1-6949b58885-96pk8,istio-proxy,3,86
default,checkoutservice-us-central-1-6949b58885-shxt9,server,0,9
default,checkoutservice-us-central-1-6949b58885-shxt9,istio-proxy,6,87
default,checkoutservice-us-central-1-6949b58885-z4x72,server,0,9
default,checkoutservice-us-central-1-6949b58885-z4x72,istio-proxy,5,82
default,checkoutservice-us-east-1-6c6795d4c-2qmjp,server,0,9
default,checkoutservice-us-east-1-6c6795d4c-2qmjp,istio-proxy,4,84
default,checkoutservice-us-east-1-6c6795d4c-5mfrp,server,0,9
default,checkoutservice-us-east-1-6c6795d4c-5mfrp,istio-proxy,8,84
default,checkoutservice-us-east-1-6c6795d4c-6dtc6,server,0,9
default,checkoutservice-us-east-1-6c6795d4c-6dtc6,istio-proxy,8,84
default,checkoutservice-us-south-1-5b48478d45-ftx6j,server,0,9
default,checkoutservice-us-south-1-5b48478d45-ftx6j,istio-proxy,6,86
default,checkoutservice-us-south-1-5b48478d45-kspb6,server,0,9
default,checkoutservice-us-south-1-5b48478d45-kspb6,istio-proxy,6,87
default,checkoutservice-us-south-1-5b48478d45-z5c5f,server,0,9
default,checkoutservice-us-south-1-5b48478d45-z5c5f,istio-proxy,3,88
default,checkoutservice-us-west-1-56cfffd8f5-6r9ft,server,0,8
default,checkoutservice-us-west-1-56cfffd8f5-6r9ft,istio-proxy,4,83
default,checkoutservice-us-west-1-56cfffd8f5-bxkkp,server,0,8
default,checkoutservice-us-west-1-56cfffd8f5-bxkkp,istio-proxy,7,83
default,checkoutservice-us-west-1-56cfffd8f5-zml46,server,0,8
default,checkoutservice-us-west-1-56cfffd8f5-zml46,istio-proxy,8,82
default,currencyservice-us-central-1-69b94b977f-8r8dr,server,0,17
default,currencyservice-us-central-1-69b94b977f-8r8dr,istio-proxy,3,85
default,currencyservice-us-central-1-69b94b977f-r4khv,server,0,19
default,currencyservice-us-central-1-69b94b977f-r4khv,istio-proxy,3,86
default,currencyservice-us-central-1-69b94b977f-tqmkz,server,0,19
default,currencyservice-us-central-1-69b94b977f-tqmkz,istio-proxy,7,86
default,currencyservice-us-east-1-67bf559799-6rmd9,server,0,19
default,currencyservice-us-east-1-67bf559799-6rmd9,istio-proxy,8,87
default,currencyservice-us-east-1-67bf559799-mdjkk,server,0,19
default,currencyservice-us-east-1-67bf559799-mdjkk,istio-proxy,7,83
default,currencyservice-us-east-1-67bf559799-qx2bc,server,0,19
default,currencyservice-us-east-1-67bf559799-qx2bc,istio-proxy,7,84
default,currencyservice-us-south-1-f9b45955-6l7gt,server,0,19
default,currencyservice-us-south-1-f9b45955-6l7gt,istio-proxy,5,86
default,currencyservice-us-south-1-f9b45955-cbm86,server,0,19
default,currencyservice-us-south-1-f9b45955-cbm86,istio-proxy,7,84
default,currencyservice-us-south-1-f9b45955-lcr85,server,0,17
default,currencyservice-us-south-1-f9b45955-lcr85,istio-proxy,7,84
default,currencyservice-us-west-1-7cc9f56c95-pckbm,server,0,17
default,currencyservice-us-west-1-7cc9f56c95-pckbm,istio-proxy,6,82
default,currencyservice-us-west-1-7cc9f56c95-qzrkn,server,0,17
default,currencyservice-us-west-1-7cc9f56c95-qzrkn,istio-proxy,9,83
default,currencyservice-us-west-1-7cc9f56c95-zzc9s,server,1,17
default,currencyservice-us-west-1-7cc9f56c95-zzc9s,istio-proxy,3,85
default,emailservice-us-central-1-6d4749987c-7pqnf,server,1,40
default,emailservice-us-central-1-6d4749987c-7pqnf,istio-proxy,4,86
default,emailservice-us-central-1-6d4749987c-l267m,server,1,40
default,emailservice-us-central-1-6d4749987c-l267m,istio-proxy,6,85
default,emailservice-us-central-1-6d4749987c-lw2nz,server,1,40
default,emailservice-us-central-1-6d4749987c-lw2nz,istio-proxy,7,86
default,emailservice-us-east-1-68c574bd79-7vfjw,server,1,40
default,emailservice-us-east-1-68c574bd79-7vfjw,istio-proxy,3,85
default,emailservice-us-east-1-68c574bd79-rr2bp,server,1,40
default,emailservice-us-east-1-68c574bd79-rr2bp,istio-proxy,9,87
default,emailservice-us-east-1-68c574bd79-s8ksx,server,1,40
default,emailservice-us-east-1-68c574bd79-s8ksx,istio-proxy,3,87
default,emailservice-us-south-1-5fddcdd7d5-4jv4r,server,1,40
default,emailservice-us-south-1-5fddcdd7d5-4jv4r,istio-proxy,4,87
default,emailservice-us-south-1-5fddcdd7d5-ddxxn,server,1,40
default,emailservice-us-south-1-5fddcdd7d5-ddxxn,istio-proxy,8,86
default,emailservice-us-south-1-5fddcdd7d5-zz822,server,1,40
default,emailservice-us-south-1-5fddcdd7d5-zz822,istio-proxy,4,85
