Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5bb657f4d5-9fz77,server,1,192
default,adservice-us-central-1-5bb657f4d5-9fz77,istio-proxy,5,82
default,adservice-us-central-1-5bb657f4d5-lr5wv,server,2,195
default,adservice-us-central-1-5bb657f4d5-lr5wv,istio-proxy,5,87
default,adservice-us-central-1-5bb657f4d5-rz962,server,1,192
default,adservice-us-central-1-5bb657f4d5-rz962,istio-proxy,5,86
default,adservice-us-east-1-67cbb54789-ccthh,server,1,192
default,adservice-us-east-1-67cbb54789-ccthh,istio-proxy,4,85
default,adservice-us-east-1-67cbb54789-mvg9m,server,1,193
default,adservice-us-east-1-67cbb54789-mvg9m,istio-proxy,3,85
default,adservice-us-east-1-67cbb54789-nk4dp,server,1,189
default,adservice-us-east-1-67cbb54789-nk4dp,istio-proxy,5,88
default,adservice-us-south-1-5b887b7649-56wmw,server,0,190
default,adservice-us-south-1-5b887b7649-56wmw,istio-proxy,6,85
default,adservice-us-south-1-5b887b7649-fbndj,server,1,194
default,adservice-us-south-1-5b887b7649-fbndj,istio-proxy,7,87
default,adservice-us-south-1-5b887b7649-rc95q,server,1,192
default,adservice-us-south-1-5b887b7649-rc95q,istio-proxy,6,86
default,adservice-us-west-1-748d5d64c4-69ftb,server,3,112
default,adservice-us-west-1-748d5d64c4-69ftb,istio-proxy,6,83
default,adservice-us-west-1-748d5d64c4-8449s,server,2,116
default,adservice-us-west-1-748d5d64c4-8449s,istio-proxy,6,81
default,adservice-us-west-1-748d5d64c4-z8qsq,server,3,120
default,adservice-us-west-1-748d5d64c4-z8qsq,istio-proxy,6,82
default,cartservice-us-central-1-88857b8-4zghg,server,0,31
default,cartservice-us-central-1-88857b8-4zghg,istio-proxy,5,86
default,cartservice-us-central-1-88857b8-smk8f,server,0,31
default,cartservice-us-central-1-88857b8-smk8f,istio-proxy,6,87
default,cartservice-us-central-1-88857b8-x9fm2,server,0,31
default,cartservice-us-central-1-88857b8-x9fm2,istio-proxy,6,86
default,cartservice-us-east-1-f47cb79b4-85cbp,server,0,32
default,cartservice-us-east-1-f47cb79b4-85cbp,istio-proxy,3,86
default,cartservice-us-east-1-f47cb79b4-ngt8w,server,0,32
default,cartservice-us-east-1-f47cb79b4-ngt8w,istio-proxy,3,88
default,cartservice-us-east-1-f47cb79b4-rt8vn,server,0,31
default,cartservice-us-east-1-f47cb79b4-rt8vn,istio-proxy,6,86
default,cartservice-us-south-1-8b576c444-7pr5g,server,0,31
default,cartservice-us-south-1-8b576c444-7pr5g,istio-proxy,6,87
default,cartservice-us-south-1-8b576c444-hf6nb,server,1,32
default,cartservice-us-south-1-8b576c444-hf6nb,istio-proxy,5,86
default,cartservice-us-south-1-8b576c444-zbhj7,server,0,31
default,cartservice-us-south-1-8b576c444-zbhj7,istio-proxy,7,87
default,cartservice-us-west-1-85df9f84df-4jf5x,server,130,37
default,cartservice-us-west-1-85df9f84df-4jf5x,istio-proxy,35,85
default,cartservice-us-west-1-85df9f84df-gb4bj,server,8,27
default,cartservice-us-west-1-85df9f84df-gb4bj,istio-proxy,62,83
default,cartservice-us-west-1-85df9f84df-xlqgp,server,160,40
default,cartservice-us-west-1-85df9f84df-xlqgp,istio-proxy,7,81
default,checkoutservice-us-central-1-6b468dd5fc-547rw,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-547rw,istio-proxy,8,90
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,server,0,9
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,istio-proxy,3,86
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,istio-proxy,4,87
default,checkoutservice-us-east-1-775ff9f4c-dblnz,server,0,9
default,checkoutservice-us-east-1-775ff9f4c-dblnz,istio-proxy,5,87
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,istio-proxy,7,86
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,istio-proxy,6,88
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,istio-proxy,4,86
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,istio-proxy,6,86
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,istio-proxy,7,86
default,checkoutservice-us-west-1-6bb7d6959d-2l59g,server,0,8
default,checkoutservice-us-west-1-6bb7d6959d-2l59g,istio-proxy,7,82
