Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5bb657f4d5-9fz77,server,1,203
default,adservice-us-central-1-5bb657f4d5-9fz77,istio-proxy,6,82
default,adservice-us-central-1-5bb657f4d5-lr5wv,server,1,204
default,adservice-us-central-1-5bb657f4d5-lr5wv,istio-proxy,4,87
default,adservice-us-central-1-5bb657f4d5-rz962,server,1,202
default,adservice-us-central-1-5bb657f4d5-rz962,istio-proxy,4,87
default,adservice-us-east-1-67cbb54789-ccthh,server,1,200
default,adservice-us-east-1-67cbb54789-ccthh,istio-proxy,4,86
default,adservice-us-east-1-67cbb54789-mvg9m,server,1,202
default,adservice-us-east-1-67cbb54789-mvg9m,istio-proxy,4,86
default,adservice-us-east-1-67cbb54789-nk4dp,server,1,198
default,adservice-us-east-1-67cbb54789-nk4dp,istio-proxy,6,88
default,adservice-us-south-1-5b887b7649-56wmw,server,2,199
default,adservice-us-south-1-5b887b7649-56wmw,istio-proxy,5,86
default,adservice-us-south-1-5b887b7649-fbndj,server,1,204
default,adservice-us-south-1-5b887b7649-fbndj,istio-proxy,7,87
default,adservice-us-south-1-5b887b7649-rc95q,server,2,201
default,adservice-us-south-1-5b887b7649-rc95q,istio-proxy,4,87
default,adservice-us-west-1-59645bb6dd-5jmzf,server,2,124
default,adservice-us-west-1-59645bb6dd-5jmzf,istio-proxy,6,81
default,adservice-us-west-1-59645bb6dd-64ltq,server,4,137
default,adservice-us-west-1-59645bb6dd-64ltq,istio-proxy,6,81
default,adservice-us-west-1-59645bb6dd-dvgh4,server,3,134
default,adservice-us-west-1-59645bb6dd-dvgh4,istio-proxy,5,81
default,cartservice-us-central-1-88857b8-4zghg,server,0,53
default,cartservice-us-central-1-88857b8-4zghg,istio-proxy,5,86
default,cartservice-us-central-1-88857b8-smk8f,server,0,51
default,cartservice-us-central-1-88857b8-smk8f,istio-proxy,4,87
default,cartservice-us-central-1-88857b8-x9fm2,server,0,51
default,cartservice-us-central-1-88857b8-x9fm2,istio-proxy,4,86
default,cartservice-us-east-1-f47cb79b4-85cbp,server,1,52
default,cartservice-us-east-1-f47cb79b4-85cbp,istio-proxy,4,87
default,cartservice-us-east-1-f47cb79b4-ngt8w,server,0,52
default,cartservice-us-east-1-f47cb79b4-ngt8w,istio-proxy,6,87
default,cartservice-us-east-1-f47cb79b4-rt8vn,server,0,53
default,cartservice-us-east-1-f47cb79b4-rt8vn,istio-proxy,6,86
default,cartservice-us-south-1-8b576c444-7pr5g,server,0,53
default,cartservice-us-south-1-8b576c444-7pr5g,istio-proxy,7,87
default,cartservice-us-south-1-8b576c444-hf6nb,server,0,53
default,cartservice-us-south-1-8b576c444-hf6nb,istio-proxy,6,86
default,cartservice-us-south-1-8b576c444-zbhj7,server,0,51
default,cartservice-us-south-1-8b576c444-zbhj7,istio-proxy,4,87
default,cartservice-us-west-1-6df5d655-d9fgz,server,240,43
default,cartservice-us-west-1-6df5d655-d9fgz,istio-proxy,38,81
default,cartservice-us-west-1-6df5d655-dx5h6,server,244,42
default,cartservice-us-west-1-6df5d655-dx5h6,istio-proxy,22,81
default,cartservice-us-west-1-6df5d655-mm4cd,server,258,43
default,cartservice-us-west-1-6df5d655-mm4cd,istio-proxy,57,82
default,checkoutservice-us-central-1-6b468dd5fc-547rw,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-547rw,istio-proxy,6,91
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,istio-proxy,4,87
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,istio-proxy,6,87
default,checkoutservice-us-east-1-775ff9f4c-dblnz,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-dblnz,istio-proxy,5,87
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,istio-proxy,4,87
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,istio-proxy,6,88
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,istio-proxy,4,86
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,istio-proxy,3,87
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,istio-proxy,5,86
default,checkoutservice-us-west-1-66556bb6f6-4792w,server,64,10
default,checkoutservice-us-west-1-66556bb6f6-4792w,istio-proxy,329,82
default,checkoutservice-us-west-1-66556bb6f6-rklvb,server,109,11
default,checkoutservice-us-west-1-66556bb6f6-rklvb,istio-proxy,255,81
default,checkoutservice-us-west-1-66556bb6f6-t8jfc,server,138,11
default,checkoutservice-us-west-1-66556bb6f6-t8jfc,istio-proxy,6,80
default,currencyservice-us-central-1-7f95bbccf9-b54q5,server,1,20
default,currencyservice-us-central-1-7f95bbccf9-b54q5,istio-proxy,5,87
default,currencyservice-us-central-1-7f95bbccf9-fb9w5,server,0,19
default,currencyservice-us-central-1-7f95bbccf9-fb9w5,istio-proxy,6,86
default,currencyservice-us-central-1-7f95bbccf9-j2st6,server,0,19
default,currencyservice-us-central-1-7f95bbccf9-j2st6,istio-proxy,4,87
default,currencyservice-us-east-1-bbfb9658c-8ltxp,server,1,19
default,currencyservice-us-east-1-bbfb9658c-8ltxp,istio-proxy,4,86
default,currencyservice-us-east-1-bbfb9658c-9j48b,server,1,19
default,currencyservice-us-east-1-bbfb9658c-9j48b,istio-proxy,5,88
default,currencyservice-us-east-1-bbfb9658c-q7q7m,server,0,19
default,currencyservice-us-east-1-bbfb9658c-q7q7m,istio-proxy,5,86
default,currencyservice-us-south-1-747ff4547f-dcg6c,server,1,20
default,currencyservice-us-south-1-747ff4547f-dcg6c,istio-proxy,3,89
default,currencyservice-us-south-1-747ff4547f-ldzv4,server,0,19
default,currencyservice-us-south-1-747ff4547f-ldzv4,istio-proxy,4,85
default,currencyservice-us-south-1-747ff4547f-wh7l2,server,0,19
default,currencyservice-us-south-1-747ff4547f-wh7l2,istio-proxy,6,87
default,currencyservice-us-west-1-65b6cb96d6-9twz7,server,164,23
default,currencyservice-us-west-1-65b6cb96d6-9twz7,istio-proxy,53,82
default,currencyservice-us-west-1-65b6cb96d6-hs2tl,server,120,25
default,currencyservice-us-west-1-65b6cb96d6-hs2tl,istio-proxy,4,81
default,currencyservice-us-west-1-65b6cb96d6-rnlvg,server,0,16
default,currencyservice-us-west-1-65b6cb96d6-rnlvg,istio-proxy,39,81
default,emailservice-us-central-1-646c976cc7-5dcjc,server,1,40
default,emailservice-us-central-1-646c976cc7-5dcjc,istio-proxy,6,88
default,emailservice-us-central-1-646c976cc7-nrh49,server,1,41
default,emailservice-us-central-1-646c976cc7-nrh49,istio-proxy,4,86
default,emailservice-us-central-1-646c976cc7-rzskf,server,1,41
default,emailservice-us-central-1-646c976cc7-rzskf,istio-proxy,7,87
default,emailservice-us-east-1-7fbbbd545f-d64qj,server,1,40
default,emailservice-us-east-1-7fbbbd545f-d64qj,istio-proxy,4,88
default,emailservice-us-east-1-7fbbbd545f-qhwrb,server,1,40
