Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-597cc7458f-4wdfl,server,1,269
default,adservice-us-central-1-597cc7458f-4wdfl,istio-proxy,3,83
default,adservice-us-central-1-597cc7458f-96qpc,server,0,270
default,adservice-us-central-1-597cc7458f-96qpc,istio-proxy,3,81
default,adservice-us-central-1-597cc7458f-x7mgc,server,0,269
default,adservice-us-central-1-597cc7458f-x7mgc,istio-proxy,3,82
default,adservice-us-east-1-bf969dc49-2xc69,server,1,267
default,adservice-us-east-1-bf969dc49-2xc69,istio-proxy,3,82
default,adservice-us-east-1-bf969dc49-bdtkz,server,0,270
default,adservice-us-east-1-bf969dc49-bdtkz,istio-proxy,3,81
default,adservice-us-east-1-bf969dc49-bk45l,server,0,278
default,adservice-us-east-1-bf969dc49-bk45l,istio-proxy,3,81
default,adservice-us-south-1-5ccbd8fb85-km6nk,server,0,271
default,adservice-us-south-1-5ccbd8fb85-km6nk,istio-proxy,2,81
default,adservice-us-south-1-5ccbd8fb85-ll749,server,0,267
default,adservice-us-south-1-5ccbd8fb85-ll749,istio-proxy,3,84
default,adservice-us-south-1-5ccbd8fb85-tp6wf,server,0,267
default,adservice-us-south-1-5ccbd8fb85-tp6wf,istio-proxy,3,84
default,adservice-us-west-1-9c8f956dc-6862v,server,0,275
default,adservice-us-west-1-9c8f956dc-6862v,istio-proxy,3,82
default,adservice-us-west-1-9c8f956dc-hfbd6,server,0,266
default,adservice-us-west-1-9c8f956dc-hfbd6,istio-proxy,3,83
default,adservice-us-west-1-9c8f956dc-p4vvr,server,0,269
default,adservice-us-west-1-9c8f956dc-p4vvr,istio-proxy,3,82
default,cartservice-us-central-1-fd5598bfb-ckqph,server,1,87
default,cartservice-us-central-1-fd5598bfb-ckqph,istio-proxy,3,85
default,cartservice-us-central-1-fd5598bfb-dcbck,server,1,91
default,cartservice-us-central-1-fd5598bfb-dcbck,istio-proxy,3,83
default,cartservice-us-central-1-fd5598bfb-j4rc4,server,1,87
default,cartservice-us-central-1-fd5598bfb-j4rc4,istio-proxy,3,82
default,cartservice-us-east-1-5ff565b55b-47qfx,server,0,86
default,cartservice-us-east-1-5ff565b55b-47qfx,istio-proxy,3,83
default,cartservice-us-east-1-5ff565b55b-68kn6,server,0,89
default,cartservice-us-east-1-5ff565b55b-68kn6,istio-proxy,3,82
default,cartservice-us-east-1-5ff565b55b-nrsj8,server,0,90
default,cartservice-us-east-1-5ff565b55b-nrsj8,istio-proxy,3,83
default,cartservice-us-south-1-6dccf44f44-444c6,server,0,83
default,cartservice-us-south-1-6dccf44f44-444c6,istio-proxy,3,82
default,cartservice-us-south-1-6dccf44f44-fwcxf,server,0,80
default,cartservice-us-south-1-6dccf44f44-fwcxf,istio-proxy,3,83
default,cartservice-us-south-1-6dccf44f44-l4mzh,server,0,87
default,cartservice-us-south-1-6dccf44f44-l4mzh,istio-proxy,3,83
default,cartservice-us-west-1-699c4d5cbd-dkxlq,server,0,91
default,cartservice-us-west-1-699c4d5cbd-dkxlq,istio-proxy,3,83
default,cartservice-us-west-1-699c4d5cbd-td64v,server,12,96
default,cartservice-us-west-1-699c4d5cbd-td64v,istio-proxy,13,83
default,cartservice-us-west-1-699c4d5cbd-ws626,server,1,96
default,cartservice-us-west-1-699c4d5cbd-ws626,istio-proxy,9,83
default,checkoutservice-us-central-1-6f9499754f-89tql,server,0,9
default,checkoutservice-us-central-1-6f9499754f-89tql,istio-proxy,3,83
default,checkoutservice-us-central-1-6f9499754f-cqvz9,server,0,9
default,checkoutservice-us-central-1-6f9499754f-cqvz9,istio-proxy,3,82
default,checkoutservice-us-central-1-6f9499754f-t4sdt,server,0,9
default,checkoutservice-us-central-1-6f9499754f-t4sdt,istio-proxy,3,84
default,checkoutservice-us-east-1-5f977d5b5f-bhs9p,server,0,9
default,checkoutservice-us-east-1-5f977d5b5f-bhs9p,istio-proxy,3,82
default,checkoutservice-us-east-1-5f977d5b5f-fnmbm,server,0,9
default,checkoutservice-us-east-1-5f977d5b5f-fnmbm,istio-proxy,3,83
default,checkoutservice-us-east-1-5f977d5b5f-vh9tk,server,0,9
default,checkoutservice-us-east-1-5f977d5b5f-vh9tk,istio-proxy,3,84
default,checkoutservice-us-south-1-f4799d7df-6dnjw,server,0,9
default,checkoutservice-us-south-1-f4799d7df-6dnjw,istio-proxy,3,85
default,checkoutservice-us-south-1-f4799d7df-dgcrj,server,0,9
default,checkoutservice-us-south-1-f4799d7df-dgcrj,istio-proxy,3,82
default,checkoutservice-us-south-1-f4799d7df-vbr6d,server,0,9
default,checkoutservice-us-south-1-f4799d7df-vbr6d,istio-proxy,2,83
default,checkoutservice-us-west-1-696c6f885-cbz6g,server,1,11
default,checkoutservice-us-west-1-696c6f885-cbz6g,istio-proxy,16,86
default,checkoutservice-us-west-1-696c6f885-d8ggg,server,12,11
default,checkoutservice-us-west-1-696c6f885-d8ggg,istio-proxy,3,85
default,checkoutservice-us-west-1-696c6f885-s4444,server,0,11
default,checkoutservice-us-west-1-696c6f885-s4444,istio-proxy,3,85
default,currencyservice-us-central-1-ff5675fcf-hrtzv,server,0,26
default,currencyservice-us-central-1-ff5675fcf-hrtzv,istio-proxy,3,82
default,currencyservice-us-central-1-ff5675fcf-jfxcw,server,0,28
default,currencyservice-us-central-1-ff5675fcf-jfxcw,istio-proxy,3,85
default,currencyservice-us-central-1-ff5675fcf-wstbl,server,0,28
default,currencyservice-us-central-1-ff5675fcf-wstbl,istio-proxy,3,84
default,currencyservice-us-east-1-bc5bc8947-knqzs,server,0,26
default,currencyservice-us-east-1-bc5bc8947-knqzs,istio-proxy,3,85
default,currencyservice-us-east-1-bc5bc8947-q4x5t,server,0,27
default,currencyservice-us-east-1-bc5bc8947-q4x5t,istio-proxy,3,83
default,currencyservice-us-east-1-bc5bc8947-z96nh,server,0,26
default,currencyservice-us-east-1-bc5bc8947-z96nh,istio-proxy,3,83
default,currencyservice-us-south-1-8c694b675-b8s9w,server,0,27
default,currencyservice-us-south-1-8c694b675-b8s9w,istio-proxy,3,82
default,currencyservice-us-south-1-8c694b675-f45hh,server,0,27
default,currencyservice-us-south-1-8c694b675-f45hh,istio-proxy,3,83
default,currencyservice-us-south-1-8c694b675-wt8gm,server,0,28
default,currencyservice-us-south-1-8c694b675-wt8gm,istio-proxy,3,84
default,currencyservice-us-west-1-567d4b566f-b7g6l,server,8,30
default,currencyservice-us-west-1-567d4b566f-b7g6l,istio-proxy,3,85
default,currencyservice-us-west-1-567d4b566f-pdp7f,server,9,30
default,currencyservice-us-west-1-567d4b566f-pdp7f,istio-proxy,13,83
default,currencyservice-us-west-1-567d4b566f-tbg72,server,0,31
default,currencyservice-us-west-1-567d4b566f-tbg72,istio-proxy,18,85
default,emailservice-us-central-1-68f6dc659c-88t9k,server,1,40
default,emailservice-us-central-1-68f6dc659c-88t9k,istio-proxy,3,85
default,emailservice-us-central-1-68f6dc659c-mt6x6,server,1,41
default,emailservice-us-central-1-68f6dc659c-mt6x6,istio-proxy,3,86
