,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,frontend,POST,/cart,0a193aa8574d73bfd5c3ececb55e4ba2,621ce51e56f3a82b,d5c3ececb55e4ba2,100.0,214.0,114.0,28.0,114.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:480|
1,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,0a193aa8574d73bfd5c3ececb55e4ba2,c6b0291e7f5081da,621ce51e56f3a82b,118.0,203.0,85.0,85.0,85.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:472|
2,us-west-1,sslateingress,POST,/cart,0a193aa8574d73bfd5c3ececb55e4ba2,d5c3ececb55e4ba2,nan,0.0,219.0,219.0,105.0,219.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:564|
3,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,0a193aa8574d73bfd5c3ececb55e4ba2,3303141339c7feca,621ce51e56f3a82b,102.0,103.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551458|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:420|
4,us-west-1,frontend,POST,/cart,a5c452e20742b59c36d2135886ef2150,3f61cc1b8836695f,36d2135886ef2150,297.0,491.0,194.0,18.0,194.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:512|
5,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,a5c452e20742b59c36d2135886ef2150,ed498de9e5e0a752,3f61cc1b8836695f,310.0,485.0,175.0,175.0,175.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:4|,cartservice@POST@/hipstershop.CartService/AddItem:492|
6,us-west-1,sslateingress,POST,/cart,a5c452e20742b59c36d2135886ef2150,36d2135886ef2150,nan,0.0,599.0,599.0,405.0,599.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:416|
7,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,a5c452e20742b59c36d2135886ef2150,b8c89924e093246f,3f61cc1b8836695f,304.0,305.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551454|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:420|
8,us-west-1,frontend,POST,/cart,2dcd06dcb049e418db65137160c56ac4,c55b4cccd35f3f6c,db65137160c56ac4,7.0,299.0,292.0,109.0,292.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:708|
9,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,2dcd06dcb049e418db65137160c56ac4,0eb366bb02cafbf4,c55b4cccd35f3f6c,9.0,10.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551366|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:616|
