,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,40c0adc7293c9ad2685a26c55cf39888,d938ae13e3e429d3,b7a0cb3f76673092,4.0,5.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:280|
1,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,40c0adc7293c9ad2685a26c55cf39888,ca8922fb90bda9ee,b7a0cb3f76673092,7.0,10.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:460|
2,us-west-1,frontend,POST,/cart,40c0adc7293c9ad2685a26c55cf39888,b7a0cb3f76673092,685a26c55cf39888,2.0,10.0,8.0,4.0,8.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:272|
3,us-west-1,sslateingress,POST,/cart,40c0adc7293c9ad2685a26c55cf39888,685a26c55cf39888,nan,0.0,11.0,11.0,3.0,11.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:304|
4,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,426e4884ea54de377218b626a75a5b4d,e995d8b73f2eedf3,dd810f72fe86fd8b,79.0,82.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:352|
5,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,426e4884ea54de377218b626a75a5b4d,7e4c24d76db80bc2,dd810f72fe86fd8b,73.0,75.0,2.0,2.0,2.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:600|
6,us-west-1,frontend,POST,/cart,426e4884ea54de377218b626a75a5b4d,dd810f72fe86fd8b,7218b626a75a5b4d,2.0,174.0,172.0,167.0,172.0,-1,frontend@POST@/cart:2|,frontend@POST@/cart:552|
7,us-west-1,sslateingress,POST,/cart,426e4884ea54de377218b626a75a5b4d,7218b626a75a5b4d,nan,0.0,176.0,176.0,4.0,176.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:664|
8,us-west-1,frontend,POST,/cart,412915b8e93cbd972d96e615003739cc,f5a4e11a68a0c485,2d96e615003739cc,2.0,9.0,7.0,4.0,7.0,-1,frontend@POST@/cart:2|,frontend@POST@/cart:616|
9,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,412915b8e93cbd972d96e615003739cc,cfc74f0b39e87088,f5a4e11a68a0c485,6.0,8.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:432|
10,us-west-1,sslateingress,POST,/cart,412915b8e93cbd972d96e615003739cc,2d96e615003739cc,nan,0.0,9.0,9.0,2.0,9.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:620|
11,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,412915b8e93cbd972d96e615003739cc,9312389ea003f36b,f5a4e11a68a0c485,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551343|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:628|
12,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,89a5a36b0cc06d3f06f0400fe1976897,5a8d702961771a36,7bb4d687a8595b5a,41.0,135.0,94.0,94.0,94.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:652|
13,us-west-1,sslateingress,POST,/cart,89a5a36b0cc06d3f06f0400fe1976897,06f0400fe1976897,nan,0.0,139.0,139.0,3.0,139.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:524|
14,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,89a5a36b0cc06d3f06f0400fe1976897,ed9bb3b8fd378d36,7bb4d687a8595b5a,33.0,35.0,2.0,2.0,2.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:620|
15,us-west-1,frontend,POST,/cart,89a5a36b0cc06d3f06f0400fe1976897,7bb4d687a8595b5a,06f0400fe1976897,2.0,138.0,136.0,40.0,136.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:580|
16,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,7134c8f875006cc21a16e66874ca2366,db04648e14a7ca8d,c6331c69c2ba4692,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:292|
17,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,7134c8f875006cc21a16e66874ca2366,227b214889bd9584,c6331c69c2ba4692,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:248|
18,us-west-1,frontend,POST,/cart,7134c8f875006cc21a16e66874ca2366,c6331c69c2ba4692,1a16e66874ca2366,2.0,8.0,6.0,3.0,6.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:232|
19,us-west-1,sslateingress,POST,/cart,7134c8f875006cc21a16e66874ca2366,1a16e66874ca2366,nan,0.0,9.0,9.0,3.0,9.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:268|
20,us-west-1,frontend,POST,/cart,7f82095a10496777827d8cd82c07f9d0,162666a95fed23ab,827d8cd82c07f9d0,1.0,10.0,9.0,6.0,9.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:380|
21,us-west-1,sslateingress,POST,/cart,7f82095a10496777827d8cd82c07f9d0,827d8cd82c07f9d0,nan,0.0,11.0,11.0,2.0,11.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:360|
22,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,7f82095a10496777827d8cd82c07f9d0,571a3bd61e5485bd,162666a95fed23ab,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:284|
23,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,7f82095a10496777827d8cd82c07f9d0,67ea58bcd4bb7c63,162666a95fed23ab,6.0,8.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:368|
24,us-west-1,frontend,POST,/cart,1a647fdf9b590a668a6e599eb0991d78,23e5900bb0fa0665,8a6e599eb0991d78,2.0,30.0,28.0,4.0,28.0,-1,frontend@POST@/cart:2|,frontend@POST@/cart:320|
25,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,1a647fdf9b590a668a6e599eb0991d78,f186327e9b62d11e,23e5900bb0fa0665,5.0,28.0,23.0,23.0,23.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:2|,cartservice@POST@/hipstershop.CartService/AddItem:276|
26,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,1a647fdf9b590a668a6e599eb0991d78,58c382d569b85982,23e5900bb0fa0665,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:364|
27,us-west-1,sslateingress,POST,/cart,1a647fdf9b590a668a6e599eb0991d78,8a6e599eb0991d78,nan,0.0,31.0,31.0,3.0,31.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:332|
28,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,aa857785b950f580901721f28ec12f07,177a52e0f69cb8f4,f6e259da33758bfa,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:364|
29,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,aa857785b950f580901721f28ec12f07,25a3840380674423,f6e259da33758bfa,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:328|
30,us-west-1,frontend,POST,/cart,aa857785b950f580901721f28ec12f07,f6e259da33758bfa,901721f28ec12f07,1.0,7.0,6.0,3.0,6.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:288|
31,us-west-1,sslateingress,POST,/cart,aa857785b950f580901721f28ec12f07,901721f28ec12f07,nan,0.0,8.0,8.0,2.0,8.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:320|
32,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,2f08dd246a71f0be4fe1b918a50bbe4b,883f96c513b7b75b,80298f7a50f778a8,4.0,5.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:348|
33,us-west-1,sslateingress,POST,/cart,2f08dd246a71f0be4fe1b918a50bbe4b,4fe1b918a50bbe4b,nan,0.0,10.0,10.0,4.0,10.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:316|
34,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,2f08dd246a71f0be4fe1b918a50bbe4b,83e5c064f1ef6ed4,80298f7a50f778a8,6.0,8.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:332|
35,us-west-1,frontend,POST,/cart,2f08dd246a71f0be4fe1b918a50bbe4b,80298f7a50f778a8,4fe1b918a50bbe4b,3.0,9.0,6.0,3.0,6.0,-1,frontend@POST@/cart:2|,frontend@POST@/cart:336|
36,us-west-1,frontend,POST,/cart,27d217afeb68ebd9ae01dcdb4996b25f,27964ae33617d9d5,ae01dcdb4996b25f,2.0,63.0,61.0,5.0,61.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:292|
37,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,27d217afeb68ebd9ae01dcdb4996b25f,86bf24ce8bb38cf1,27964ae33617d9d5,5.0,60.0,55.0,55.0,55.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:2|,cartservice@POST@/hipstershop.CartService/AddItem:112|
38,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,27d217afeb68ebd9ae01dcdb4996b25f,0731ba15daa7c54e,27964ae33617d9d5,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:312|
39,us-west-1,sslateingress,POST,/cart,27d217afeb68ebd9ae01dcdb4996b25f,ae01dcdb4996b25f,nan,0.0,63.0,63.0,2.0,63.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:316|
40,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,6c398466c16b06cf70622532504041a7,d76c4fe020b62d91,1dea565a01c1fd6d,6.0,18.0,12.0,12.0,12.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:2|,cartservice@POST@/hipstershop.CartService/AddItem:320|
41,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,6c398466c16b06cf70622532504041a7,a2ee66d304cbdfd3,1dea565a01c1fd6d,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:340|
42,us-west-1,sslateingress,POST,/cart,6c398466c16b06cf70622532504041a7,70622532504041a7,nan,0.0,24.0,24.0,4.0,24.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:304|
43,us-west-1,frontend,POST,/cart,6c398466c16b06cf70622532504041a7,1dea565a01c1fd6d,70622532504041a7,2.0,22.0,20.0,7.0,20.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:316|
44,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,5b564a278eeb52d55f4c7a9f9c27a4b9,a222e15eb2312cbf,5fb0532a3a2a722d,5.0,6.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:260|
45,us-west-1,sslateingress,POST,/cart,5b564a278eeb52d55f4c7a9f9c27a4b9,5f4c7a9f9c27a4b9,nan,0.0,13.0,13.0,4.0,13.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:312|
46,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,5b564a278eeb52d55f4c7a9f9c27a4b9,d0ffdb89c019200d,5fb0532a3a2a722d,8.0,11.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:288|
47,us-west-1,frontend,POST,/cart,5b564a278eeb52d55f4c7a9f9c27a4b9,5fb0532a3a2a722d,5f4c7a9f9c27a4b9,3.0,12.0,9.0,5.0,9.0,-1,frontend@POST@/cart:3|,frontend@POST@/cart:276|
48,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,09d5002c091f7cad67e91f385c905c91,43937c2504a848f4,59767a1940e969c1,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:296|
49,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,09d5002c091f7cad67e91f385c905c91,7c1382aeb36588b7,59767a1940e969c1,5.0,83.0,78.0,78.0,78.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:256|
50,us-west-1,frontend,POST,/cart,09d5002c091f7cad67e91f385c905c91,59767a1940e969c1,67e91f385c905c91,1.0,85.0,84.0,5.0,84.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:304|
51,us-west-1,sslateingress,POST,/cart,09d5002c091f7cad67e91f385c905c91,67e91f385c905c91,nan,0.0,86.0,86.0,2.0,86.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:276|
52,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,ec515e7fb6772f103402301c14d93850,9acf5d9d9e8156d9,5be032fd70598120,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:260|
53,us-west-1,sslateingress,POST,/cart,ec515e7fb6772f103402301c14d93850,3402301c14d93850,nan,0.0,9.0,9.0,1.0,9.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:292|
54,us-west-1,frontend,POST,/cart,ec515e7fb6772f103402301c14d93850,5be032fd70598120,3402301c14d93850,1.0,9.0,8.0,5.0,8.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:260|
55,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,ec515e7fb6772f103402301c14d93850,803ac2e5662580cb,5be032fd70598120,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:272|
56,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,9d7042e859e84363b5521c6b4659851c,e81aa715055a6d66,8781877aa7c5f0f9,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:272|
57,us-west-1,sslateingress,POST,/cart,9d7042e859e84363b5521c6b4659851c,b5521c6b4659851c,nan,0.0,74.0,74.0,2.0,74.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:232|
58,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,9d7042e859e84363b5521c6b4659851c,f01039b8e14dc708,8781877aa7c5f0f9,5.0,69.0,64.0,64.0,64.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:2|,cartservice@POST@/hipstershop.CartService/AddItem:384|
59,us-west-1,frontend,POST,/cart,9d7042e859e84363b5521c6b4659851c,8781877aa7c5f0f9,b5521c6b4659851c,1.0,73.0,72.0,7.0,72.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:392|
60,us-west-1,frontend,POST,/cart,25ba5f006601df1b8af0567188e36739,f95360390f1f510c,8af0567188e36739,1.0,7.0,6.0,3.0,6.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:296|
