,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,sslateingress,POST,/cart,66719a24dd954be412968fc62d19f431,12968fc62d19f431,nan,0.0,9.0,9.0,2.0,9.0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:78|
1,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,66719a24dd954be412968fc62d19f431,ddf220c8978814fe,8794d7a9358e0635,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:77|
2,us-west-1,frontend,POST,/cart,66719a24dd954be412968fc62d19f431,8794d7a9358e0635,12968fc62d19f431,1.0,8.0,7.0,4.0,7.0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:77|
3,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,66719a24dd954be412968fc62d19f431,45d2ccb49da52622,8794d7a9358e0635,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:77|
4,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,bba36c1d3a089fc40339d69d8dc082ce,b6397a76f74a6a83,8968602d420936e2,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:94|
5,us-west-1,frontend,POST,/cart,bba36c1d3a089fc40339d69d8dc082ce,8968602d420936e2,0339d69d8dc082ce,1.0,8.0,7.0,4.0,7.0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:94|
6,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,bba36c1d3a089fc40339d69d8dc082ce,f7a1df5e7cf2baa4,8968602d420936e2,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:94|
7,us-west-1,sslateingress,POST,/cart,bba36c1d3a089fc40339d69d8dc082ce,0339d69d8dc082ce,nan,0.0,9.0,9.0,2.0,9.0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:94|
8,us-west-1,sslateingress,POST,/cart,65dc71f5fb90879c45590790a92532d2,45590790a92532d2,nan,0.0,9.0,9.0,3.0,9.0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:88|
9,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,65dc71f5fb90879c45590790a92532d2,a27c726cb8f93cf0,635e38b5e267ff8a,3.0,4.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:88|
10,us-west-1,frontend,POST,/cart,65dc71f5fb90879c45590790a92532d2,635e38b5e267ff8a,45590790a92532d2,2.0,8.0,6.0,3.0,6.0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:88|
11,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,65dc71f5fb90879c45590790a92532d2,aa731cee6ef2d485,635e38b5e267ff8a,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:88|
12,us-west-1,sslateingress,POST,/cart,d097ecbc0cbca3999d88f6ea6b991704,9d88f6ea6b991704,nan,0.0,7.0,7.0,2.0,7.0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:76|
