counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,19
0,us-west-1,c,c@POST@/spreadc,194
0,us-west-1,frontend,frontend@GET@/start,77
0,us-west-1,b,b@POST@/spreadb,221
0,us-west-1,a,a@POST@/spreada,362
0,us-west-1,c,c@POST@/spreadc,298
0,us-west-1,frontend,frontend@GET@/start,399
0,us-west-1,b,b@POST@/spreadb,330
0,us-west-1,a,a@POST@/spreada,350
0,us-west-1,c,c@POST@/spreadc,410
0,us-west-1,frontend,frontend@GET@/start,252
0,us-west-1,b,b@POST@/spreadb,609
0,us-west-1,a,a@POST@/spreada,592
0,us-west-1,c,c@POST@/spreadc,734
0,us-west-1,frontend,frontend@GET@/start,333
0,us-west-1,b,b@POST@/spreadb,640
0,us-west-1,a,a@POST@/spreada,651
0,us-west-1,c,c@POST@/spreadc,687
0,us-west-1,frontend,frontend@GET@/start,277
0,us-west-1,b,b@POST@/spreadb,589
0,us-west-1,a,a@POST@/spreada,534
0,us-west-1,c,c@POST@/spreadc,496
0,us-west-1,frontend,frontend@GET@/start,262
0,us-west-1,b,b@POST@/spreadb,515
0,us-west-1,a,a@POST@/spreada,519
0,us-west-1,c,c@POST@/spreadc,520
0,us-west-1,frontend,frontend@GET@/start,253
0,us-west-1,b,b@POST@/spreadb,506
0,us-west-1,a,a@POST@/spreada,504
0,us-west-1,c,c@POST@/spreadc,470
0,us-west-1,frontend,frontend@GET@/start,249
0,us-west-1,b,b@POST@/spreadb,461
0,us-west-1,a,a@POST@/spreada,480
0,us-west-1,c,c@POST@/spreadc,510
0,us-west-1,frontend,frontend@GET@/start,268
0,us-west-1,b,b@POST@/spreadb,515
0,us-west-1,a,a@POST@/spreada,486
0,us-west-1,c,c@POST@/spreadc,503
0,us-west-1,frontend,frontend@GET@/start,264
0,us-west-1,b,b@POST@/spreadb,502
0,us-west-1,a,a@POST@/spreada,541
0,us-west-1,c,c@POST@/spreadc,536
0,us-west-1,frontend,frontend@GET@/start,259
0,us-west-1,b,b@POST@/spreadb,527
0,us-west-1,a,a@POST@/spreada,498
0,us-west-1,c,c@POST@/spreadc,454
0,us-west-1,frontend,frontend@GET@/start,243
0,us-west-1,b,b@POST@/spreadb,444
0,us-west-1,a,a@POST@/spreada,451
0,us-west-1,c,c@POST@/spreadc,462
0,us-west-1,frontend,frontend@GET@/start,239
0,us-west-1,b,b@POST@/spreadb,478
0,us-west-1,a,a@POST@/spreada,478
0,us-west-1,c,c@POST@/spreadc,495
0,us-west-1,frontend,frontend@GET@/start,290
0,us-west-1,b,b@POST@/spreadb,512
0,us-west-1,a,a@POST@/spreada,514
0,us-west-1,c,c@POST@/spreadc,534
0,us-west-1,frontend,frontend@GET@/start,262
0,us-west-1,b,b@POST@/spreadb,507
0,us-west-1,a,a@POST@/spreada,512
0,us-west-1,c,c@POST@/spreadc,503
0,us-west-1,frontend,frontend@GET@/start,291
0,us-west-1,b,b@POST@/spreadb,503
0,us-west-1,a,a@POST@/spreada,516
0,us-west-1,c,c@POST@/spreadc,487
0,us-west-1,frontend,frontend@GET@/start,244
0,us-west-1,b,b@POST@/spreadb,510
0,us-west-1,a,a@POST@/spreada,476
0,us-west-1,c,c@POST@/spreadc,499
0,us-west-1,frontend,frontend@GET@/start,263
0,us-west-1,b,b@POST@/spreadb,503
0,us-west-1,a,a@POST@/spreada,539
0,us-west-1,c,c@POST@/spreadc,486
0,us-west-1,frontend,frontend@GET@/start,213
0,us-west-1,b,b@POST@/spreadb,460
0,us-west-1,a,a@POST@/spreada,438
0,us-west-1,c,c@POST@/spreadc,479
0,us-west-1,frontend,frontend@GET@/start,253
0,us-west-1,b,b@POST@/spreadb,480
0,us-west-1,a,a@POST@/spreada,471
0,us-west-1,c,c@POST@/spreadc,477
0,us-west-1,frontend,frontend@GET@/start,269
0,us-west-1,b,b@POST@/spreadb,491
0,us-west-1,a,a@POST@/spreada,507
0,us-west-1,c,c@POST@/spreadc,473
0,us-west-1,frontend,frontend@GET@/start,264
0,us-west-1,b,b@POST@/spreadb,492
0,us-west-1,a,a@POST@/spreada,503
0,us-west-1,c,c@POST@/spreadc,555
0,us-west-1,frontend,frontend@GET@/start,271
0,us-west-1,b,b@POST@/spreadb,533
0,us-west-1,a,a@POST@/spreada,523
0,us-west-1,c,c@POST@/spreadc,463
0,us-west-1,frontend,frontend@GET@/start,271
0,us-west-1,b,b@POST@/spreadb,448
0,us-west-1,a,a@POST@/spreada,442
0,us-west-1,c,c@POST@/spreadc,504
0,us-west-1,frontend,frontend@GET@/start,262
0,us-west-1,b,b@POST@/spreadb,513
0,us-west-1,a,a@POST@/spreada,512
0,us-west-1,c,c@POST@/spreadc,499
0,us-west-1,frontend,frontend@GET@/start,289
0,us-west-1,b,b@POST@/spreadb,500
0,us-west-1,a,a@POST@/spreada,512
0,us-west-1,c,c@POST@/spreadc,506
0,us-west-1,frontend,frontend@GET@/start,289
0,us-west-1,b,b@POST@/spreadb,537
0,us-west-1,a,a@POST@/spreada,538
0,us-west-1,c,c@POST@/spreadc,547
0,us-west-1,frontend,frontend@GET@/start,284
0,us-west-1,b,b@POST@/spreadb,518
0,us-west-1,a,a@POST@/spreada,514
0,us-west-1,c,c@POST@/spreadc,490
0,us-west-1,frontend,frontend@GET@/start,252
0,us-west-1,b,b@POST@/spreadb,495
0,us-west-1,a,a@POST@/spreada,510
