,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
0,1,frontend,a,us-east-1,us-east-1,400,0.9049773755656109,442
1,1,frontend,a,us-east-1,us-west-1,42,0.09502262443438914,442
2,1,frontend,a,us-west-1,us-west-1,96,1.0,96
3,1,b,c,us-east-1,us-west-1,-1,1.0,-1
4,1,a,b,us-east-1,us-east-1,-1,1.0,-1
5,1,b,c,us-west-1,us-west-1,-1,1.0,-1
6,1,a,b,us-west-1,us-west-1,-1,1.0,-1
0,2,frontend,a,us-east-1,us-east-1,363,1.0,363
1,2,frontend,a,us-west-1,us-west-1,113,1.0,113
2,2,b,c,us-east-1,us-west-1,-1,1.0,-1
3,2,a,b,us-east-1,us-east-1,-1,1.0,-1
4,2,b,c,us-west-1,us-west-1,-1,1.0,-1
5,2,a,b,us-west-1,us-west-1,-1,1.0,-1
0,3,frontend,a,us-east-1,us-east-1,381,1.0,381
1,3,frontend,a,us-west-1,us-west-1,121,1.0,121
2,3,b,c,us-east-1,us-west-1,-1,1.0,-1
3,3,a,b,us-east-1,us-east-1,-1,1.0,-1
4,3,b,c,us-west-1,us-west-1,-1,1.0,-1
5,3,a,b,us-west-1,us-west-1,-1,1.0,-1
0,4,frontend,a,us-east-1,us-east-1,400,0.8281573498964804,483
1,4,frontend,a,us-east-1,us-west-1,83,0.17184265010351968,483
2,4,frontend,a,us-west-1,us-west-1,91,1.0,91
3,4,b,c,us-east-1,us-west-1,-1,1.0,-1
4,4,a,b,us-east-1,us-east-1,-1,1.0,-1
5,4,b,c,us-west-1,us-west-1,-1,1.0,-1
6,4,a,b,us-west-1,us-west-1,-1,1.0,-1
0,5,frontend,a,us-east-1,us-east-1,414,0.5814606741573034,712
1,5,frontend,a,us-east-1,us-west-1,298,0.41853932584269665,712
2,5,frontend,a,us-west-1,us-west-1,96,1.0,96
3,5,b,c,us-east-1,us-west-1,-1,1.0,-1
4,5,a,b,us-east-1,us-east-1,-1,1.0,-1
5,5,b,c,us-west-1,us-west-1,-1,1.0,-1
6,5,a,b,us-west-1,us-west-1,-1,1.0,-1
0,7,frontend,a,us-east-1,us-east-1,490,0.6094527363184079,804
1,7,frontend,a,us-east-1,us-west-1,314,0.39054726368159204,804
