counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-west-1,frontend,frontend@GET@/start,193
0,us-west-1,a,a@POST@/spreada,76
0,us-west-1,c,c@POST@/spreadc,54
0,us-west-1,b,b@POST@/spreadb,162
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-west-1,frontend,frontend@GET@/start,196
0,us-west-1,a,a@POST@/spreada,208
0,us-west-1,c,c@POST@/spreadc,261
0,us-west-1,b,b@POST@/spreadb,194
0,us-east-1,b,b@POST@/spreadb,44
0,us-east-1,a,a@POST@/spreada,112
0,us-east-1,frontend,frontend@GET@/start,195
0,us-west-1,frontend,frontend@GET@/start,230
0,us-west-1,a,a@POST@/spreada,233
0,us-west-1,c,c@POST@/spreadc,601
0,us-west-1,b,b@POST@/spreadb,238
0,us-east-1,b,b@POST@/spreadb,357
0,us-east-1,a,a@POST@/spreada,369
0,us-east-1,frontend,frontend@GET@/start,394
0,us-west-1,frontend,frontend@GET@/start,197
0,us-west-1,a,a@POST@/spreada,215
0,us-west-1,c,c@POST@/spreadc,569
0,us-west-1,b,b@POST@/spreadb,196
0,us-east-1,b,b@POST@/spreadb,344
0,us-east-1,a,a@POST@/spreada,315
0,us-east-1,frontend,frontend@GET@/start,311
1,us-west-1,frontend,frontend@GET@/start,182
1,us-west-1,a,a@POST@/spreada,190
1,us-west-1,c,c@POST@/spreadc,491
1,us-west-1,b,b@POST@/spreadb,186
1,us-east-1,b,b@POST@/spreadb,306
1,us-east-1,a,a@POST@/spreada,296
1,us-east-1,frontend,frontend@GET@/start,277
2,us-west-1,frontend,frontend@GET@/start,203
2,us-west-1,a,a@POST@/spreada,200
2,us-west-1,c,c@POST@/spreadc,458
2,us-west-1,b,b@POST@/spreadb,255
2,us-east-1,b,b@POST@/spreadb,247
2,us-east-1,a,a@POST@/spreada,258
2,us-east-1,frontend,frontend@GET@/start,315
3,us-west-1,frontend,frontend@GET@/start,202
3,us-west-1,a,a@POST@/spreada,269
3,us-west-1,c,c@POST@/spreadc,512
3,us-west-1,b,b@POST@/spreadb,250
3,us-east-1,b,b@POST@/spreadb,253
3,us-east-1,a,a@POST@/spreada,238
3,us-east-1,frontend,frontend@GET@/start,278
4,us-west-1,frontend,frontend@GET@/start,189
4,us-west-1,a,a@POST@/spreada,264
4,us-west-1,c,c@POST@/spreadc,498
4,us-west-1,b,b@POST@/spreadb,230
4,us-east-1,b,b@POST@/spreadb,228
4,us-east-1,a,a@POST@/spreada,227
4,us-east-1,frontend,frontend@GET@/start,277
5,us-west-1,frontend,frontend@GET@/start,193
5,us-west-1,a,a@POST@/spreada,223
5,us-west-1,c,c@POST@/spreadc,468
5,us-west-1,b,b@POST@/spreadb,249
5,us-east-1,b,b@POST@/spreadb,245
5,us-east-1,a,a@POST@/spreada,248
5,us-east-1,frontend,frontend@GET@/start,310
6,us-west-1,frontend,frontend@GET@/start,193
6,us-west-1,a,a@POST@/spreada,249
6,us-west-1,c,c@POST@/spreadc,513
6,us-west-1,b,b@POST@/spreadb,241
6,us-east-1,b,b@POST@/spreadb,262
6,us-east-1,a,a@POST@/spreada,268
6,us-east-1,frontend,frontend@GET@/start,296
7,us-west-1,frontend,frontend@GET@/start,194
7,us-west-1,a,a@POST@/spreada,248
7,us-west-1,c,c@POST@/spreadc,478
7,us-west-1,b,b@POST@/spreadb,264
7,us-east-1,b,b@POST@/spreadb,225
7,us-east-1,a,a@POST@/spreada,220
7,us-east-1,frontend,frontend@GET@/start,302
8,us-west-1,frontend,frontend@GET@/start,220
8,us-west-1,a,a@POST@/spreada,247
8,us-west-1,c,c@POST@/spreadc,492
8,us-west-1,b,b@POST@/spreadb,268
8,us-east-1,b,b@POST@/spreadb,240
8,us-east-1,a,a@POST@/spreada,250
8,us-east-1,frontend,frontend@GET@/start,307
9,us-west-1,frontend,frontend@GET@/start,197
9,us-west-1,a,a@POST@/spreada,278
9,us-west-1,c,c@POST@/spreadc,523
9,us-west-1,b,b@POST@/spreadb,251
9,us-east-1,b,b@POST@/spreadb,250
9,us-east-1,a,a@POST@/spreada,253
9,us-east-1,frontend,frontend@GET@/start,283
10,us-west-1,frontend,frontend@GET@/start,178
10,us-west-1,a,a@POST@/spreada,217
10,us-west-1,c,c@POST@/spreadc,454
10,us-west-1,b,b@POST@/spreadb,217
10,us-east-1,b,b@POST@/spreadb,243
10,us-east-1,a,a@POST@/spreada,235
10,us-east-1,frontend,frontend@GET@/start,291
11,us-west-1,frontend,frontend@GET@/start,206
11,us-west-1,a,a@POST@/spreada,245
11,us-west-1,c,c@POST@/spreadc,494
11,us-west-1,b,b@POST@/spreadb,246
